Name,Region,Confirmed,Deaths,Recovered,Last Update,ID
Maharashtra,India,7628,,,2020-04-25 20:00:00,140004402
Delhi,India,2625,,,2020-04-25 20:00:00,140001944
Gujarat,India,3071,,,2020-04-25 20:00:00,140001927
Rajasthan,India,2083,,,2020-04-25 20:00:00,140001929
Tamil Nadu,India,1821,,,2020-04-25 20:00:00,140001938
Madhya Pradesh,India,1945,,,2020-04-25 20:00:00,140001931
Uttar Pradesh,India,1793,,,2020-04-25 20:00:00,140001926
Telangana,India,990,,,2020-04-25 20:00:00,140004405
Andhra Pradesh,India,1016,,,2020-04-25 20:00:00,140004401
Karnataka,India,500,,,2020-04-25 20:00:00,140004403
Kerala,India,458,,,2020-04-25 20:00:00,140001930
West Bengal,India,571,,,2020-04-25 20:00:00,140001940
Haryana,India,287,,,2020-04-25 20:00:00,140001933
Punjab,India,308,,,2020-04-25 20:00:00,140001934
Bihar,India,251,,,2020-04-25 20:00:00,140001937
Odisha,India,100,,,2020-04-25 20:00:00,140001936
Uttarakhand,India,48,,,2020-04-25 20:00:00,140001932
Jharkhand,India,67,,,2020-04-25 20:00:00,140001943
Himachal Pradesh,India,40,,,2020-04-25 20:00:00,140001941
Chhattisgarh,India,37,,,2020-04-25 20:00:00,140004404
Assam,India,36,,,2020-04-25 20:00:00,140001939
Chandigarh,India,28,,,2020-04-25 20:00:00,140001945
Andaman and Nicobar Islands,India,33,,,2020-04-25 20:00:00,140001955
Meghalaya,India,12,,,2020-04-25 20:00:00,140001952
Goa,India,7,,,2020-04-25 20:00:00,140001956
Puducherry,India,8,,,2020-04-25 20:00:00,140001953
Manipur,India,2,,,2020-04-25 20:00:00,140001942
Tripura,India,2,,,2020-04-25 20:00:00,140001949
Mizoram,India,1,,,2020-04-25 20:00:00,140001928
Arunachal Pradesh,India,1,,,2020-04-25 20:00:00,140002691
Nagaland,India,0,,,2020-04-25 20:00:00,140001950
Dadra and Nagar Haveli,India,0,,,2020-04-25 20:00:00,140001947
Daman & Diu,India,0,,,2020-04-25 20:00:00,140001948
Lakshadweep,India,0,,,2020-04-25 20:00:00,140001954
Sikkim,India,0,,,2020-04-25 20:00:00,140001951
British Columbia,Canada,1948,,,2020-04-26 01:00:00,140002874
Alberta,Canada,4233,,,2020-04-26 01:00:00,140002879
Saskatchewan,Canada,349,,,2020-04-26 01:00:00,140002878
Manitoba,Canada,267,,,2020-04-26 01:00:00,140002877
Ontario,Canada,13995,,,2020-04-26 01:00:00,140002875
Quebec,Canada,23267,,,2020-04-26 01:00:00,140002869
Newfoundland,Canada,257,,,2020-04-26 01:00:00,140002930
New Brunswick,Canada,118,,,2020-04-26 01:00:00,140002928
Nova Scotia,Canada,865,,,2020-04-26 01:00:00,140002929
Prince Edward Island,Canada,26,,,2020-04-26 01:00:00,140002931
Yukon,Canada,11,,,2020-04-26 01:00:00,140002880
Northwest Territories,Canada,5,,,2020-04-26 01:00:00,140002881
Nunavut,Canada,0,,,2020-04-26 01:00:00,140003914
Repatriated travellers,Canada,13,,,2020-04-26 01:00:00,
Lombardy,Italy,71256,,,2020-04-26 03:00:00,140000679
Emilia-Romagna,Italy,23970,,,2020-04-26 03:00:00,140000680
Piedmont,Italy,23834,,,2020-04-26 03:00:00,140000673
Veneto,Italy,17229,,,2020-04-26 03:00:00,140000678
Tuscany,Italy,8877,,,2020-04-26 03:00:00,140000675
Liguria,Italy,7193,,,2020-04-26 03:00:00,140000687
Lazio,Italy,6132,,,2020-04-26 03:00:00,140000686
Marche,Italy,6028,,,2020-04-26 03:00:00,140000674
Campania,Italy,4282,,,2020-04-26 03:00:00,140000676
Daegu,South Korea,6857,,,2020-04-26 03:00:00,140004292
Gyeongsangbuk-do,South Korea,1364,,,2020-04-26 03:00:00,140004295
Gyeonggi-do,South Korea,660,,,2020-04-26 03:00:00,140004304
Seoul,South Korea,628,,,2020-04-26 03:00:00,140004303
Chungcheongnam-do,South Korea,141,,,2020-04-26 03:00:00,140004302
Busan,South Korea,136,,,2020-04-26 03:00:00,140004297
Gyeongsangnam-do,South Korea,117,,,2020-04-26 03:00:00,140004298
Incheon,South Korea,92,,,2020-04-26 03:00:00,140004305
Gangwon-do,South Korea,53,,,2020-04-26 03:00:00,140004294
Flanders,Belgium,20482,,,2020-04-25 13:00:00,
Walloon Brabant,Belgium,10304,,,2020-04-25 13:00:00,140003274
Brussels,Belgium,3457,,,2020-04-25 13:00:00,140003275
Attica,Greece,830,,,2020-04-25 17:00:00,140000004
Aegean Islands,Greece,9,,,2020-04-25 17:00:00,
Thrace,Greece,24,,,2020-04-25 17:00:00,
Macedonia,Greece,122,,,2020-04-25 17:00:00,
Epirus,Greece,7,,,2020-04-25 17:00:00,140000010
Thessaly,Greece,14,,,2020-04-25 17:00:00,140000001
Peloponnese,Greece,78,,,2020-04-25 17:00:00,140000006
Dodecanese,Greece,2,,,2020-04-25 17:00:00,
Greece Central,Greece,6,,,2020-04-25 17:00:00,140000011
Crete,Greece,12,,,2020-04-25 17:00:00,140000012
Ionian Islands,Greece,7,,,2020-04-25 17:00:00,140000008
Cyclades,Greece,1,,,2020-04-25 17:00:00,
Cruize Ship,Greece,11,,,2020-04-25 17:00:00,
Region Metropolitana,Chile,7165,,,2020-04-25 17:00:00,140003345
Araucania,Chile,1203,,,2020-04-25 17:00:00,140003338
Ñuble,Chile,725,,,2020-04-25 17:00:00,
Biobío,Chile,696,,,2020-04-25 17:00:00,140003340
Magallanes y de la Antarctica,Chile,655,,,2020-04-25 17:00:00,140003350
Los Lagos,Chile,465,,,2020-04-25 17:00:00,140003342
Valparaiso,Chile,454,,,2020-04-25 17:00:00,140003346
Antofagasta,Chile,391,,,2020-04-25 17:00:00,140003347
Maule,Chile,350,,,2020-04-25 17:00:00,140003344
Lima Province,Peru,16567,,,2020-04-26 01:00:00,140003304
Callao,Peru,2436,,,2020-04-26 01:00:00,140003303
Lambayeque,Peru,1388,,,2020-04-26 01:00:00,140003322
Loreto,Peru,742,,,2020-04-26 01:00:00,140003877
Piura,Peru,669,,,2020-04-26 01:00:00,140003323
La Libertad,Peru,481,,,2020-04-26 01:00:00,140003321
Ancash,Peru,464,,,2020-04-26 01:00:00,140003320
Arequipa,Peru,364,,,2020-04-26 01:00:00,140003316
Ucayali,Peru,323,,,2020-04-26 01:00:00,140003876
Buenos Aires,Argentina,1181,,,2020-04-26 01:30:00,140003351
Buenos Aires - Capital Federal,Argentina,916,,,2020-04-26 01:30:00,140003352
Chaco,Argentina,287,,,2020-04-26 01:30:00,140003354
Cordoba,Argentina,269,,,2020-04-26 01:30:00,140003356
Santa Fe,Argentina,239,,,2020-04-26 01:30:00,140003371
Rio Negro,Argentina,180,,,2020-04-26 01:30:00,140003366
Tierra del Fuego,Argentina,126,,,2020-04-26 01:30:00,140003373
Neuquen,Argentina,104,,,2020-04-26 01:30:00,140003365
Mendoza,Argentina,75,,,2020-04-26 01:30:00,140003363
La Rioja,Argentina,47,,,2020-04-26 01:30:00,140003362
Santa Cruz,Argentina,42,,,2020-04-26 01:30:00,140003370
Corrientes,Argentina,39,,,2020-04-26 01:30:00,140003357
Tucuman,Argentina,34,,,2020-04-26 01:30:00,140003374
Entre Rios,Argentina,22,,,2020-04-26 01:30:00,140003358
Santiago del Estero,Argentina,12,,,2020-04-26 01:30:00,140003372
San Luis,Argentina,11,,,2020-04-26 01:30:00,140003369
Misiones,Argentina,6,,,2020-04-26 01:30:00,140003364
Jujuy,Argentina,5,,,2020-04-26 01:30:00,140003360
La Pampa,Argentina,5,,,2020-04-26 01:30:00,140003361
Salta,Argentina,3,,,2020-04-26 01:30:00,140003367
Chubut,Argentina,2,,,2020-04-26 01:30:00,140003355
San Juan,Argentina,2,,,2020-04-26 01:30:00,140003368
Baden-Wurttemberg,Germany,31830,,,2020-04-26 01:00:00,140003865
Bavaria,Germany,41605,,,2020-04-26 01:00:00,140003864
Berlin,Germany,5607,,,2020-04-26 01:00:00,140003662
Brandenburg,Germany,2765,,,2020-04-26 01:00:00,140003858
Bremen,Germany,742,,,2020-04-26 01:00:00,140003869
Hamburg,Germany,4589,,,2020-04-26 01:00:00,140003859
Hesse,Germany,8281,,,2020-04-26 01:00:00,140003866
Mecklenburg-Western Pomerania,Germany,674,,,2020-04-26 01:00:00,140003872
Lower Saxony,Germany,10116,,,2020-04-26 01:00:00,140003870
North Rhine-Westphalia,Germany,31988,,,2020-04-26 01:00:00,140003860
Rhineland-Palatinate,Germany,5990,,,2020-04-26 01:00:00,140003868
Saarland,Germany,2496,,,2020-04-26 01:00:00,140003861
Saxony,Germany,4538,,,2020-04-26 01:00:00,140003863
Saxony-Anhalt,Germany,1508,,,2020-04-26 01:00:00,140003862
Schleswig-Holstein,Germany,2591,,,2020-04-26 01:00:00,140003871
Thuringia,Germany,2094,,,2020-04-26 01:00:00,140003867
Undefined Location,Greece,1,,,2020-04-25 17:00:00,
Acre,Brazil,258,,,2020-04-26 01:00:00,140003873
Amazonas,Brazil,3635,,,2020-04-26 01:00:00,140003874
Amapá,Brazil,685,,,2020-04-26 01:00:00,140002759
Pará,Brazil,1579,,,2020-04-26 01:00:00,140002744
Rondônia,Brazil,328,,,2020-04-26 01:00:00,140002757
Roraima,Brazil,345,,,2020-04-26 01:00:00,140002758
Tocantins,Brazil,50,,,2020-04-26 01:00:00,140002748
Alagoas,Brazil,501,,,2020-04-26 01:00:00,140002761
Bahia,Brazil,2081,,,2020-04-26 01:00:00,140002746
Ceará,Brazil,5421,,,2020-04-26 01:00:00,140002745
Maranhão,Brazil,2105,,,2020-04-26 01:00:00,140002749
Paraíba,Brazil,447,,,2020-04-26 01:00:00,140002756
Pernambuco,Brazil,4507,,,2020-04-26 01:00:00,140002747
Piauí,Brazil,297,,,2020-04-26 01:00:00,140002751
Rio Grande do Norte,Brazil,781,,,2020-04-26 01:00:00,140002750
Sergipe,Brazil,153,,,2020-04-26 01:00:00,140002760
Espírito Santo,Brazil,1595,,,2020-04-26 01:00:00,140002754
Minas Gerais,Brazil,1481,,,2020-04-26 01:00:00,140002743
Rio de Janeiro,Brazil,6828,,,2020-04-26 01:00:00,140002762
São Paulo,Brazil,20004,,,2020-04-26 01:00:00,140002753
Distrito Federal,Brazil,1013,,,2020-04-26 01:00:00,140002763
Goiás,Brazil,506,,,2020-04-26 01:00:00,140002742
Mato Grosso,Brazil,247,,,2020-04-26 01:00:00,140002752
Mato Grosso do Sul,Brazil,217,,,2020-04-26 01:00:00,140002755
Paraná,Brazil,1140,,,2020-04-26 01:00:00,140003325
Rio Grande do Sul,Brazil,1096,,,2020-04-26 01:00:00,140003327
Santa Catarina,Brazil,1209,,,2020-04-26 01:00:00,140003326
Bogota,Colombia,2152,,,2020-04-26 01:00:00,140004233
Cundinamarca,Colombia,196,,,2020-04-26 01:00:00,140004214
Antioquia,Colombia,449,,,2020-04-26 01:00:00,140004230
Valle del Cauca,Colombia,816,,,2020-04-26 01:00:00,140004235
Bolivar,Colombia,226,,,2020-04-26 01:00:00,140004226
Atlantico,Colombia,156,,,2020-04-26 01:00:00,140004209
Magdalena,Colombia,152,,,2020-04-26 01:00:00,140004225
Cesar,Colombia,53,,,2020-04-26 01:00:00,140004208
Sucre,Colombia,1,,,2020-04-26 01:00:00,140004227
La Guajira,Colombia,5,,,2020-04-26 01:00:00,140004205
Cordoba,Colombia,23,,,2020-04-26 01:00:00,140004228
Norde de Santander,Colombia,60,,,2020-04-26 01:00:00,140004210
Santander,Colombia,38,,,2020-04-26 01:00:00,140004211
Cauca,Colombia,25,,,2020-04-26 01:00:00,140004236
Caldas,Colombia,53,,,2020-04-26 01:00:00,140004206
Risaralda,Colombia,180,,,2020-04-26 01:00:00,140004232
Quindio,Colombia,55,,,2020-04-26 01:00:00,140004207
Huila,Colombia,84,,,2020-04-26 01:00:00,140004217
Tolima,Colombia,42,,,2020-04-26 01:00:00,140004215
Meta,Colombia,186,,,2020-04-26 01:00:00,140004234
Casanare,Colombia,10,,,2020-04-26 01:00:00,140004213
San Andres y Providencia,Colombia,6,,,2020-04-26 01:00:00,140004229
Narino,Colombia,92,,,2020-04-26 01:00:00,140004237
Boyaca,Colombia,33,,,2020-04-26 01:00:00,140004216
Choco,Colombia,10,,,2020-04-26 01:00:00,140004231
Amazonas,Colombia,37,,,2020-04-26 01:00:00,140004218
Caqueta,Colombia,2,,,2020-04-26 01:00:00,140004220
Jammu & Kashmir,India,514,,,2020-04-25 20:00:00,140001935
