region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,82.13,70,64,86,81.18,84.71,70 [64 - 86],82.13% [81.18% - 84.71%],180,100,398,03-03-2021,projected
2,AL- DOTHAN,80.68,0,0,2,80.0,81.43,0 [0 - 2],80.68% [80.0% - 81.43%],9,0,19,03-03-2021,projected
5,AL- HUNTSVILLE,81.86,15,13,18,81.12,84.2,15 [13 - 18],81.86% [81.12% - 84.2%],35,21,79,03-03-2021,projected
6,AL- MOBILE,82.56,28,25,32,81.37,84.17,28 [25 - 32],82.56% [81.37% - 84.17%],73,39,119,03-03-2021,projected
7,AL- MONTGOMERY,81.42,2,1,4,80.19,82.33,2 [1 - 4],81.42% [80.19% - 82.33%],22,3,36,03-03-2021,projected
9,AL- TUSCALOOSA,82.3,14,12,15,81.5,84.21,14 [12 - 15],82.3% [81.5% - 84.21%],23,15,42,03-03-2021,projected
11,AZ- MESA,82.27,16,14,18,81.36,83.48,16 [14 - 18],82.27% [81.36% - 83.48%],45,27,69,03-03-2021,projected
12,AZ- PHOENIX,81.54,34,31,40,80.74,82.35,34 [31 - 40],81.54% [80.74% - 82.35%],117,56,178,03-03-2021,projected
14,AZ- SUN CITY,80.74,0,0,1,80.49,81.11,0 [0 - 1],80.74% [80.49% - 81.11%],6,4,9,03-03-2021,projected
15,AZ- TUCSON,81.47,15,13,16,80.91,82.18,15 [13 - 16],81.47% [80.91% - 82.18%],37,23,55,03-03-2021,projected
16,AR- FORT SMITH,80.0,0,0,0,80.0,81.25,0 [0 - 0],80.0% [80.0% - 81.25%],0,0,16,03-03-2021,projected
18,AR- JONESBORO,80.0,0,0,1,80.0,81.22,0 [0 - 1],80.0% [80.0% - 81.22%],0,0,11,03-03-2021,projected
19,AR- LITTLE ROCK,81.63,40,36,56,80.73,85.53,40 [36 - 56],81.63% [80.73% - 85.53%],94,42,319,03-03-2021,projected
21,AR- SPRINGDALE,83.69,14,13,18,81.8,87.85,14 [13 - 18],83.69% [81.8% - 87.85%],39,19,83,03-03-2021,projected
22,AR- TEXARKANA,81.43,0,0,3,80.0,83.98,0 [0 - 3],81.43% [80.0% - 83.98%],14,0,39,03-03-2021,projected
23,CA- ORANGE CO.,80.41,13,12,14,80.22,80.59,13 [12 - 14],80.41% [80.22% - 80.59%],31,17,45,03-03-2021,projected
25,CA- BAKERSFIELD,80.5,7,6,7,80.28,80.8,7 [6 - 7],80.5% [80.28% - 80.8%],18,10,29,03-03-2021,projected
31,CA- CHICO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-03-2021,projected
33,CA- CONTRA COSTA CO.,81.2,8,7,9,80.75,81.85,8 [7 - 9],81.2% [80.75% - 81.85%],24,15,37,03-03-2021,projected
43,CA- FRESNO,81.1,7,6,9,80.48,81.75,7 [6 - 9],81.1% [80.48% - 81.75%],25,11,40,03-03-2021,projected
56,CA- LOS ANGELES,80.58,44,40,49,80.32,80.85,44 [40 - 49],80.58% [80.32% - 80.85%],144,79,210,03-03-2021,projected
58,CA- MODESTO,81.69,8,7,9,80.7,82.5,8 [7 - 9],81.69% [80.7% - 82.5%],29,12,43,03-03-2021,projected
62,CA- NAPA,80.0,0,0,1,80.0,82.75,0 [0 - 1],80.0% [80.0% - 82.75%],0,0,16,03-03-2021,projected
