region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,120.19,2379,2270,2545,108.3,138.86,2379 [2270 - 2545],120.19% [108.3% - 138.86%],3394,2390,4971,05-18-2021,projected
2,AL- DOTHAN,85.65,53,49,59,84.67,88.43,53 [49 - 59],85.65% [84.67% - 88.43%],75,62,112,05-18-2021,projected
5,AL- HUNTSVILLE,86.76,89,84,95,85.11,89.15,89 [84 - 95],86.76% [85.11% - 89.15%],127,96,172,05-18-2021,projected
6,AL- MOBILE,83.75,69,66,72,82.52,84.27,69 [66 - 72],83.75% [82.52% - 84.27%],107,72,122,05-18-2021,projected
7,AL- MONTGOMERY,86.92,74,70,88,84.72,91.97,74 [70 - 88],86.92% [84.72% - 91.97%],107,73,185,05-18-2021,projected
9,AL- TUSCALOOSA,83.11,21,20,22,82.51,84.41,21 [20 - 22],83.11% [82.51% - 84.41%],31,25,44,05-18-2021,projected
11,AZ- MESA,90.3,128,123,139,88.54,95.71,128 [123 - 139],90.3% [88.54% - 95.71%],204,169,311,05-18-2021,projected
12,AZ- PHOENIX,85.83,280,270,305,84.81,88.94,280 [270 - 305],85.83% [84.81% - 88.94%],442,364,677,05-18-2021,projected
14,AZ- SUN CITY,84.2,21,20,23,83.46,86.42,21 [20 - 23],84.2% [83.46% - 86.42%],34,28,52,05-18-2021,projected
15,AZ- TUCSON,83.33,49,47,54,82.46,84.83,49 [47 - 54],83.33% [82.46% - 84.83%],84,62,122,05-18-2021,projected
16,AR- FORT SMITH,81.72,14,12,19,80.0,81.72,14 [12 - 19],81.72% [80.0% - 81.72%],22,0,22,05-18-2021,projected
18,AR- JONESBORO,82.43,14,14,16,82.43,82.43,14 [14 - 16],82.43% [82.43% - 82.43%],22,22,22,05-18-2021,projected
19,AR- LITTLE ROCK,84.42,168,158,184,83.03,86.29,168 [158 - 184],84.42% [83.03% - 86.29%],255,175,363,05-18-2021,projected
21,AR- SPRINGDALE,92.11,84,80,94,89.46,96.08,84 [80 - 94],92.11% [89.46% - 96.08%],128,100,170,05-18-2021,projected
22,AR- TEXARKANA,84.18,28,27,32,83.16,86.02,28 [27 - 32],84.18% [83.16% - 86.02%],41,31,59,05-18-2021,projected
23,CA- ORANGE CO.,80.65,21,19,24,80.34,81.03,21 [19 - 24],80.65% [80.34% - 81.03%],50,26,79,05-18-2021,projected
25,CA- BAKERSFIELD,82.24,49,44,53,81.36,83.1,49 [44 - 53],82.24% [81.36% - 83.1%],81,49,112,05-18-2021,projected
31,CA- CHICO,83.91,14,14,17,83.91,84.22,14 [14 - 17],83.91% [83.91% - 84.22%],25,25,27,05-18-2021,projected
33,CA- CONTRA COSTA CO.,84.24,45,42,49,83.49,85.14,45 [42 - 49],84.24% [83.49% - 85.14%],85,70,103,05-18-2021,projected
43,CA- FRESNO,81.84,21,19,22,81.05,82.76,21 [19 - 22],81.84% [81.05% - 82.76%],42,24,63,05-18-2021,projected
56,CA- LOS ANGELES,80.5,48,43,56,80.25,80.87,48 [43 - 56],80.5% [80.25% - 80.87%],125,61,216,05-18-2021,projected
58,CA- MODESTO,83.55,28,25,31,82.09,85.0,28 [25 - 31],83.55% [82.09% - 85.0%],61,36,86,05-18-2021,projected
62,CA- NAPA,82.41,7,7,9,82.41,82.75,7 [7 - 9],82.41% [82.41% - 82.75%],14,14,16,05-18-2021,projected
65,CA- ALAMEDA CO.,83.17,51,48,54,82.81,83.52,51 [48 - 54],83.17% [82.81% - 83.52%],107,95,119,05-18-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.85,7,6,7,80.38,81.14,7 [6 - 7],80.85% [80.38% - 81.14%],9,4,12,05-18-2021,projected
73,CA- REDDING,86.84,49,46,52,84.9,88.5,49 [46 - 52],86.84% [84.9% - 88.5%],74,53,92,05-18-2021,projected
77,CA- SACRAMENTO,85.66,137,131,149,85.08,86.54,137 [131 - 149],85.66% [85.08% - 86.54%],271,243,313,05-18-2021,projected
78,CA- SALINAS,81.64,7,6,7,81.51,81.64,7 [6 - 7],81.64% [81.51% - 81.64%],13,12,13,05-18-2021,projected
79,CA- SAN BERNARDINO,81.23,31,28,36,80.52,81.82,31 [28 - 36],81.23% [80.52% - 81.82%],71,30,105,05-18-2021,projected
80,CA- SAN DIEGO,83.11,101,96,107,82.49,83.71,101 [96 - 107],83.11% [82.49% - 83.71%],219,175,261,05-18-2021,projected
81,CA- SAN FRANCISCO,81.38,41,38,43,81.14,81.71,41 [38 - 43],81.38% [81.14% - 81.71%],70,58,87,05-18-2021,projected
82,CA- SAN JOSE,81.78,27,25,30,81.52,82.45,27 [25 - 30],81.78% [81.52% - 82.45%],54,46,74,05-18-2021,projected
83,CA- SAN LUIS OBISPO,81.75,0,0,1,81.1,82.63,0 [0 - 1],81.75% [81.1% - 82.63%],8,5,12,05-18-2021,projected
85,CA- SAN MATEO CO.,81.45,21,19,22,81.34,81.85,21 [19 - 22],81.45% [81.34% - 81.85%],39,36,50,05-18-2021,projected
86,CA- SANTA BARBARA,81.45,7,6,7,81.45,81.45,7 [6 - 7],81.45% [81.45% - 81.45%],14,14,14,05-18-2021,projected
87,CA- SANTA CRUZ,86.13,7,6,10,85.85,90.03,7 [6 - 10],86.13% [85.85% - 90.03%],22,21,36,05-18-2021,projected
89,CA- SANTA ROSA,80.75,7,6,8,80.75,81.45,7 [6 - 8],80.75% [80.75% - 81.45%],14,14,27,05-18-2021,projected
91,CA- STOCKTON,83.57,16,14,18,82.45,84.42,16 [14 - 18],83.57% [82.45% - 84.42%],38,26,47,05-18-2021,projected
96,CA- VENTURA,81.59,7,7,8,80.89,82.23,7 [7 - 8],81.59% [80.89% - 82.23%],25,14,35,05-18-2021,projected
101,CO- BOULDER,85.05,14,13,15,84.42,86.32,14 [13 - 15],85.05% [84.42% - 86.32%],24,21,30,05-18-2021,projected
102,CO- COLORADO SPRINGS,102.32,147,142,159,97.39,110.72,147 [142 - 159],102.32% [97.39% - 110.72%],231,180,318,05-18-2021,projected
103,CO- DENVER,91.09,295,285,312,89.78,93.13,295 [285 - 312],91.09% [89.78% - 93.13%],530,467,627,05-18-2021,projected
104,CO- FORT COLLINS,90.49,42,40,46,88.45,93.3,42 [40 - 46],90.49% [88.45% - 93.3%],67,54,85,05-18-2021,projected
105,CO- GRAND JUNCTION,86.94,35,34,37,85.3,88.08,35 [34 - 37],86.94% [85.3% - 88.08%],55,42,64,05-18-2021,projected
106,CO- GREELEY,87.21,35,33,36,86.31,89.01,35 [33 - 36],87.21% [86.31% - 89.01%],56,49,70,05-18-2021,projected
107,CO- PUEBLO,83.88,16,15,18,83.51,84.76,16 [15 - 18],83.88% [83.51% - 84.76%],31,28,38,05-18-2021,projected
109,CT- BRIDGEPORT,82.71,16,15,18,82.36,83.01,16 [15 - 18],82.71% [82.36% - 83.01%],46,40,51,05-18-2021,projected
110,CT- HARTFORD,84.24,73,68,75,83.81,84.58,73 [68 - 75],84.24% [83.81% - 84.58%],138,124,149,05-18-2021,projected
111,CT- NEW HAVEN,83.06,51,49,53,82.78,83.43,51 [49 - 53],83.06% [82.78% - 83.43%],118,107,132,05-18-2021,projected
112,DE- WILMINGTON,84.46,47,44,48,83.87,85.1,47 [44 - 48],84.46% [83.87% - 85.1%],83,72,95,05-18-2021,projected
113,DC- WASHINGTON,84.14,114,108,120,83.66,85.21,114 [108 - 120],84.14% [83.66% - 85.21%],227,201,286,05-18-2021,projected
115,FL- BRADENTON,88.18,35,33,36,87.48,89.03,35 [33 - 36],88.18% [87.48% - 89.03%],58,53,64,05-18-2021,projected
116,FL- CLEARWATER,82.99,22,21,25,82.57,83.73,22 [21 - 25],82.99% [82.57% - 83.73%],49,42,61,05-18-2021,projected
118,FL- FORT LAUDERDALE,84.37,176,168,187,83.75,85.0,176 [168 - 187],84.37% [83.75% - 85.0%],380,326,435,05-18-2021,projected
119,FL- FORT MYERS,87.37,162,155,167,86.56,87.95,162 [155 - 167],87.37% [86.56% - 87.95%],282,251,304,05-18-2021,projected
120,FL- GAINESVILLE,82.88,35,33,36,82.34,83.31,35 [33 - 36],82.88% [82.34% - 83.31%],53,43,61,05-18-2021,projected
122,FL- HUDSON,86.47,54,51,62,84.39,90.86,54 [51 - 62],86.47% [84.39% - 90.86%],81,55,136,05-18-2021,projected
123,FL- JACKSONVILLE,85.13,162,152,173,83.42,86.92,162 [152 - 173],85.13% [83.42% - 86.92%],252,168,340,05-18-2021,projected
124,FL- LAKELAND,87.87,49,47,52,87.12,88.99,49 [47 - 52],87.87% [87.12% - 88.99%],84,76,96,05-18-2021,projected
127,FL- MIAMI,83.91,172,159,188,82.52,85.01,172 [159 - 188],83.91% [82.52% - 85.01%],422,272,540,05-18-2021,projected
129,FL- OCALA,85.12,47,44,50,84.39,85.7,47 [44 - 50],85.12% [84.39% - 85.7%],70,60,78,05-18-2021,projected
