region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,81.76,119,110,141,80.86,83.73,119 [110 - 141],81.76% [80.86% - 83.73%],149,73,315,06-08-2021,projected
2,AL- DOTHAN,80.0,0,0,7,80.0,81.43,0 [0 - 7],80.0% [80.0% - 81.43%],0,0,19,06-08-2021,projected
5,AL- HUNTSVILLE,82.93,42,39,67,81.7,90.64,42 [39 - 67],82.93% [81.7% - 90.64%],55,32,200,06-08-2021,projected
6,AL- MOBILE,82.52,56,52,64,80.98,83.64,56 [52 - 64],82.52% [80.98% - 83.64%],72,28,104,06-08-2021,projected
7,AL- MONTGOMERY,81.62,21,20,25,81.03,83.36,21 [20 - 25],81.62% [81.03% - 83.36%],25,16,52,06-08-2021,projected
9,AL- TUSCALOOSA,80.8,7,6,7,80.0,80.8,7 [6 - 7],80.8% [80.0% - 80.8%],8,0,8,06-08-2021,projected
11,AZ- MESA,85.4,84,78,91,83.33,88.94,84 [78 - 91],85.4% [83.33% - 88.94%],107,66,177,06-08-2021,projected
12,AZ- PHOENIX,83.25,192,178,216,81.72,85.91,192 [178 - 216],83.25% [81.72% - 85.91%],246,130,448,06-08-2021,projected
14,AZ- SUN CITY,82.1,14,13,15,81.36,83.46,14 [13 - 15],82.1% [81.36% - 83.46%],17,11,28,06-08-2021,projected
15,AZ- TUCSON,83.72,75,69,87,81.98,87.61,75 [69 - 87],83.72% [81.98% - 87.61%],94,50,192,06-08-2021,projected
16,AR- FORT SMITH,95.93,174,147,279,84.61,143.08,174 [147 - 279],95.93% [84.61% - 143.08%],204,59,808,06-08-2021,projected
18,AR- JONESBORO,84.09,29,24,31,80.0,85.53,29 [24 - 31],84.09% [80.0% - 85.53%],37,0,50,06-08-2021,projected
