region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,82.0,124,113,145,80.94,84.23,124 [113 - 145],82.0% [80.94% - 84.23%],169,79,357,03-09-2021,projected
2,AL- DOTHAN,81.05,14,12,15,80.0,81.05,14 [12 - 15],81.05% [80.0% - 81.05%],14,0,14,03-09-2021,projected
5,AL- HUNTSVILLE,82.07,28,25,34,80.85,84.36,28 [25 - 34],82.07% [80.85% - 84.36%],39,16,82,03-09-2021,projected
6,AL- MOBILE,82.17,49,44,54,80.98,83.78,49 [44 - 54],82.17% [80.98% - 83.78%],62,28,108,03-09-2021,projected
7,AL- MONTGOMERY,81.23,14,12,15,80.06,82.01,14 [12 - 15],81.23% [80.06% - 82.01%],19,1,31,03-09-2021,projected
9,AL- TUSCALOOSA,81.7,14,13,17,81.6,83.51,14 [13 - 17],81.7% [81.6% - 83.51%],17,16,35,03-09-2021,projected
11,AZ- MESA,81.82,28,25,31,80.96,83.23,28 [25 - 31],81.82% [80.96% - 83.23%],36,19,64,03-09-2021,projected
12,AZ- PHOENIX,81.23,63,57,72,80.5,82.18,63 [57 - 72],81.23% [80.5% - 82.18%],93,38,165,03-09-2021,projected
14,AZ- SUN CITY,80.62,2,1,3,80.25,81.11,2 [1 - 3],80.62% [80.25% - 81.11%],5,2,9,03-09-2021,projected
15,AZ- TUCSON,81.31,21,20,25,80.63,82.22,21 [20 - 25],81.31% [80.63% - 82.22%],33,16,56,03-09-2021,projected
16,AR- FORT SMITH,80.7,7,6,8,80.0,81.25,7 [6 - 8],80.7% [80.0% - 81.25%],9,0,16,03-09-2021,projected
18,AR- JONESBORO,80.77,7,6,8,80.0,82.32,7 [6 - 8],80.77% [80.0% - 82.32%],7,0,21,03-09-2021,projected
19,AR- LITTLE ROCK,81.89,83,76,107,80.71,85.54,83 [76 - 107],81.89% [80.71% - 85.54%],109,41,320,03-09-2021,projected
21,AR- SPRINGDALE,83.88,35,32,40,81.32,87.57,35 [32 - 40],83.88% [81.32% - 87.57%],41,14,80,03-09-2021,projected
22,AR- TEXARKANA,83.16,26,22,29,80.0,85.92,26 [22 - 29],83.16% [80.0% - 85.92%],31,0,58,03-09-2021,projected
23,CA- ORANGE CO.,80.33,14,13,16,80.16,80.55,14 [13 - 16],80.33% [80.16% - 80.55%],25,12,42,03-09-2021,projected
25,CA- BAKERSFIELD,80.33,7,6,9,80.17,80.8,7 [6 - 9],80.33% [80.17% - 80.8%],12,6,29,03-09-2021,projected
31,CA- CHICO,80.0,0,0,1,80.0,80.94,0 [0 - 1],80.0% [80.0% - 80.94%],0,0,6,03-09-2021,projected
33,CA- CONTRA COSTA CO.,81.05,14,13,16,80.55,81.8,14 [13 - 16],81.05% [80.55% - 81.8%],21,11,36,03-09-2021,projected
43,CA- FRESNO,80.83,11,10,13,80.31,81.36,11 [10 - 13],80.83% [80.31% - 81.36%],19,7,31,03-09-2021,projected
56,CA- LOS ANGELES,80.35,50,45,56,80.16,80.59,50 [45 - 56],80.35% [80.16% - 80.59%],87,40,147,03-09-2021,projected
58,CA- MODESTO,81.34,14,13,17,80.41,82.44,14 [13 - 17],81.34% [80.41% - 82.44%],23,7,42,03-09-2021,projected
62,CA- NAPA,81.2,7,6,7,80.0,82.23,7 [6 - 7],81.2% [80.0% - 82.23%],7,0,13,03-09-2021,projected
65,CA- ALAMEDA CO.,80.24,7,6,8,80.0,80.44,7 [6 - 8],80.24% [80.0% - 80.44%],8,0,15,03-09-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.09,0,0,0,80.0,80.19,0 [0 - 0],80.09% [80.0% - 80.19%],1,0,2,03-09-2021,projected
73,CA- REDDING,82.87,23,21,26,81.66,85.18,23 [21 - 26],82.87% [81.66% - 85.18%],31,18,56,03-09-2021,projected
77,CA- SACRAMENTO,80.94,35,31,39,80.29,81.63,35 [31 - 39],80.94% [80.29% - 81.63%],45,14,78,03-09-2021,projected
78,CA- SALINAS,80.13,0,0,1,80.0,80.76,0 [0 - 1],80.13% [80.0% - 80.76%],1,0,6,03-09-2021,projected
79,CA- SAN BERNARDINO,80.29,9,8,11,80.12,80.48,9 [8 - 11],80.29% [80.12% - 80.48%],17,7,28,03-09-2021,projected
80,CA- SAN DIEGO,80.65,31,27,35,80.3,81.11,31 [27 - 35],80.65% [80.3% - 81.11%],46,21,78,03-09-2021,projected
81,CA- SAN FRANCISCO,80.35,14,12,15,80.18,80.59,14 [12 - 15],80.35% [80.18% - 80.59%],18,9,30,03-09-2021,projected
82,CA- SAN JOSE,81.22,23,21,26,80.63,81.85,23 [21 - 26],81.22% [80.63% - 81.85%],37,19,56,03-09-2021,projected
83,CA- SAN LUIS OBISPO,81.32,7,6,7,80.0,81.32,7 [6 - 7],81.32% [80.0% - 81.32%],6,0,6,03-09-2021,projected
85,CA- SAN MATEO CO.,80.59,14,13,15,80.3,81.15,14 [13 - 15],80.59% [80.3% - 81.15%],16,8,31,03-09-2021,projected
86,CA- SANTA BARBARA,80.72,7,6,8,80.41,81.45,7 [6 - 8],80.72% [80.41% - 81.45%],7,4,14,03-09-2021,projected
87,CA- SANTA CRUZ,80.0,0,0,1,80.0,81.95,0 [0 - 1],80.0% [80.0% - 81.95%],0,0,7,03-09-2021,projected
89,CA- SANTA ROSA,80.7,7,7,8,80.38,81.07,7 [7 - 8],80.7% [80.38% - 81.07%],13,7,20,03-09-2021,projected
91,CA- STOCKTON,80.94,7,6,8,80.47,81.51,7 [6 - 8],80.94% [80.47% - 81.51%],10,5,16,03-09-2021,projected
96,CA- VENTURA,80.45,7,6,8,80.0,80.89,7 [6 - 8],80.45% [80.0% - 80.89%],7,0,14,03-09-2021,projected
101,CO- BOULDER,84.84,21,19,23,82.53,87.79,21 [19 - 23],84.84% [82.53% - 87.79%],23,12,37,03-09-2021,projected
102,CO- COLORADO SPRINGS,90.43,85,76,96,83.48,98.26,85 [76 - 96],90.43% [83.48% - 98.26%],108,36,189,03-09-2021,projected
103,CO- DENVER,86.97,260,240,300,83.31,94.03,260 [240 - 300],86.97% [83.31% - 94.03%],333,158,670,03-09-2021,projected
104,CO- FORT COLLINS,86.42,35,32,38,82.35,90.49,35 [32 - 38],86.42% [82.35% - 90.49%],41,15,67,03-09-2021,projected
105,CO- GRAND JUNCTION,83.41,21,19,26,81.01,87.95,21 [19 - 26],83.41% [81.01% - 87.95%],27,8,63,03-09-2021,projected
106,CO- GREELEY,84.12,28,26,31,81.93,87.72,28 [26 - 31],84.12% [81.93% - 87.72%],32,15,60,03-09-2021,projected
107,CO- PUEBLO,82.51,19,17,21,80.88,84.39,19 [17 - 21],82.51% [80.88% - 84.39%],20,7,35,03-09-2021,projected
109,CT- BRIDGEPORT,83.72,49,45,53,81.71,85.9,49 [45 - 53],83.72% [81.71% - 85.9%],63,29,100,03-09-2021,projected
110,CT- HARTFORD,81.32,35,32,38,80.71,82.36,35 [32 - 38],81.32% [80.71% - 82.36%],43,23,77,03-09-2021,projected
111,CT- NEW HAVEN,83.22,91,83,100,81.53,85.24,91 [83 - 100],83.22% [81.53% - 85.24%],124,59,202,03-09-2021,projected
112,DE- WILMINGTON,82.9,36,33,40,81.5,84.99,36 [33 - 40],82.9% [81.5% - 84.99%],54,28,93,03-09-2021,projected
113,DC- WASHINGTON,83.59,147,134,167,81.88,86.8,147 [134 - 167],83.59% [81.88% - 86.8%],197,103,373,03-09-2021,projected
115,FL- BRADENTON,88.04,42,39,46,84.09,92.98,42 [39 - 46],88.04% [84.09% - 92.98%],57,29,92,03-09-2021,projected
116,FL- CLEARWATER,84.34,56,51,62,81.89,87.39,56 [51 - 62],84.34% [81.89% - 87.39%],71,31,121,03-09-2021,projected
118,FL- FORT LAUDERDALE,85.92,400,367,444,82.74,89.92,400 [367 - 444],85.92% [82.74% - 89.92%],515,238,863,03-09-2021,projected
119,FL- FORT MYERS,83.01,86,79,98,81.59,85.38,86 [79 - 98],83.01% [81.59% - 85.38%],115,61,206,03-09-2021,projected
120,FL- GAINESVILLE,81.58,26,23,32,80.43,84.24,26 [23 - 32],81.58% [80.43% - 84.24%],29,8,78,03-09-2021,projected
122,FL- HUDSON,83.91,40,36,46,81.6,87.67,40 [36 - 46],83.91% [81.6% - 87.67%],49,20,96,03-09-2021,projected
123,FL- JACKSONVILLE,81.26,42,37,48,80.16,82.04,42 [37 - 48],81.26% [80.16% - 82.04%],62,8,100,03-09-2021,projected
124,FL- LAKELAND,83.09,28,25,31,81.4,85.34,28 [25 - 31],83.09% [81.4% - 85.34%],33,15,57,03-09-2021,projected
127,FL- MIAMI,84.7,383,349,425,82.11,87.76,383 [349 - 425],84.7% [82.11% - 87.76%],507,228,837,03-09-2021,projected
129,FL- OCALA,84.97,54,49,62,82.12,89.65,54 [49 - 62],84.97% [82.12% - 89.65%],68,29,132,03-09-2021,projected
130,FL- ORLANDO,84.77,388,356,441,82.18,88.86,388 [356 - 441],84.77% [82.18% - 88.86%],494,226,918,03-09-2021,projected
131,FL- ORMOND BEACH,83.14,42,39,48,81.51,85.74,42 [39 - 48],83.14% [81.51% - 85.74%],52,25,95,03-09-2021,projected
133,FL- PANAMA CITY,86.02,28,27,33,83.61,91.3,28 [27 - 33],86.02% [83.61% - 91.3%],40,24,75,03-09-2021,projected
134,FL- PENSACOLA,84.43,84,77,93,82.04,87.71,84 [77 - 93],84.43% [82.04% - 87.71%],104,48,181,03-09-2021,projected
137,FL- SARASOTA,83.81,42,39,47,81.73,86.3,42 [39 - 47],83.81% [81.73% - 86.3%],55,25,91,03-09-2021,projected
139,FL- ST PETERSBURG,83.57,43,39,48,81.56,86.01,43 [39 - 48],83.57% [81.56% - 86.01%],57,25,96,03-09-2021,projected
140,FL- TALLAHASSEE,83.67,77,72,91,81.85,87.68,77 [72 - 91],83.67% [81.85% - 87.68%],99,50,207,03-09-2021,projected
