region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,84.52,254,237,280,83.13,86.47,254 [237 - 280],84.52% [83.13% - 86.47%],382,264,546,03-03-2021,projected
2,AL- DOTHAN,80.98,12,11,15,80.75,82.86,12 [11 - 15],80.98% [80.75% - 82.86%],13,10,38,03-03-2021,projected
5,AL- HUNTSVILLE,84.95,51,47,58,83.3,86.86,51 [47 - 58],84.95% [83.3% - 86.86%],93,62,129,03-03-2021,projected
6,AL- MOBILE,84.62,84,80,92,83.47,86.48,84 [80 - 92],84.62% [83.47% - 86.48%],132,99,185,03-03-2021,projected
7,AL- MONTGOMERY,83.43,23,22,26,82.46,83.95,23 [22 - 26],83.43% [82.46% - 83.95%],53,38,61,03-03-2021,projected
9,AL- TUSCALOOSA,83.91,24,23,28,83.21,87.01,24 [23 - 28],83.91% [83.21% - 87.01%],39,32,70,03-03-2021,projected
11,AZ- MESA,86.26,66,63,71,84.85,88.38,66 [63 - 71],86.26% [84.85% - 88.38%],124,96,166,03-03-2021,projected
12,AZ- PHOENIX,84.01,160,152,173,83.04,85.43,160 [152 - 173],84.01% [83.04% - 85.43%],304,230,411,03-03-2021,projected
14,AZ- SUN CITY,82.35,8,7,9,81.85,83.09,8 [7 - 9],82.35% [81.85% - 83.09%],19,15,25,03-03-2021,projected
15,AZ- TUCSON,83.68,53,50,56,82.73,84.91,53 [50 - 56],83.68% [82.73% - 84.91%],93,69,124,03-03-2021,projected
16,AR- FORT SMITH,81.72,14,13,15,81.41,82.34,14 [13 - 15],81.72% [81.41% - 82.34%],22,18,30,03-03-2021,projected
18,AR- JONESBORO,81.55,8,6,10,80.22,82.65,8 [6 - 10],81.55% [80.22% - 82.65%],14,2,24,03-03-2021,projected
19,AR- LITTLE ROCK,83.22,131,122,161,81.91,87.52,131 [122 - 161],83.22% [81.91% - 87.52%],186,110,434,03-03-2021,projected
21,AR- SPRINGDALE,86.43,46,43,53,84.82,90.03,46 [43 - 53],86.43% [84.82% - 90.03%],68,51,106,03-03-2021,projected
22,AR- TEXARKANA,82.86,21,20,27,82.35,88.06,21 [20 - 27],82.86% [82.35% - 88.06%],28,23,79,03-03-2021,projected
23,CA- ORANGE CO.,81.33,48,46,52,81.01,81.73,48 [46 - 52],81.33% [81.01% - 81.73%],102,77,132,03-03-2021,projected
25,CA- BAKERSFIELD,81.91,34,32,36,81.38,82.43,34 [32 - 36],81.91% [81.38% - 82.43%],69,50,88,03-03-2021,projected
31,CA- CHICO,81.09,7,6,7,80.94,81.09,7 [6 - 7],81.09% [80.94% - 81.09%],7,6,7,03-03-2021,projected
33,CA- CONTRA COSTA CO.,82.9,35,33,37,82.25,84.04,35 [33 - 37],82.9% [82.25% - 84.04%],58,45,81,03-03-2021,projected
43,CA- FRESNO,83.5,42,40,45,82.67,84.47,42 [40 - 45],83.5% [82.67% - 84.47%],80,61,102,03-03-2021,projected
56,CA- LOS ANGELES,82.0,239,228,252,81.57,82.54,239 [228 - 252],82.0% [81.57% - 82.54%],497,389,629,03-03-2021,projected
58,CA- MODESTO,84.94,47,44,50,83.78,86.28,47 [44 - 50],84.94% [83.78% - 86.28%],85,65,108,03-03-2021,projected
62,CA- NAPA,82.41,7,7,7,82.41,82.92,7 [7 - 7],82.41% [82.41% - 82.92%],14,14,17,03-03-2021,projected
65,CA- ALAMEDA CO.,80.98,14,13,15,80.74,81.24,14 [13 - 15],80.98% [80.74% - 81.24%],33,25,42,03-03-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.66,1,0,2,80.57,80.85,1 [0 - 2],80.66% [80.57% - 80.85%],7,6,9,03-03-2021,projected
73,CA- REDDING,82.31,21,20,22,82.03,83.05,21 [20 - 22],82.31% [82.03% - 83.05%],25,22,33,03-03-2021,projected
77,CA- SACRAMENTO,82.78,67,63,72,82.01,83.68,67 [63 - 72],82.78% [82.01% - 83.68%],133,96,176,03-03-2021,projected
78,CA- SALINAS,81.89,7,7,7,81.39,82.4,7 [7 - 7],81.89% [81.39% - 82.4%],15,11,19,03-03-2021,projected
79,CA- SAN BERNARDINO,81.78,45,43,48,81.38,82.25,45 [43 - 48],81.78% [81.38% - 82.25%],103,80,130,03-03-2021,projected
