region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,80.31,86,78,116,80.12,81.02,86 [78 - 116],80.31% [80.12% - 81.02%],26,10,86,06-08-2021,projected
2,AL- DOTHAN,80.0,0,0,6,80.0,80.9,0 [0 - 6],80.0% [80.0% - 80.9%],0,0,12,06-08-2021,projected
5,AL- HUNTSVILLE,80.9,53,47,113,80.21,86.12,53 [47 - 113],80.9% [80.21% - 86.12%],17,4,115,06-08-2021,projected
6,AL- MOBILE,80.32,35,32,45,80.21,81.02,35 [32 - 45],80.32% [80.21% - 81.02%],9,6,29,06-08-2021,projected
7,AL- MONTGOMERY,80.26,14,14,22,80.26,80.97,14 [14 - 22],80.26% [80.26% - 80.97%],4,4,15,06-08-2021,projected
9,AL- TUSCALOOSA,80.0,0,0,1,80.0,80.2,0 [0 - 1],80.0% [80.0% - 80.2%],0,0,2,06-08-2021,projected
11,AZ- MESA,80.71,45,41,54,80.3,81.62,45 [41 - 54],80.71% [80.3% - 81.62%],14,6,32,06-08-2021,projected
12,AZ- PHOENIX,80.42,104,94,127,80.17,81.03,104 [94 - 127],80.42% [80.17% - 81.03%],32,13,78,06-08-2021,projected
14,AZ- SUN CITY,80.25,7,6,8,80.12,80.62,7 [6 - 8],80.25% [80.12% - 80.62%],2,1,5,06-08-2021,projected
15,AZ- TUCSON,80.48,41,36,52,80.16,81.23,41 [36 - 52],80.48% [80.16% - 81.23%],12,4,31,06-08-2021,projected
16,AR- FORT SMITH,81.25,56,50,68,80.62,82.58,56 [50 - 68],81.25% [80.62% - 82.58%],16,8,33,06-08-2021,projected
18,AR- JONESBORO,80.0,0,0,2,80.0,80.55,0 [0 - 2],80.0% [80.0% - 80.55%],0,0,5,06-08-2021,projected
19,AR- LITTLE ROCK,82.03,389,350,458,80.69,84.33,389 [350 - 458],82.03% [80.69% - 84.33%],117,40,250,06-08-2021,projected
21,AR- SPRINGDALE,80.47,18,15,26,80.0,81.51,18 [15 - 26],80.47% [80.0% - 81.51%],5,0,16,06-08-2021,projected
22,AR- TEXARKANA,81.02,35,31,41,80.31,82.14,35 [31 - 41],81.02% [80.31% - 82.14%],10,3,21,06-08-2021,projected
23,CA- ORANGE CO.,80.04,14,12,22,80.0,80.25,14 [12 - 22],80.04% [80.0% - 80.25%],3,0,19,06-08-2021,projected
25,CA- BAKERSFIELD,80.0,0,0,1,80.0,80.08,0 [0 - 1],80.0% [80.0% - 80.08%],0,0,3,06-08-2021,projected
31,CA- CHICO,80.0,0,0,2,80.0,80.47,0 [0 - 2],80.0% [80.0% - 80.47%],0,0,3,06-08-2021,projected
33,CA- CONTRA COSTA CO.,80.15,1,0,3,80.0,80.2,1 [0 - 3],80.15% [80.0% - 80.2%],3,0,4,06-08-2021,projected
43,CA- FRESNO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,06-08-2021,projected
56,CA- LOS ANGELES,80.01,0,0,5,80.0,80.04,0 [0 - 5],80.01% [80.0% - 80.04%],2,0,10,06-08-2021,projected
58,CA- MODESTO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,06-08-2021,projected
62,CA- NAPA,80.0,0,0,2,80.0,80.52,0 [0 - 2],80.0% [80.0% - 80.52%],0,0,3,06-08-2021,projected
