region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,100.19,2893,2709,3145,92.28,111.14,2893 [2709 - 3145],100.19% [92.28% - 111.14%],1705,1037,2630,05-18-2021,projected
2,AL- DOTHAN,83.31,76,72,83,82.26,85.2,76 [72 - 83],83.31% [82.26% - 85.2%],44,30,69,05-18-2021,projected
5,AL- HUNTSVILLE,83.35,104,96,114,81.97,85.27,104 [96 - 114],83.35% [81.97% - 85.27%],63,37,99,05-18-2021,projected
6,AL- MOBILE,81.54,74,69,79,80.81,82.17,74 [69 - 79],81.54% [80.81% - 82.17%],44,23,62,05-18-2021,projected
7,AL- MONTGOMERY,83.82,95,87,122,82.2,89.7,95 [87 - 122],83.82% [82.2% - 89.7%],59,34,150,05-18-2021,projected
9,AL- TUSCALOOSA,81.2,21,20,24,80.9,81.6,21 [20 - 24],81.2% [80.9% - 81.6%],12,9,16,05-18-2021,projected
11,AZ- MESA,83.54,119,112,134,82.42,86.21,119 [112 - 134],83.54% [82.42% - 86.21%],70,48,123,05-18-2021,projected
12,AZ- PHOENIX,82.03,261,246,295,81.4,83.59,261 [246 - 295],82.03% [81.4% - 83.59%],154,106,272,05-18-2021,projected
14,AZ- SUN CITY,81.48,21,20,23,80.99,82.59,21 [20 - 23],81.48% [80.99% - 82.59%],12,8,21,05-18-2021,projected
15,AZ- TUCSON,80.95,38,36,44,80.63,81.7,38 [36 - 44],80.95% [80.63% - 81.7%],24,16,43,05-18-2021,projected
16,AR- FORT SMITH,80.0,0,0,2,80.0,80.62,0 [0 - 2],80.0% [80.0% - 80.62%],0,0,8,05-18-2021,projected
18,AR- JONESBORO,80.88,14,14,14,80.88,80.88,14 [14 - 14],80.88% [80.88% - 80.88%],8,8,8,05-18-2021,projected
19,AR- LITTLE ROCK,81.46,144,136,160,80.97,82.43,144 [136 - 160],81.46% [80.97% - 82.43%],84,56,140,05-18-2021,projected
21,AR- SPRINGDALE,83.78,62,58,68,82.84,85.01,62 [58 - 68],83.78% [82.84% - 85.01%],40,30,53,05-18-2021,projected
22,AR- TEXARKANA,81.73,30,28,35,81.12,83.27,30 [28 - 35],81.73% [81.12% - 83.27%],17,11,32,05-18-2021,projected
23,CA- ORANGE CO.,80.12,14,12,17,80.08,80.29,14 [12 - 17],80.12% [80.08% - 80.29%],9,6,22,05-18-2021,projected
25,CA- BAKERSFIELD,80.75,45,40,49,80.25,81.11,45 [40 - 49],80.75% [80.25% - 81.11%],27,9,40,05-18-2021,projected
31,CA- CHICO,81.41,14,13,14,80.78,81.41,14 [13 - 14],81.41% [80.78% - 81.41%],9,5,9,05-18-2021,projected
33,CA- CONTRA COSTA CO.,81.05,30,28,33,80.7,81.55,30 [28 - 33],81.05% [80.7% - 81.55%],21,14,31,05-18-2021,projected
43,CA- FRESNO,80.44,14,12,16,80.26,80.74,14 [12 - 16],80.44% [80.26% - 80.74%],10,6,17,05-18-2021,projected
56,CA- LOS ANGELES,80.09,32,28,38,80.04,80.2,32 [28 - 38],80.09% [80.04% - 80.2%],23,10,49,05-18-2021,projected
58,CA- MODESTO,80.87,12,9,15,80.29,81.16,12 [9 - 15],80.87% [80.29% - 81.16%],15,5,20,05-18-2021,projected
62,CA- NAPA,80.86,7,7,7,80.86,80.86,7 [7 - 7],80.86% [80.86% - 80.86%],5,5,5,05-18-2021,projected
65,CA- ALAMEDA CO.,80.77,38,35,41,80.53,81.04,38 [35 - 41],80.77% [80.53% - 81.04%],26,18,35,05-18-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.19,0,0,1,80.09,80.28,0 [0 - 1],80.19% [80.09% - 80.28%],2,1,3,05-18-2021,projected
73,CA- REDDING,82.31,35,34,38,81.48,82.96,35 [34 - 38],82.31% [81.48% - 82.96%],25,16,32,05-18-2021,projected
77,CA- SACRAMENTO,81.13,77,73,82,80.79,81.48,77 [73 - 82],81.13% [80.79% - 81.48%],54,38,71,05-18-2021,projected
78,CA- SALINAS,80.63,7,6,7,80.0,80.63,7 [6 - 7],80.63% [80.0% - 80.63%],5,0,5,05-18-2021,projected
79,CA- SAN BERNARDINO,80.28,16,14,21,80.07,80.48,16 [14 - 21],80.28% [80.07% - 80.48%],16,4,28,05-18-2021,projected
80,CA- SAN DIEGO,80.7,72,67,78,80.45,80.94,72 [67 - 78],80.7% [80.45% - 80.94%],49,32,66,05-18-2021,projected
81,CA- SAN FRANCISCO,80.37,21,19,24,80.18,80.47,21 [19 - 24],80.37% [80.18% - 80.47%],19,9,24,05-18-2021,projected
82,CA- SAN JOSE,80.33,14,13,15,80.26,80.56,14 [13 - 15],80.33% [80.26% - 80.56%],10,8,17,05-18-2021,projected
83,CA- SAN LUIS OBISPO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-18-2021,projected
85,CA- SAN MATEO CO.,80.22,7,7,9,80.19,80.41,7 [7 - 9],80.22% [80.19% - 80.41%],6,5,11,05-18-2021,projected
86,CA- SANTA BARBARA,80.1,0,0,1,80.0,80.52,0 [0 - 1],80.1% [80.0% - 80.52%],1,0,5,05-18-2021,projected
87,CA- SANTA CRUZ,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-18-2021,projected
89,CA- SANTA ROSA,80.27,7,6,8,80.0,80.54,7 [6 - 8],80.27% [80.0% - 80.54%],5,0,10,05-18-2021,projected
91,CA- STOCKTON,80.66,7,6,8,80.38,80.85,7 [6 - 8],80.66% [80.38% - 80.85%],7,4,9,05-18-2021,projected
96,CA- VENTURA,80.32,7,6,8,80.25,80.64,7 [6 - 8],80.32% [80.25% - 80.64%],5,4,10,05-18-2021,projected
101,CO- BOULDER,81.05,7,7,8,80.84,81.68,7 [7 - 8],81.05% [80.84% - 81.68%],5,4,8,05-18-2021,projected
102,CO- COLORADO SPRINGS,87.34,127,120,134,85.51,89.66,127 [120 - 134],87.34% [85.51% - 89.66%],76,57,100,05-18-2021,projected
103,CO- DENVER,83.27,249,237,263,82.49,84.31,249 [237 - 263],83.27% [82.49% - 84.31%],156,119,206,05-18-2021,projected
104,CO- FORT COLLINS,82.97,28,27,31,82.35,84.07,28 [27 - 31],82.97% [82.35% - 84.07%],19,15,26,05-18-2021,projected
105,CO- GRAND JUNCTION,82.53,35,33,37,81.89,83.16,35 [33 - 37],82.53% [81.89% - 83.16%],20,15,25,05-18-2021,projected
106,CO- GREELEY,82.19,26,24,27,81.42,82.7,26 [24 - 27],82.19% [81.42% - 82.7%],17,11,21,05-18-2021,projected
107,CO- PUEBLO,81.0,14,13,15,80.75,81.25,14 [13 - 15],81.0% [80.75% - 81.25%],8,6,10,05-18-2021,projected
109,CT- BRIDGEPORT,80.41,8,7,9,80.35,80.53,8 [7 - 9],80.41% [80.35% - 80.53%],7,6,9,05-18-2021,projected
110,CT- HARTFORD,80.71,32,30,35,80.55,81.2,32 [30 - 35],80.71% [80.55% - 81.2%],23,18,39,05-18-2021,projected
111,CT- NEW HAVEN,80.52,27,26,28,80.39,80.67,27 [26 - 28],80.52% [80.39% - 80.67%],20,15,26,05-18-2021,projected
112,DE- WILMINGTON,81.29,30,28,33,80.86,81.5,30 [28 - 33],81.29% [80.86% - 81.5%],24,16,28,05-18-2021,projected
113,DC- WASHINGTON,81.07,77,71,85,80.64,81.37,77 [71 - 85],81.07% [80.64% - 81.37%],59,35,75,05-18-2021,projected
115,FL- BRADENTON,82.12,21,20,23,81.69,82.68,21 [20 - 23],82.12% [81.69% - 82.68%],15,12,19,05-18-2021,projected
116,FL- CLEARWATER,80.55,11,10,12,80.43,80.67,11 [10 - 12],80.55% [80.43% - 80.67%],9,7,11,05-18-2021,projected
118,FL- FORT LAUDERDALE,80.85,105,100,112,80.64,81.14,105 [100 - 112],80.85% [80.64% - 81.14%],74,56,99,05-18-2021,projected
119,FL- FORT MYERS,82.14,127,120,134,81.57,82.67,127 [120 - 134],82.14% [81.57% - 82.67%],82,60,102,05-18-2021,projected
120,FL- GAINESVILLE,80.65,21,19,22,80.6,80.98,21 [19 - 22],80.65% [80.6% - 80.98%],12,11,18,05-18-2021,projected
122,FL- HUDSON,81.36,27,26,29,81.2,81.76,27 [26 - 29],81.36% [81.2% - 81.76%],17,15,22,05-18-2021,projected
123,FL- JACKSONVILLE,81.4,108,100,117,81.02,81.93,108 [100 - 117],81.4% [81.02% - 81.93%],69,50,95,05-18-2021,projected
124,FL- LAKELAND,82.15,34,32,36,81.59,82.62,34 [32 - 36],82.15% [81.59% - 82.62%],23,17,28,05-18-2021,projected
127,FL- MIAMI,80.68,94,85,103,80.35,80.99,94 [85 - 103],80.68% [80.35% - 80.99%],73,38,107,05-18-2021,projected
129,FL- OCALA,81.24,28,27,29,81.02,81.75,28 [27 - 29],81.24% [81.02% - 81.75%],17,14,24,05-18-2021,projected
130,FL- ORLANDO,81.56,240,228,253,81.11,81.99,240 [228 - 253],81.56% [81.11% - 81.99%],162,115,206,05-18-2021,projected
131,FL- ORMOND BEACH,80.67,13,12,14,80.42,80.79,13 [12 - 14],80.67% [80.42% - 80.79%],11,7,13,05-18-2021,projected
133,FL- PANAMA CITY,80.9,7,7,8,80.6,81.05,7 [7 - 8],80.9% [80.6% - 81.05%],6,4,7,05-18-2021,projected
134,FL- PENSACOLA,80.51,21,20,23,80.47,80.81,21 [20 - 23],80.51% [80.47% - 80.81%],12,11,19,05-18-2021,projected
137,FL- SARASOTA,80.83,18,17,19,80.62,81.11,18 [17 - 19],80.83% [80.62% - 81.11%],12,9,16,05-18-2021,projected
139,FL- ST PETERSBURG,80.44,11,10,12,80.38,80.56,11 [10 - 12],80.44% [80.38% - 80.56%],7,6,9,05-18-2021,projected
