region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,138.47,2893,2709,3145,118.91,167.07,2893 [2709 - 3145],138.47% [118.91% - 167.07%],4938,3286,7353,05-18-2021,projected
2,AL- DOTHAN,88.96,76,72,83,86.4,92.95,76 [72 - 83],88.96% [86.4% - 92.95%],119,85,172,05-18-2021,projected
5,AL- HUNTSVILLE,89.1,104,96,114,86.06,94.31,104 [96 - 114],89.1% [86.06% - 94.31%],171,114,269,05-18-2021,projected
6,AL- MOBILE,84.66,74,69,79,82.91,86.37,74 [69 - 79],84.66% [82.91% - 86.37%],133,83,182,05-18-2021,projected
7,AL- MONTGOMERY,90.22,95,87,122,86.73,102.96,95 [87 - 122],90.22% [86.73% - 102.96%],158,104,355,05-18-2021,projected
9,AL- TUSCALOOSA,83.91,21,20,24,83.21,85.61,21 [20 - 24],83.91% [83.21% - 85.61%],39,32,56,05-18-2021,projected
11,AZ- MESA,91.77,119,112,134,88.89,99.7,119 [112 - 134],91.77% [88.89% - 99.7%],233,176,390,05-18-2021,projected
12,AZ- PHOENIX,86.71,261,246,295,85.06,91.23,261 [246 - 295],86.71% [85.06% - 91.23%],508,383,851,05-18-2021,projected
14,AZ- SUN CITY,84.81,21,20,23,83.7,88.15,21 [20 - 23],84.81% [83.7% - 88.15%],39,30,66,05-18-2021,projected
15,AZ- TUCSON,83.45,38,36,44,82.54,85.71,38 [36 - 44],83.45% [82.54% - 85.71%],87,64,144,05-18-2021,projected
16,AR- FORT SMITH,80.47,0,0,2,80.0,82.03,0 [0 - 2],80.47% [80.0% - 82.03%],6,0,26,05-18-2021,projected
18,AR- JONESBORO,82.88,14,14,14,82.88,82.88,14 [14 - 14],82.88% [82.88% - 82.88%],26,26,26,05-18-2021,projected
19,AR- LITTLE ROCK,84.73,144,136,160,83.59,86.34,144 [136 - 160],84.73% [83.59% - 86.34%],273,207,366,05-18-2021,projected
21,AR- SPRINGDALE,92.3,62,58,68,90.6,95.23,62 [58 - 68],92.3% [90.6% - 95.23%],130,112,161,05-18-2021,projected
22,AR- TEXARKANA,85.1,30,28,35,83.78,89.08,30 [28 - 35],85.1% [83.78% - 89.08%],50,37,89,05-18-2021,projected
23,CA- ORANGE CO.,80.55,14,12,17,80.29,81.05,14 [12 - 17],80.55% [80.29% - 81.05%],42,22,80,05-18-2021,projected
25,CA- BAKERSFIELD,82.54,45,40,49,81.3,83.68,45 [40 - 49],82.54% [81.3% - 83.68%],92,47,133,05-18-2021,projected
31,CA- CHICO,84.69,14,13,14,83.91,84.69,14 [13 - 14],84.69% [83.91% - 84.69%],30,25,30,05-18-2021,projected
33,CA- CONTRA COSTA CO.,84.04,30,28,33,82.95,85.39,30 [28 - 33],84.04% [82.95% - 85.39%],81,59,108,05-18-2021,projected
43,CA- FRESNO,81.75,14,12,16,80.88,82.58,14 [12 - 16],81.75% [80.88% - 82.58%],40,20,59,05-18-2021,projected
56,CA- LOS ANGELES,80.42,32,28,38,80.19,80.79,32 [28 - 38],80.42% [80.19% - 80.79%],104,48,197,05-18-2021,projected
58,CA- MODESTO,83.14,12,9,15,81.45,84.42,12 [9 - 15],83.14% [81.45% - 84.42%],54,25,76,05-18-2021,projected
62,CA- NAPA,82.92,7,7,7,82.75,82.92,7 [7 - 7],82.92% [82.75% - 82.92%],17,16,17,05-18-2021,projected
