region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.33,53,47,64,80.14,80.69,53 [47 - 64],80.33% [80.14% - 80.69%],28,12,58,03-09-2021
2,AL- DOTHAN,80.0,0,0,1,80.0,80.23,0 [0 - 1],80.0% [80.0% - 80.23%],0,0,3,03-09-2021
5,AL- HUNTSVILLE,80.27,9,8,12,80.16,80.64,9 [8 - 12],80.27% [80.16% - 80.64%],5,3,12,03-09-2021
6,AL- MOBILE,80.32,16,14,20,80.18,80.67,16 [14 - 20],80.32% [80.18% - 80.67%],9,5,19,03-09-2021
7,AL- MONTGOMERY,80.0,0,0,1,80.0,80.19,0 [0 - 1],80.0% [80.0% - 80.19%],0,0,3,03-09-2021
9,AL- TUSCALOOSA,80.6,9,7,10,80.0,80.6,9 [7 - 10],80.6% [80.0% - 80.6%],6,0,6,03-09-2021
11,AZ- MESA,80.3,7,7,9,80.15,80.45,7 [7 - 9],80.3% [80.15% - 80.45%],6,3,9,03-09-2021
12,AZ- PHOENIX,80.16,21,19,25,80.09,80.3,21 [19 - 25],80.16% [80.09% - 80.3%],12,7,23,03-09-2021
14,AZ- SUN CITY,80.12,0,0,0,80.0,80.12,0 [0 - 0],80.12% [80.0% - 80.12%],1,0,1,03-09-2021
15,AZ- TUCSON,80.2,14,12,14,80.0,80.32,14 [12 - 14],80.2% [80.0% - 80.32%],5,0,8,03-09-2021
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-09-2021
18,AR- JONESBORO,80.0,0,0,1,80.0,80.33,0 [0 - 1],80.0% [80.0% - 80.33%],0,0,3,03-09-2021
19,AR- LITTLE ROCK,80.24,27,24,38,80.09,80.87,27 [24 - 38],80.24% [80.09% - 80.87%],14,5,50,03-09-2021
