region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,81.55,124,113,145,80.71,83.27,124 [113 - 145],81.55% [80.71% - 83.27%],131,60,276,03-09-2021
2,AL- DOTHAN,80.83,14,12,15,80.0,80.83,14 [12 - 15],80.83% [80.0% - 80.83%],11,0,11,03-09-2021
5,AL- HUNTSVILLE,81.54,28,25,34,80.69,83.46,28 [25 - 34],81.54% [80.69% - 83.46%],29,13,65,03-09-2021
6,AL- MOBILE,81.68,49,44,54,80.77,82.94,49 [44 - 54],81.68% [80.77% - 82.94%],48,22,84,03-09-2021
7,AL- MONTGOMERY,80.97,14,12,15,80.06,81.55,14 [12 - 15],80.97% [80.06% - 81.55%],15,1,24,03-09-2021
9,AL- TUSCALOOSA,81.3,14,13,17,81.2,82.81,14 [13 - 17],81.3% [81.2% - 82.81%],13,12,28,03-09-2021
11,AZ- MESA,81.36,28,25,31,80.71,82.53,28 [25 - 31],81.36% [80.71% - 82.53%],27,14,50,03-09-2021
12,AZ- PHOENIX,80.92,63,57,72,80.37,81.69,63 [57 - 72],80.92% [80.37% - 81.69%],70,28,128,03-09-2021
14,AZ- SUN CITY,80.49,2,1,3,80.25,80.86,2 [1 - 3],80.49% [80.25% - 80.86%],4,2,7,03-09-2021
15,AZ- TUCSON,80.95,21,20,25,80.48,81.74,21 [20 - 25],80.95% [80.48% - 81.74%],24,12,44,03-09-2021
16,AR- FORT SMITH,80.55,7,6,8,80.0,80.94,7 [6 - 8],80.55% [80.0% - 80.94%],7,0,12,03-09-2021
18,AR- JONESBORO,80.55,7,6,8,80.0,81.88,7 [6 - 8],80.55% [80.0% - 81.88%],5,0,17,03-09-2021
19,AR- LITTLE ROCK,81.49,83,76,107,80.55,84.31,83 [76 - 107],81.49% [80.55% - 84.31%],86,32,249,03-09-2021
21,AR- SPRINGDALE,83.03,35,32,40,81.04,85.77,35 [32 - 40],83.03% [81.04% - 85.77%],32,11,61,03-09-2021
22,AR- TEXARKANA,82.55,26,22,29,80.0,84.59,26 [22 - 29],82.55% [80.0% - 84.59%],25,0,45,03-09-2021
23,CA- ORANGE CO.,80.25,14,13,16,80.12,80.42,14 [13 - 16],80.25% [80.12% - 80.42%],19,9,32,03-09-2021
25,CA- BAKERSFIELD,80.28,7,6,9,80.14,80.61,7 [6 - 9],80.28% [80.14% - 80.61%],10,5,22,03-09-2021
31,CA- CHICO,80.0,0,0,1,80.0,80.78,0 [0 - 1],80.0% [80.0% - 80.78%],0,0,5,03-09-2021
33,CA- CONTRA COSTA CO.,80.8,14,13,16,80.4,81.4,14 [13 - 16],80.8% [80.4% - 81.4%],16,8,28,03-09-2021
43,CA- FRESNO,80.66,11,10,13,80.22,81.01,11 [10 - 13],80.66% [80.22% - 81.01%],15,5,23,03-09-2021
56,CA- LOS ANGELES,80.26,50,45,56,80.12,80.44,50 [45 - 56],80.26% [80.12% - 80.44%],64,29,110,03-09-2021
58,CA- MODESTO,80.99,14,13,17,80.29,81.92,14 [13 - 17],80.99% [80.29% - 81.92%],17,5,33,03-09-2021
62,CA- NAPA,81.03,7,6,7,80.0,81.72,7 [6 - 7],81.03% [80.0% - 81.72%],6,0,10,03-09-2021
65,CA- ALAMEDA CO.,80.18,7,6,8,80.0,80.33,7 [6 - 8],80.18% [80.0% - 80.33%],6,0,11,03-09-2021
69,CA- PALM SPR/RANCHO MIR.,80.09,0,0,0,80.0,80.09,0 [0 - 0],80.09% [80.0% - 80.09%],1,0,1,03-09-2021
73,CA- REDDING,82.22,23,21,26,81.39,83.97,23 [21 - 26],82.22% [81.39% - 83.97%],24,15,43,03-09-2021
77,CA- SACRAMENTO,80.71,35,31,39,80.23,81.25,35 [31 - 39],80.71% [80.23% - 81.25%],34,11,60,03-09-2021
78,CA- SALINAS,80.0,0,0,1,80.0,80.63,0 [0 - 1],80.0% [80.0% - 80.63%],0,0,5,03-09-2021
79,CA- SAN BERNARDINO,80.22,9,8,11,80.09,80.35,9 [8 - 11],80.22% [80.09% - 80.35%],13,5,20,03-09-2021
