date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
02-28-2021,19,15,20
03-01-2021,18,14,21
03-02-2021,18,14,22
03-03-2021,17,13,21
03-04-2021,18,13,21
03-05-2021,18,12,22
03-06-2021,18,11,23
03-07-2021,16,11,24
03-08-2021,17,10,24
03-09-2021,16,10,24
03-10-2021,16,10,24
03-11-2021,16,10,25
03-12-2021,16,10,25
03-13-2021,16,9,25
03-14-2021,16,8,25
03-15-2021,16,8,26
03-16-2021,16,8,26
03-17-2021,15,7,27
03-18-2021,15,6,27
03-19-2021,15,6,28
03-20-2021,15,6,29
03-21-2021,15,6,29
03-22-2021,14,6,30
03-23-2021,14,5,30
03-24-2021,14,5,30
03-25-2021,14,5,30
03-26-2021,13,4,30
03-27-2021,13,4,31
03-28-2021,13,4,32
03-29-2021,12,4,32
03-30-2021,12,4,32
03-31-2021,12,4,33
04-01-2021,12,3,32
04-02-2021,12,3,33
04-03-2021,12,3,33
04-04-2021,12,3,32
04-05-2021,11,3,32
04-06-2021,10,2,32
04-07-2021,10,2,32
04-08-2021,10,2,31
04-09-2021,9,1,30
04-10-2021,9,1,29
04-11-2021,9,1,29
04-12-2021,8,1,28
04-13-2021,8,1,27
04-14-2021,8,1,27
04-15-2021,7,1,26
04-16-2021,7,1,25
04-17-2021,7,1,24
04-18-2021,7,1,24
04-19-2021,6,1,24
04-20-2021,6,1,23
04-21-2021,6,1,22
04-22-2021,5,1,21
04-23-2021,5,1,21
04-24-2021,5,1,21
04-25-2021,5,0,20
04-26-2021,4,0,20
04-27-2021,4,0,19
04-28-2021,4,0,18
04-29-2021,4,0,18
04-30-2021,4,0,18
05-01-2021,4,0,17
