region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.62,84,75,101,80.18,81.31,84 [75 - 101],80.62% [80.18% - 81.31%],52,15,111,02-16-2021
2,AL- DOTHAN,80.3,7,6,8,80.0,80.6,7 [6 - 8],80.3% [80.0% - 80.6%],4,0,8,02-16-2021
5,AL- HUNTSVILLE,80.64,21,20,24,80.43,81.33,21 [20 - 24],80.64% [80.43% - 81.33%],12,8,25,02-16-2021
6,AL- MOBILE,80.63,28,25,34,80.28,81.44,28 [25 - 34],80.63% [80.28% - 81.44%],18,8,41,02-16-2021
7,AL- MONTGOMERY,80.45,14,12,19,80.32,81.68,14 [12 - 19],80.45% [80.32% - 81.68%],7,5,26,02-16-2021
9,AL- TUSCALOOSA,80.7,14,13,17,80.4,82.1,14 [13 - 17],80.7% [80.4% - 82.1%],7,4,21,02-16-2021
11,AZ- MESA,80.76,20,18,23,80.3,81.21,20 [18 - 23],80.76% [80.3% - 81.21%],15,6,24,02-16-2021
12,AZ- PHOENIX,80.41,45,40,51,80.16,80.73,45 [40 - 51],80.41% [80.16% - 80.73%],31,12,55,02-16-2021
14,AZ- SUN CITY,80.37,5,4,6,80.12,80.49,5 [4 - 6],80.37% [80.12% - 80.49%],3,1,4,02-16-2021
15,AZ- TUCSON,80.24,7,6,9,80.12,80.44,7 [6 - 9],80.24% [80.12% - 80.44%],6,3,11,02-16-2021
16,AR- FORT SMITH,80.62,12,10,15,80.0,81.09,12 [10 - 15],80.62% [80.0% - 81.09%],8,0,14,02-16-2021
18,AR- JONESBORO,80.0,0,0,1,80.0,80.33,0 [0 - 1],80.0% [80.0% - 80.33%],0,0,3,02-16-2021
19,AR- LITTLE ROCK,80.42,34,30,43,80.14,80.95,34 [30 - 43],80.42% [80.14% - 80.95%],24,8,55,02-16-2021
21,AR- SPRINGDALE,80.47,7,7,9,80.28,81.32,7 [7 - 9],80.47% [80.28% - 81.32%],5,3,14,02-16-2021
22,AR- TEXARKANA,81.73,28,25,34,80.82,84.08,28 [25 - 34],81.73% [80.82% - 84.08%],17,8,40,02-16-2021
23,CA- ORANGE CO.,80.35,39,36,44,80.2,80.63,39 [36 - 44],80.35% [80.2% - 80.63%],27,15,48,02-16-2021
25,CA- BAKERSFIELD,80.77,42,38,47,80.39,81.24,42 [38 - 47],80.77% [80.39% - 81.24%],28,14,45,02-16-2021
31,CA- CHICO,80.0,0,0,1,80.0,80.31,0 [0 - 1],80.0% [80.0% - 80.31%],0,0,2,02-16-2021
33,CA- CONTRA COSTA CO.,80.35,7,6,9,80.2,80.6,7 [6 - 9],80.35% [80.2% - 80.6%],7,4,12,02-16-2021
43,CA- FRESNO,80.13,7,6,8,80.0,80.35,7 [6 - 8],80.13% [80.0% - 80.35%],3,0,8,02-16-2021
56,CA- LOS ANGELES,80.11,36,32,41,80.05,80.19,36 [32 - 41],80.11% [80.05% - 80.19%],27,12,48,02-16-2021
58,CA- MODESTO,80.76,21,19,24,80.41,81.45,21 [19 - 24],80.76% [80.41% - 81.45%],13,7,25,02-16-2021
62,CA- NAPA,80.86,7,6,8,80.0,81.2,7 [6 - 8],80.86% [80.0% - 81.2%],5,0,7,02-16-2021
65,CA- ALAMEDA CO.,80.24,9,8,11,80.09,80.38,9 [8 - 11],80.24% [80.09% - 80.38%],8,3,13,02-16-2021
