region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.25,40,36,49,80.06,80.56,40 [36 - 49],80.25% [80.06% - 80.56%],21,5,47,02-16-2021
2,AL- DOTHAN,80.08,0,0,1,80.0,80.23,0 [0 - 1],80.08% [80.0% - 80.23%],1,0,3,02-16-2021
5,AL- HUNTSVILLE,80.32,14,12,15,80.11,80.53,14 [12 - 15],80.32% [80.11% - 80.53%],6,2,10,02-16-2021
6,AL- MOBILE,80.28,14,13,18,80.14,80.7,14 [13 - 18],80.28% [80.14% - 80.7%],8,4,20,02-16-2021
7,AL- MONTGOMERY,80.26,7,6,9,80.06,80.65,7 [6 - 9],80.26% [80.06% - 80.65%],4,1,10,02-16-2021
9,AL- TUSCALOOSA,80.3,7,6,8,80.2,80.7,7 [6 - 8],80.3% [80.2% - 80.7%],3,2,7,02-16-2021
11,AZ- MESA,80.3,13,11,15,80.15,80.61,13 [11 - 15],80.3% [80.15% - 80.61%],6,3,12,02-16-2021
12,AZ- PHOENIX,80.16,24,21,28,80.07,80.34,24 [21 - 28],80.16% [80.07% - 80.34%],12,5,26,02-16-2021
14,AZ- SUN CITY,80.12,0,0,1,80.12,80.25,0 [0 - 1],80.12% [80.12% - 80.25%],1,1,2,02-16-2021
15,AZ- TUCSON,80.08,7,6,7,80.0,80.16,7 [6 - 7],80.08% [80.0% - 80.16%],2,0,4,02-16-2021
16,AR- FORT SMITH,80.0,0,0,2,80.0,80.47,0 [0 - 2],80.0% [80.0% - 80.47%],0,0,6,02-16-2021
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,02-16-2021
19,AR- LITTLE ROCK,80.17,20,18,25,80.03,80.43,20 [18 - 25],80.17% [80.03% - 80.43%],10,2,25,02-16-2021
21,AR- SPRINGDALE,80.38,7,6,7,80.0,80.47,7 [6 - 7],80.38% [80.0% - 80.47%],4,0,5,02-16-2021
22,AR- TEXARKANA,80.82,20,18,22,80.2,81.33,20 [18 - 22],80.82% [80.2% - 81.33%],8,2,13,02-16-2021
23,CA- ORANGE CO.,80.16,23,21,26,80.08,80.27,23 [21 - 26],80.16% [80.08% - 80.27%],12,6,21,02-16-2021
25,CA- BAKERSFIELD,80.33,21,19,25,80.17,80.58,21 [19 - 25],80.33% [80.17% - 80.58%],12,6,21,02-16-2021
31,CA- CHICO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,02-16-2021
33,CA- CONTRA COSTA CO.,80.15,6,5,7,80.05,80.3,6 [5 - 7],80.15% [80.05% - 80.3%],3,1,6,02-16-2021
43,CA- FRESNO,80.09,3,2,4,80.0,80.13,3 [2 - 4],80.09% [80.0% - 80.13%],2,0,3,02-16-2021
56,CA- LOS ANGELES,80.05,23,20,27,80.02,80.1,23 [20 - 27],80.05% [80.02% - 80.1%],13,5,24,02-16-2021
58,CA- MODESTO,80.35,12,11,14,80.12,80.64,12 [11 - 14],80.35% [80.12% - 80.64%],6,2,11,02-16-2021
62,CA- NAPA,80.0,0,0,1,80.0,80.69,0 [0 - 1],80.0% [80.0% - 80.69%],0,0,4,02-16-2021
65,CA- ALAMEDA CO.,80.12,7,6,8,80.06,80.18,7 [6 - 8],80.12% [80.06% - 80.18%],4,2,6,02-16-2021
69,CA- PALM SPR/RANCHO MIR.,80.0,0,0,0,80.0,80.09,0 [0 - 0],80.0% [80.0% - 80.09%],0,0,1,02-16-2021
73,CA- REDDING,80.37,7,7,9,80.18,80.74,7 [7 - 9],80.37% [80.18% - 80.74%],4,2,8,02-16-2021
