date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,82.4,,,,,,,,429,,,actual
06-05-2021,82.2,,,,,,,,393,,,actual
06-12-2021,81.87,,,,,,,,334,,,actual
06-19-2021,80.18,207,190,288,80.09,80.62,207 [190 - 288],80.18% [80.09% - 80.62%],32,17,111,projected
06-26-2021,80.25,272,243,454,80.08,81.25,272 [243 - 454],80.25% [80.08% - 81.25%],44,15,224,projected
07-03-2021,80.37,416,365,664,80.09,81.71,416 [365 - 664],80.37% [80.09% - 81.71%],67,16,306,projected
07-10-2021,80.53,591,513,852,80.12,81.83,591 [513 - 852],80.53% [80.12% - 81.83%],95,21,328,projected
07-17-2021,80.69,775,673,1073,80.15,82.33,775 [673 - 1073],80.69% [80.15% - 82.33%],124,27,417,projected
07-24-2021,80.79,935,818,1278,80.17,82.69,935 [818 - 1278],80.79% [80.17% - 82.69%],142,30,482,projected
07-31-2021,80.86,1049,919,1422,80.16,82.89,1049 [919 - 1422],80.86% [80.16% - 82.89%],154,29,517,projected
