date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-08-2021,83.95,,,,,,,,163,,,actual
05-15-2021,83.56,,,,,,,,147,,,actual
05-22-2021,83.27,,,,,,,,135,,,actual
05-29-2021,81.09,32,31,34,80.94,81.45,32 [31 - 34],81.09% [80.94% - 81.45%],45,39,60,projected
06-05-2021,80.87,28,26,29,80.7,81.16,28 [26 - 29],80.87% [80.7% - 81.16%],36,29,48,projected
06-12-2021,80.78,22,20,25,80.48,80.97,22 [20 - 25],80.78% [80.48% - 80.97%],32,20,40,projected
06-19-2021,80.61,21,19,24,80.22,81.02,21 [19 - 24],80.61% [80.22% - 81.02%],25,9,42,projected
06-26-2021,80.7,26,23,30,80.19,81.28,26 [23 - 30],80.7% [80.19% - 81.28%],29,8,53,projected
07-03-2021,80.7,15,12,21,80.15,81.33,15 [12 - 21],80.7% [80.15% - 81.33%],29,6,55,projected
07-10-2021,80.48,18,16,26,80.19,81.74,18 [16 - 26],80.48% [80.19% - 81.74%],20,8,72,projected
