date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
02-27-2021,89.96,,,,,,,,377,,,actual
03-06-2021,87.9,,,,,,,,299,,,actual
03-13-2021,86.52,,,,,,,,247,,,actual
03-20-2021,83.99,100,96,105,83.46,84.54,100 [96 - 105],83.99% [83.46% - 84.54%],151,131,172,projected
03-27-2021,83.01,81,76,84,82.38,83.72,81 [76 - 84],83.01% [82.38% - 83.72%],114,90,141,projected
04-03-2021,82.38,61,56,66,81.51,82.96,61 [56 - 66],82.38% [81.51% - 82.96%],90,57,112,projected
04-10-2021,81.85,51,46,57,80.98,82.83,51 [46 - 57],81.85% [80.98% - 82.83%],70,37,107,projected
04-17-2021,81.51,49,44,54,80.61,82.77,49 [44 - 54],81.51% [80.61% - 82.77%],57,23,105,projected
04-24-2021,81.43,49,44,54,80.42,82.51,49 [44 - 54],81.43% [80.42% - 82.51%],54,16,95,projected
05-01-2021,81.45,49,44,55,80.42,82.72,49 [44 - 55],81.45% [80.42% - 82.72%],55,16,103,projected
