date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,82.4,,,,,,,,429,,,actual
06-05-2021,82.2,,,,,,,,393,,,actual
06-12-2021,81.87,,,,,,,,334,,,actual
06-19-2021,81.37,153,139,186,80.87,82.88,153 [139 - 186],81.37% [80.87% - 82.88%],246,155,515,projected
06-26-2021,81.17,133,120,174,80.65,82.74,133 [120 - 174],81.17% [80.65% - 82.74%],210,116,490,projected
07-03-2021,81.15,141,124,195,80.39,83.47,141 [124 - 195],81.15% [80.39% - 83.47%],205,70,621,projected
07-10-2021,81.12,119,105,182,80.35,83.59,119 [105 - 182],81.12% [80.35% - 83.59%],201,63,643,projected
07-17-2021,81.08,134,118,201,80.31,84.46,134 [118 - 201],81.08% [80.31% - 84.46%],193,55,798,projected
07-24-2021,81.18,147,131,215,80.36,84.81,147 [131 - 215],81.18% [80.36% - 84.81%],212,64,861,projected
07-31-2021,81.22,150,134,224,80.36,84.96,150 [134 - 224],81.22% [80.36% - 84.96%],218,64,887,projected
