date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-01-2021,84.87,,,,,,,,871,,,actual
05-08-2021,84.06,,,,,,,,727,,,actual
05-15-2021,83.53,,,,,,,,631,,,actual
05-22-2021,82.17,257,248,267,81.89,82.45,257 [248 - 267],82.17% [81.89% - 82.45%],388,339,439,projected
05-29-2021,81.61,194,179,207,81.36,81.87,194 [179 - 207],81.61% [81.36% - 81.87%],288,243,335,projected
06-05-2021,81.18,132,121,151,80.76,81.71,132 [121 - 151],81.18% [80.76% - 81.71%],211,136,306,projected
06-12-2021,80.82,107,97,123,80.56,81.46,107 [97 - 123],80.82% [80.56% - 81.46%],147,101,262,projected
06-19-2021,80.66,86,77,102,80.34,81.27,86 [77 - 102],80.66% [80.34% - 81.27%],118,61,227,projected
06-26-2021,80.5,70,62,88,80.17,81.17,70 [62 - 88],80.5% [80.17% - 81.17%],89,30,210,projected
07-03-2021,80.41,63,56,83,80.13,81.16,63 [56 - 83],80.41% [80.13% - 81.16%],73,23,207,projected
