date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,81.33,,,,,,,,16,,,actual
06-05-2021,81.5,,,,,,,,18,,,actual
06-12-2021,80.92,,,,,,,,11,,,actual
06-19-2021,80.75,7,6,8,80.0,81.58,7 [6 - 8],80.75% [80.0% - 81.58%],9,0,19,projected
06-26-2021,80.75,7,7,10,80.42,81.67,7 [7 - 10],80.75% [80.42% - 81.67%],9,5,20,projected
07-03-2021,80.75,7,7,13,80.75,82.5,7 [7 - 13],80.75% [80.75% - 82.5%],9,9,30,projected
07-10-2021,81.0,9,8,15,80.75,84.75,9 [8 - 15],81.0% [80.75% - 84.75%],12,9,57,projected
07-17-2021,81.58,14,13,21,80.75,85.42,14 [13 - 21],81.58% [80.75% - 85.42%],19,9,65,projected
07-24-2021,81.58,14,13,23,80.75,85.84,14 [13 - 23],81.58% [80.75% - 85.84%],19,9,70,projected
07-31-2021,81.58,14,13,23,80.75,86.67,14 [13 - 23],81.58% [80.75% - 86.67%],19,9,80,projected
