name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-08-01 03:00:00,68135,4512,63623
Guangdong,Mainland China,2020-08-01 03:00:00,1672,8,1645
Henan,Mainland China,2020-08-01 03:00:00,1276,22,1254
Zhejiang,Mainland China,2020-08-01 03:00:00,1270,1,1268
Hunan,Mainland China,2020-08-01 03:00:00,1019,4,1015
Anhui,Mainland China,2020-08-01 03:00:00,991,6,985
Heilongjiang,Mainland China,2020-08-01 03:00:00,947,13,934
Jiangxi,Mainland China,2020-08-01 03:00:00,932,1,931
Beijing,Mainland China,2020-08-01 03:00:00,929,9,881
Shandong,Mainland China,2020-08-01 03:00:00,799,7,785
Shanghai,Mainland China,2020-08-01 03:00:00,741,7,717
Jiangsu,Mainland China,2020-08-01 03:00:00,655,0,654
Sichuan,Mainland China,2020-08-01 03:00:00,604,3,594
Chongqing,Mainland China,2020-08-01 03:00:00,583,6,576
Fujian,Mainland China,2020-08-01 03:00:00,366,1,361
Hebei,Mainland China,2020-08-01 03:00:00,349,6,343
Shaanxi,Mainland China,2020-08-01 03:00:00,323,3,318
Guangxi,Mainland China,2020-08-01 03:00:00,255,2,252
Xinjiang Uygur,Mainland China,2020-08-01 03:00:00,254,3,73
Nei Mongol,Mainland China,2020-08-01 03:00:00,249,1,237
Tianjin,Mainland China,2020-08-01 03:00:00,204,3,195
Liaoning,Mainland China,2020-08-01 03:00:00,203,2,160
Shanxi,Mainland China,2020-08-01 03:00:00,201,0,200
Yunnan,Mainland China,2020-08-01 03:00:00,189,2,186
Hainan,Mainland China,2020-08-01 03:00:00,171,6,165
Gansu,Mainland China,2020-08-01 03:00:00,167,2,165
Jilin,Mainland China,2020-08-01 03:00:00,157,2,153
Guizhou,Mainland China,2020-08-01 03:00:00,147,2,145
Ningxia,Mainland China,2020-08-01 03:00:00,75,0,75
Qinghai,Mainland China,2020-08-01 03:00:00,18,0,18
Xizang,Mainland China,2020-08-01 03:00:00,1,0,1
Brazil,Brazil,2020-08-01 03:00:00,2666298,92568,1884051
Russia,Russia,2020-08-01 03:00:00,839981,13963,638410
South Africa,South Africa,2020-08-01 03:00:00,493183,8005,326171
Mexico,Mexico,2020-08-01 03:00:00,416179,46000,272187
Peru,Peru,2020-08-01 03:00:00,407492,19021,283915
Chile,Chile,2020-08-01 03:00:00,355667,9457,328327
Iran,Iran,2020-08-01 03:00:00,304204,16766,263519
United Kingdom,United Kingdom,2020-08-01 03:00:00,303181,46119,
Colombia,Colombia,2020-08-01 03:00:00,295508,10105,154387
Spain,Spain,2020-08-01 03:00:00,288522,28445,150376
Pakistan,Pakistan,2020-08-01 03:00:00,278305,5951,247177
Saudi Arabia,Saudi Arabia,2020-08-01 03:00:00,275905,2869,235658
Italy,Italy,2020-08-01 03:00:00,247537,35141,199974
Bangladesh,Bangladesh,2020-08-01 03:00:00,237661,3111,135136
Turkey,Turkey,2020-08-01 03:00:00,230873,5691,214535
Germany,Germany,2020-08-01 03:00:00,210665,9224,191781
Argentina,Argentina,2020-08-01 03:00:00,191289,3543,83767
France,France,2020-08-01 03:00:00,187919,30265,81500
Iraq,Iraq,2020-08-01 03:00:00,124609,4741,87434
Qatar,Qatar,2020-08-01 03:00:00,110695,174,107377
Indonesia,Indonesia,2020-08-01 03:00:00,108376,5131,65907
Egypt,Egypt,2020-08-01 03:00:00,94078,4805,39638
Philippines,Philippines,2020-08-01 03:00:00,93354,2023,65178
Kazakhstan,Kazakhstan,2020-08-01 03:00:00,89078,793,59517
Ecuador,Ecuador,2020-08-01 03:00:00,85702,5657,36044
Sweden,Sweden,2020-08-01 03:00:00,80422,5743,
Oman,Oman,2020-08-01 03:00:00,79159,422,61421
Bolivia,Bolivia,2020-08-01 03:00:00,75234,2894,23305
Israel,Israel,2020-08-01 03:00:00,70970,512,43850
Dominican Republic,Dominican Republic,2020-08-01 03:00:00,69649,1160,36470
Ukraine,Ukraine,2020-08-01 03:00:00,69884,1693,38752
Belgium,Belgium,2020-08-01 03:00:00,68006,9840,18216
Belarus,Belarus,2020-08-01 03:00:00,67808,559,62444
Kuwait,Kuwait,2020-08-01 03:00:00,66957,447,57932
Panama,Panama,2020-08-01 03:00:00,65256,1421,39166
United Arab Emirates,United Arab Emirates,2020-08-01 03:00:00,60506,351,53909
Netherlands,Netherlands,2020-08-01 03:00:00,54301,6147,
Singapore,Singapore,2020-08-01 03:00:00,52205,27,46491
Portugal,Portugal,2020-08-01 03:00:00,51072,1735,36483
Romania,Romania,2020-08-01 03:00:00,50886,2343,27007
Guatemala,Guatemala,2020-08-01 03:00:00,49789,1924,36816
Poland,Poland,2020-08-01 03:00:00,45688,1716,33643
Nigeria,Nigeria,2020-08-01 03:00:00,43151,879,19565
Honduras,Honduras,2020-08-01 03:00:00,41426,1312,5443
Bahrain,Bahrain,2020-08-01 03:00:00,40982,147,37840
Armenia,Armenia,2020-08-01 03:00:00,38550,738,28997
Afghanistan,Afghanistan,2020-08-01 03:00:00,36675,1272,25509
Kyrgyzstan,Kyrgyzstan,2020-08-01 03:00:00,35805,1378,24685
Ghana,Ghana,2020-08-01 03:00:00,35501,182,32096
Switzerland,Switzerland,2020-08-01 03:00:00,35232,1705,31100
Japan,Japan,2020-08-01 03:00:00,34372,1006,24929
Azerbaijan,Azerbaijan,2020-08-01 03:00:00,31560,441,25168
Algeria,Algeria,2020-08-01 03:00:00,30394,1210,20537
Ireland,Ireland,2020-08-01 03:00:00,26065,1763,24000
Serbia,Serbia,2020-08-01 03:00:00,25552,573,19438
Moldova,Moldova,2020-08-01 03:00:00,24733,778,17269
Morocco,Morocco,2020-08-01 03:00:00,24322,353,17658
Uzbekistan,Uzbekistan,2020-08-01 03:00:00,24009,141,14464
Austria,Austria,2020-08-01 03:00:00,21130,718,18758
Kenya,Kenya,2020-08-01 03:00:00,20636,341,8165
Nepal,Nepal,2020-08-01 03:00:00,19771,56,14399
Venezuela,Venezuela,2020-08-01 03:00:00,18574,164,10666
Costa Rica,Costa Rica,2020-08-01 03:00:00,17820,150,4404
Ethiopia,Ethiopia,2020-08-01 03:00:00,17530,274,6950
Cameroon,Cameroon,2020-08-01 03:00:00,17255,391,15320
Australia,Australia,2020-08-01 03:00:00,16905,196,9980
El Salvador,El Salvador,2020-08-01 03:00:00,16632,448,8362
Czech Republic,Czech Republic,2020-08-01 03:00:00,16574,382,11569
Cote d'Ivoire,Cote d'Ivoire,2020-08-01 03:00:00,16047,102,11428
South Korea,South Korea,2020-08-01 03:00:00,14336,301,13233
Denmark,Denmark,2020-08-01 03:00:00,13789,615,12578
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-08-01 03:00:00,11876,339,5959
Palestine,Palestine,2020-08-01 03:00:00,14838,84,5077
Sudan,Sudan,2020-08-01 03:00:00,11644,746,6119
Bulgaria,Bulgaria,2020-08-01 03:00:00,11420,374,6173
Madagascar,Madagascar,2020-08-01 03:00:00,10868,106,7807
North Macedonia,North Macedonia,2020-08-01 03:00:00,10754,486,6554
Senegal,Senegal,2020-08-01 03:00:00,10232,204,6776
Norway,Norway,2020-08-01 03:00:00,9240,255,8752
Democratic Republic of the Congo,Democratic Republic of the Congo,2020-08-01 03:00:00,9070,215,6796
Malaysia,Malaysia,2020-08-01 03:00:00,8976,125,8644
Kosovo,Kosovo,2020-08-01 03:00:00,8104,212,4463
Finland,Finland,2020-08-01 03:00:00,7432,329,6950
Haiti,Haiti,2020-08-01 03:00:00,7412,161,4467
Tajikistan,Tajikistan,2020-08-01 03:00:00,7409,60,6193
Gabon,Gabon,2020-08-01 03:00:00,7352,49,4943
Guinea,Guinea,2020-08-01 03:00:00,7308,46,6458
Luxembourg,Luxembourg,2020-08-01 03:00:00,6695,114,5192
Mauritania,Mauritania,2020-08-01 03:00:00,6310,157,4962
Zambia,Zambia,2020-08-01 03:00:00,5963,151,3803
Paraguay,Paraguay,2020-08-01 03:00:00,5338,49,3548
Albania,Albania,2020-08-01 03:00:00,5276,157,2952
Croatia,Croatia,2020-08-01 03:00:00,5139,145,4267
Djibouti,Djibouti,2020-08-01 03:00:00,5081,58,4999
Equatorial Guinea,Equatorial Guinea,2020-08-01 03:00:00,4821,83,2182
Central African Republic,Central African Republic,2020-08-01 03:00:00,4608,59,1606
Lebanon,Lebanon,2020-08-01 03:00:00,4555,61,1761
Hungary,Hungary,2020-08-01 03:00:00,4505,596,3353
Malawi,Malawi,2020-08-01 03:00:00,3981,109,1807
Maldives,Maldives,2020-08-01 03:00:00,3793,16,2607
Nicaragua,Nicaragua,2020-08-01 03:00:00,3672,116,2492
Libya,Libya,2020-08-01 03:00:00,3621,74,618
Thailand,Thailand,2020-08-01 03:00:00,3310,58,3125
Hong Kong,Hong Kong,2020-08-01 03:00:00,3273,27,1751
Somalia,Somalia,2020-08-01 03:00:00,3212,93,1562
Republic of the Congo,Republic of the Congo,2020-08-01 03:00:00,3200,54,829
Zimbabwe,Zimbabwe,2020-08-01 03:00:00,3169,67,1004
Montenegro,Montenegro,2020-08-01 03:00:00,3112,49,1073
Sri Lanka,Sri Lanka,2020-08-01 03:00:00,2815,11,2391
eSwatini,eSwatini,2020-08-01 03:00:00,2648,41,1214
Cuba,Cuba,2020-08-01 03:00:00,2608,87,2355
Mali,Mali,2020-08-01 03:00:00,2522,124,1931
Cabo Verde,Cabo Verde,2020-08-01 03:00:00,2451,23,1824
South Sudan,South Sudan,2020-08-01 03:00:00,2322,46,1175
Slovakia,Slovakia,2020-08-01 03:00:00,2292,29,1695
Slovenia,Slovenia,2020-08-01 03:00:00,2156,119,1797
Namibia,Namibia,2020-08-01 03:00:00,2129,10,166
Lithuania,Lithuania,2020-08-01 03:00:00,2075,80,1644
Estonia,Estonia,2020-08-01 03:00:00,2064,69,1930
Rwanda,Rwanda,2020-08-01 03:00:00,2022,5,1106
Guinea-Bissau,Guinea-Bissau,2020-08-01 03:00:00,1981,26,803
Iceland,Iceland,2020-08-01 03:00:00,1885,10,1825
Mozambique,Mozambique,2020-08-01 03:00:00,1864,11,641
Sierra Leone,Sierra Leone,2020-08-01 03:00:00,1823,67,1362
Benin,Benin,2020-08-01 03:00:00,1805,36,1036
Yemen,Yemen,2020-08-01 03:00:00,1730,493,862
Suriname,Suriname,2020-08-01 03:00:00,1650,26,1080
Tunisia,Tunisia,2020-08-01 03:00:00,1535,50,1195
Uruguay,Uruguay,2020-08-01 03:00:00,1264,35,994
Latvia,Latvia,2020-08-01 03:00:00,1231,32,1052
New Zealand,New Zealand,2020-08-01 03:00:00,1210,22,1168
Jordan,Jordan,2020-08-01 03:00:00,1193,11,1084
Liberia,Liberia,2020-08-01 03:00:00,1186,75,670
Georgia (country),Georgia,2020-08-01 03:00:00,1168,17,940
Uganda,Uganda,2020-08-01 03:00:00,1154,3,1028
Angola,Angola,2020-08-01 03:00:00,1144,52,433
Niger,Niger,2020-08-01 03:00:00,1134,69,1028
Cyprus,Cyprus,2020-08-01 03:00:00,1114,19,852
Burkina Faso,Burkina Faso,2020-08-01 03:00:00,1117,53,935
Togo,Togo,2020-08-01 03:00:00,941,19,641
Chad,Chad,2020-08-01 03:00:00,936,75,813
Andorra,Andorra,2020-08-01 03:00:00,925,52,807
São Tomé and Príncipe,São Tomé and Príncipe,2020-08-01 03:00:00,871,15,778
Jamaica,Jamaica,2020-08-01 03:00:00,864,10,724
Malta,Malta,2020-08-01 03:00:00,824,9,665
Syria,Syria,2020-08-01 03:00:00,757,43,237
Others,Japan (Diamond Princess),2020-08-01 03:00:00,712,14,653
San Marino,San Marino,2020-08-01 03:00:00,716,42,656
Lesotho,Lesotho,2020-08-01 03:00:00,604,13,144
Bahamas,Bahamas,2020-08-01 03:00:00,574,14,91
Vietnam,Vietnam,2020-08-01 03:00:00,558,3,373
Gambia,Gambia,2020-08-01 03:00:00,498,9,68
Taiwan,Taiwan,2020-08-01 03:00:00,467,7,441
Guyana,Guyana,2020-08-01 03:00:00,413,20,185
Burundi,Burundi,2020-08-01 03:00:00,387,1,304
Comoros,Comoros,2020-08-01 03:00:00,382,7,330
Myanmar,Myanmar,2020-08-01 03:00:00,353,6,295
Mauritius,Mauritius,2020-08-01 03:00:00,344,10,332
Isle of Man,Isle of Man,2020-08-01 03:00:00,336,24,312
Jersey,Jersey,2020-08-01 03:00:00,335,31,
Mongolia,Mongolia,2020-08-01 03:00:00,291,0,225
Eritrea,Eritrea,2020-08-01 03:00:00,279,0,225
Guernsey,Guernsey,2020-08-01 03:00:00,252,13,238
Cambodia,Cambodia,2020-08-01 03:00:00,234,0,164
Faroe Islands,Faroe Islands,2020-08-01 03:00:00,225,0,188
Cayman Islands,Cayman Islands,2020-08-01 03:00:00,203,1,202
Gibraltar,Gibraltar,2020-08-01 03:00:00,187,0,180
Trinidad and Tobago,Trinidad and Tobago,2020-08-01 03:00:00,169,8,132
Bermuda,Bermuda,2020-08-01 03:00:00,156,9,141
Brunei,Brunei,2020-08-01 03:00:00,141,3,138
Botswana,Botswana,2020-08-01 03:00:00,804,2,63
Sint Maarten,Sint Maarten,2020-08-01 03:00:00,128,15,64
Aruba,Aruba,2020-08-01 03:00:00,121,3,105
Monaco,Monaco,2020-08-01 03:00:00,117,4,104
Seychelles,Seychelles,2020-08-01 03:00:00,114,0,39
Barbados,Barbados,2020-08-01 03:00:00,110,7,94
Turks and Caicos Islands,Turks and Caicos Islands,2020-08-01 03:00:00,107,2,38
Bhutan,Bhutan,2020-08-01 03:00:00,101,0,88
Antigua and Barbuda,Antigua and Barbuda,2020-08-01 03:00:00,91,3,67
Liechtenstein,Liechtenstein,2020-08-01 03:00:00,89,1,85
Papua New Guinea,Papua New Guinea,2020-08-01 03:00:00,72,2,11
French Polynesia,French Polynesia,2020-08-01 03:00:00,62,0,60
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2020-08-01 03:00:00,54,0,44
Belize,Belize,2020-08-01 03:00:00,48,2,26
Macau,Macau,2020-08-01 03:00:00,46,0,46
Curacao,Curacao,2020-08-01 03:00:00,29,1,27
Fiji,Fiji,2020-08-01 03:00:00,27,1,19
Saint Lucia,Saint Lucia,2020-08-01 03:00:00,25,0,22
Grenada,Grenada,2020-08-01 03:00:00,24,0,23
Timor-Leste,Timor-Leste,2020-08-01 03:00:00,24,0,24
New Caledonia,New Caledonia,2020-08-01 03:00:00,22,0,22
Laos,Laos,2020-08-01 03:00:00,20,0,19
Dominica,Dominica,2020-08-01 03:00:00,18,0,18
Saint Kitts and Nevis,Saint Kitts and Nevis,2020-08-01 03:00:00,17,0,16
Greenland,Greenland,2020-08-01 03:00:00,14,0,13
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-08-01 03:00:00,13,0,13
Montserrat,Montserrat,2020-08-01 03:00:00,13,1,10
Vatican City,Vatican City,2020-08-01 03:00:00,12,0,12
British Virgin Islands,British Virgin Islands,2020-08-01 03:00:00,8,1,7
Saint Pierre and Miquelon,Saint Pierre and Miquelon,2020-08-01 03:00:00,4,0,1
Anguilla,Anguilla,2020-08-01 03:00:00,3,0,3
French Guiana,French Guiana,2020-08-01 03:00:00,7799,43,6386
Guadeloupe,Guadeloupe,2020-08-01 03:00:00,244,14,
Martinique,Martinique,2020-08-01 03:00:00,269,15,
Mayotte,Mayotte,2020-08-01 03:00:00,2962,39,2721
Saint Barthelemy,Saint Barthelemy,2020-08-01 03:00:00,8,0,
Saint Martin,Saint Martin,2020-08-01 03:00:00,53,3,
Reunion,Reunion,2020-08-01 03:00:00,657,4,472
Tanzania,Tanzania,2020-08-01 03:00:00,509,21,183
India,India,2020-08-01 03:00:00,1697059,36551,1095647
Canada,Canada,2020-08-01 03:00:00,116312,8935,101227
Greece,Greece,2020-08-01 03:00:00,4477,206,
California,USA,2020-08-01 04:00:00,500556,9216,158935
Florida,USA,2020-08-01 04:00:00,470386,6843,381
Texas,USA,2020-08-01 04:00:00,438044,6575,273976
New York,USA,2020-08-01 04:00:00,415274,32646,60477
Georgia,USA,2020-08-01 04:00:00,186356,3752,927
New Jersey,USA,2020-08-01 04:00:00,181660,15905,4018
Illinois,USA,2020-08-01 04:00:00,178837,7496,77607
Arizona,USA,2020-08-01 04:00:00,174010,3694,174
North Carolina,USA,2020-08-01 04:00:00,122148,1930,92302
Massachusetts,USA,2020-08-01 04:00:00,117612,8609,94347
Pennsylvania,USA,2020-08-01 04:00:00,116738,7202,1369
Louisiana,USA,2020-08-01 04:00:00,116280,3949,74246
Tennessee,USA,2020-08-01 04:00:00,105960,1060,66358
Ohio,USA,2020-08-01 04:00:00,91160,3490,7630
Michigan,USA,2020-08-01 04:00:00,90580,6452,57502
Virginia,USA,2020-08-01 04:00:00,89888,2174,11937
South Carolina,USA,2020-08-01 04:00:00,88523,1647,5076
Maryland,USA,2020-08-01 04:00:00,88346,3494,5592
Alabama,USA,2020-08-01 04:00:00,87723,1580,35401
Indiana,USA,2020-08-01 04:00:00,66154,2965,3169
