date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-24-2020,1,0,-1,1,0,-1
02-25-2020,1,0,-1,0,0,-1
02-26-2020,1,0,-1,0,0,-1
02-27-2020,1,0,-1,0,0,-1
02-28-2020,1,0,-1,0,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,1,0,-1,0,0,-1
03-03-2020,1,0,-1,0,0,-1
03-04-2020,1,0,-1,0,0,-1
03-05-2020,1,0,-1,0,0,-1
03-06-2020,1,0,-1,0,0,-1
03-07-2020,4,0,-1,3,0,-1
03-08-2020,4,0,-1,0,0,-1
03-09-2020,4,0,-1,0,0,-1
03-10-2020,4,0,-1,0,0,-1
03-11-2020,7,0,-1,3,0,-1
03-12-2020,7,0,-1,0,0,-1
03-13-2020,7,0,-1,0,0,-1
03-14-2020,10,0,-1,3,0,-1
03-15-2020,16,0,-1,6,0,-1
03-16-2020,21,0,-1,5,0,-1
03-17-2020,22,0,-1,1,0,-1
03-18-2020,22,0,-1,0,0,-1
03-19-2020,22,0,-1,0,0,-1
03-20-2020,24,0,-1,2,0,-1
03-21-2020,24,0,-1,0,0,-1
03-22-2020,34,0,-1,10,0,-1
03-23-2020,40,1,-1,6,1,-1
03-24-2020,42,1,-1,2,0,-1
03-25-2020,74,1,-1,32,0,-1
03-26-2020,80,2,-1,6,1,-1
03-27-2020,91,2,-1,11,0,-1
03-28-2020,106,3,-1,15,1,-1
03-29-2020,114,4,-1,8,1,-1
03-30-2020,114,4,-1,0,0,-1
03-31-2020,166,4,-1,52,0,-1
04-01-2020,192,4,-1,26,0,-1
04-02-2020,235,4,-1,43,0,-1
04-03-2020,269,5,-1,34,1,-1
04-04-2020,270,5,-1,1,0,-1
04-05-2020,299,7,-1,29,2,-1
04-06-2020,337,7,-1,38,0,-1
04-07-2020,367,11,-1,30,4,-1
04-08-2020,423,14,-1,56,3,-1
04-09-2020,484,15,-1,61,1,-1
04-10-2020,521,15,-1,37,0,-1
04-11-2020,521,15,-1,0,0,-1
04-12-2020,555,18,-1,34,3,-1
04-13-2020,665,21,-1,110,3,-1
04-14-2020,714,23,-1,49,2,-1
04-15-2020,784,25,-1,70,2,-1
04-16-2020,794,29,-1,10,4,-1
04-17-2020,845,30,-1,51,1,-1
04-18-2020,908,30,-1,63,0,-1
04-19-2020,996,33,-1,88,3,-1
04-20-2020,996,33,-1,0,0,-1
04-21-2020,1092,36,-1,96,3,-1
04-22-2020,1176,40,-1,84,4,-1
04-23-2020,1176,40,-1,0,0,-1
04-24-2020,1226,40,-1,50,0,-1
04-25-2020,1463,47,-1,237,7,-1
04-26-2020,1463,49,-1,0,2,-1
04-27-2020,1703,57,-1,240,8,-1
04-28-2020,1827,60,-1,124,3,-1
04-29-2020,1827,60,-1,0,0,-1
04-30-2020,2171,64,-1,344,4,-1
05-01-2020,2171,64,-1,0,0,-1
05-02-2020,2469,72,-1,298,8,-1
05-03-2020,2469,72,-1,0,0,-1
05-04-2020,2469,72,-1,0,0,-1
05-05-2020,3224,95,-1,755,23,-1
05-06-2020,3392,104,-1,168,9,-1
05-07-2020,3563,105,-1,171,1,-1
05-08-2020,3563,105,-1,0,0,-1
05-09-2020,4041,115,-1,478,10,-1
05-10-2020,4402,119,-1,361,4,-1
05-11-2020,4664,121,-1,262,2,-1
05-12-2020,4967,127,-1,303,6,-1
05-13-2020,5226,130,-1,259,3,-1
05-14-2020,5339,136,-1,113,6,-1
05-15-2020,6053,153,-1,714,17,-1
05-16-2020,6402,168,-1,349,15,-1
05-17-2020,6664,169,-1,262,1,-1
05-18-2020,7072,173,-1,408,4,-1
05-19-2020,7655,177,-1,583,4,-1
05-20-2020,8145,187,-1,490,10,-1
05-21-2020,8676,193,-1,531,6,-1
05-22-2020,9216,205,-1,540,12,-1
05-23-2020,9866,211,-1,650,6,-1
