date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-09-2020,2,0,-1,2,0,-1
03-10-2020,6,0,-1,4,0,-1
03-11-2020,10,0,-1,4,0,-1
03-12-2020,23,0,-1,13,0,-1
03-13-2020,33,1,-1,10,1,-1
03-14-2020,38,1,-1,5,0,-1
03-15-2020,42,1,-1,4,0,-1
03-16-2020,51,1,-1,9,0,-1
03-17-2020,55,1,-1,4,0,-1
03-18-2020,59,2,-1,4,1,-1
03-19-2020,70,2,-1,11,0,-1
03-20-2020,70,2,-1,0,0,-1
03-21-2020,76,2,-1,6,0,-1
03-22-2020,76,2,-1,0,0,-1
03-23-2020,89,2,-1,13,0,-1
03-24-2020,123,4,-1,34,2,-1
03-25-2020,146,5,-1,23,1,-1
03-26-2020,174,5,-1,28,0,-1
03-27-2020,186,8,-1,12,3,-1
03-28-2020,197,9,-1,11,1,-1
03-29-2020,212,10,-1,15,1,-1
03-30-2020,223,10,-1,11,0,-1
03-31-2020,223,11,-1,0,1,-1
04-01-2020,243,13,-1,20,2,-1
04-02-2020,277,15,-1,34,2,-1
04-03-2020,277,16,-1,0,1,-1
04-04-2020,333,17,-1,56,1,-1
04-05-2020,333,18,-1,0,1,-1
04-06-2020,377,21,-1,44,3,-1
04-07-2020,377,22,-1,0,1,-1
04-08-2020,400,22,-1,23,0,-1
04-09-2020,409,22,-1,9,0,-1
04-10-2020,416,23,-1,7,1,-1
04-11-2020,416,23,-1,0,0,-1
04-12-2020,446,23,-1,30,0,-1
04-13-2020,446,23,-1,0,0,-1
04-14-2020,475,23,-1,29,0,-1
04-15-2020,475,24,-1,0,1,-1
04-16-2020,494,25,-1,19,1,-1
04-17-2020,518,26,-1,24,1,-1
04-18-2020,548,26,-1,30,0,-1
04-19-2020,548,26,-1,0,0,-1
04-20-2020,562,26,-1,14,0,-1
04-21-2020,609,26,-1,47,0,-1
04-22-2020,634,26,-1,25,0,-1
04-23-2020,634,27,-1,0,1,-1
04-24-2020,678,27,-1,44,0,-1
04-25-2020,678,27,-1,0,0,-1
04-26-2020,712,27,-1,34,0,-1
04-27-2020,726,28,-1,14,1,-1
04-28-2020,736,28,-1,10,0,-1
04-29-2020,766,30,-1,30,2,-1
04-30-2020,773,31,-1,7,1,-1
05-01-2020,773,31,-1,0,0,-1
05-02-2020,789,31,-1,16,0,-1
05-03-2020,795,31,-1,6,0,-1
05-04-2020,803,31,-1,8,0,-1
05-05-2020,820,31,-1,17,0,-1
05-06-2020,832,31,-1,12,0,-1
05-07-2020,832,31,-1,0,0,-1
05-08-2020,850,31,-1,18,0,-1
05-09-2020,856,31,-1,6,0,-1
05-10-2020,868,31,-1,12,0,-1
05-11-2020,868,31,-1,0,0,-1
05-12-2020,872,31,-1,4,0,-1
05-13-2020,876,31,-1,4,0,-1
05-14-2020,880,31,-1,4,0,-1
05-15-2020,898,31,-1,18,0,-1
05-16-2020,933,31,-1,35,0,-1
05-17-2020,946,31,-1,13,0,-1
05-18-2020,948,31,-1,2,0,-1
05-19-2020,948,31,-1,0,0,-1
05-20-2020,964,31,-1,16,0,-1
05-21-2020,969,31,-1,5,0,-1
05-22-2020,969,31,-1,0,0,-1
05-23-2020,981,31,-1,12,0,-1
05-24-2020,989,32,-1,8,1,-1
05-25-2020,1004,32,-1,15,0,-1
05-26-2020,1029,33,-1,25,1,-1
05-27-2020,1050,33,-1,21,0,-1
05-28-2020,1076,33,-1,26,0,-1
05-29-2020,1099,33,-1,23,0,-1
05-30-2020,1122,33,-1,23,0,-1
05-31-2020,1136,33,-1,14,0,-1
06-01-2020,1143,33,-1,7,0,-1
06-02-2020,1164,33,-1,21,0,-1
