date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-25-2020,1,0,-1,1,0,-1
02-26-2020,1,0,-1,0,0,-1
02-27-2020,1,0,-1,0,0,-1
02-28-2020,1,0,-1,0,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,3,0,-1,2,0,-1
03-03-2020,5,0,-1,2,0,-1
03-04-2020,12,0,-1,7,0,-1
03-05-2020,12,0,-1,0,0,-1
03-06-2020,17,0,-1,5,0,-1
03-07-2020,17,0,-1,0,0,-1
03-08-2020,17,0,-1,0,0,-1
03-09-2020,20,0,-1,3,0,-1
03-10-2020,20,0,-1,0,0,-1
03-11-2020,20,0,-1,0,0,-1
03-12-2020,25,1,-1,5,1,-1
03-13-2020,25,1,-1,0,0,-1
03-14-2020,37,2,-1,12,1,-1
03-15-2020,49,3,-1,12,1,-1
03-16-2020,49,4,-1,0,1,-1
03-17-2020,60,4,-1,11,0,-1
03-18-2020,72,6,-1,12,2,-1
03-19-2020,82,7,-1,10,1,-1
03-20-2020,94,10,-1,12,3,-1
03-21-2020,94,15,-1,0,5,-1
03-22-2020,139,15,-1,45,0,-1
03-23-2020,201,17,-1,62,2,-1
03-24-2020,231,17,-1,30,0,-1
03-25-2020,264,17,-1,33,0,-1
03-26-2020,264,17,-1,0,0,-1
03-27-2020,305,21,-1,41,4,-1
03-28-2020,367,25,-1,62,4,-1
03-29-2020,409,26,-1,42,1,-1
03-30-2020,454,29,-1,45,3,-1
03-31-2020,511,31,-1,57,2,-1
04-01-2020,584,35,-1,73,4,-1
04-02-2020,847,58,-1,263,23,-1
04-03-2020,986,83,-1,139,25,-1
04-04-2020,1171,105,-1,185,22,-1
04-05-2020,1251,130,-1,80,25,-1
04-06-2020,1251,130,-1,0,0,-1
04-07-2020,1423,173,-1,172,43,-1
04-08-2020,1468,194,-1,45,21,-1
04-09-2020,1572,205,-1,104,11,-1
04-10-2020,1666,235,-1,94,30,-1
04-11-2020,1761,256,-1,95,21,-1
04-12-2020,1825,275,-1,64,19,-1
04-13-2020,1914,293,-1,89,18,-1
04-14-2020,1983,313,-1,69,20,-1
04-15-2020,2070,326,-1,87,13,-1
04-16-2020,2160,336,-1,90,10,-1
04-17-2020,2268,348,-1,108,12,-1
04-18-2020,2418,364,-1,150,16,-1
04-19-2020,2534,367,-1,116,3,-1
04-20-2020,2629,375,-1,95,8,-1
04-21-2020,2718,384,-1,89,9,-1
04-22-2020,2811,392,-1,93,8,-1
04-23-2020,2910,402,-1,99,10,-1
04-24-2020,3007,407,-1,97,5,-1
04-25-2020,3127,415,-1,120,8,-1
04-26-2020,3256,419,-1,129,4,-1
04-27-2020,3382,425,-1,126,6,-1
04-28-2020,3517,432,-1,135,7,-1
04-29-2020,3649,437,-1,132,5,-1
04-30-2020,3848,444,-1,199,7,-1
05-01-2020,4006,450,-1,158,6,-1
05-02-2020,4154,453,-1,148,3,-1
05-03-2020,4295,459,-1,141,6,-1
05-04-2020,4474,463,-1,179,4,-1
05-05-2020,4648,465,-1,174,2,-1
05-06-2020,4838,470,-1,190,5,-1
05-07-2020,4997,476,-1,159,6,-1
05-08-2020,5182,483,-1,185,7,-1
05-09-2020,5369,488,-1,187,5,-1
05-10-2020,5558,494,-1,189,6,-1
05-11-2020,5723,502,-1,165,8,-1
