date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-21-2020,2,0,-1,2,0,-1
03-22-2020,2,0,-1,0,0,-1
03-23-2020,2,0,-1,0,0,-1
03-24-2020,2,0,-1,0,0,-1
03-25-2020,2,0,-1,0,0,-1
03-26-2020,2,0,-1,0,0,-1
03-27-2020,2,0,-1,0,0,-1
03-28-2020,2,0,-1,0,0,-1
03-29-2020,2,0,-1,0,0,-1
03-30-2020,2,0,-1,0,0,-1
03-31-2020,7,1,-1,5,1,-1
04-01-2020,7,2,-1,0,1,-1
04-02-2020,8,2,-1,1,0,-1
04-03-2020,8,2,-1,0,0,-1
04-04-2020,10,2,-1,2,0,-1
04-05-2020,10,2,-1,0,0,-1
04-06-2020,14,2,-1,4,0,-1
04-07-2020,16,2,-1,2,0,-1
04-08-2020,17,2,-1,1,0,-1
04-09-2020,19,2,-1,2,0,-1
04-10-2020,19,2,-1,0,0,-1
04-11-2020,19,2,-1,0,0,-1
04-12-2020,19,2,-1,0,0,-1
04-13-2020,19,2,-1,0,0,-1
04-14-2020,19,2,-1,0,0,-1
04-15-2020,19,2,-1,0,0,-1
04-16-2020,19,2,-1,0,0,-1
04-17-2020,19,2,-1,0,0,-1
04-18-2020,19,2,-1,0,0,-1
04-19-2020,19,2,-1,0,0,-1
04-20-2020,19,2,-1,0,0,-1
04-21-2020,24,2,-1,5,0,-1
04-22-2020,24,2,-1,0,0,-1
04-23-2020,24,2,-1,0,0,-1
04-24-2020,25,2,-1,1,0,-1
04-25-2020,25,2,-1,0,0,-1
04-26-2020,25,2,-1,0,0,-1
04-27-2020,26,2,-1,1,0,-1
04-28-2020,27,2,-1,1,0,-1
04-29-2020,27,2,-1,0,0,-1
04-30-2020,27,2,-1,0,0,-1
05-01-2020,27,2,-1,0,0,-1
05-02-2020,29,2,-1,2,0,-1
05-03-2020,35,2,-1,6,0,-1
05-04-2020,35,2,-1,0,0,-1
05-05-2020,35,2,-1,0,0,-1
05-06-2020,36,2,-1,1,0,-1
05-07-2020,36,2,-1,0,0,-1
05-08-2020,36,2,-1,0,0,-1
05-09-2020,36,2,-1,0,0,-1
05-10-2020,43,2,-1,7,0,-1
05-11-2020,45,2,-1,2,0,-1
05-12-2020,45,2,-1,0,0,-1
05-13-2020,45,2,-1,0,0,-1
05-14-2020,45,2,-1,0,0,-1
05-15-2020,48,2,-1,3,0,-1
05-16-2020,48,2,-1,0,0,-1
05-17-2020,48,2,-1,0,0,-1
05-18-2020,48,2,-1,0,0,-1
05-19-2020,50,2,-1,2,0,-1
05-20-2020,52,3,-1,2,1,-1
05-21-2020,58,3,-1,6,0,-1
05-22-2020,60,3,-1,2,0,-1
05-23-2020,60,3,-1,0,0,-1
05-24-2020,60,3,-1,0,0,-1
05-25-2020,69,4,-1,9,1,-1
05-26-2020,69,4,-1,0,0,-1
05-27-2020,71,4,-1,2,0,-1
05-28-2020,71,4,-1,0,0,-1
05-29-2020,73,4,-1,2,0,-1
05-30-2020,81,4,-1,8,0,-1
05-31-2020,84,4,-1,3,0,-1
06-01-2020,86,4,-1,2,0,-1
06-02-2020,86,4,-1,0,0,-1
06-03-2020,86,4,-1,0,0,-1
06-04-2020,86,4,-1,0,0,-1
06-05-2020,86,4,-1,0,0,-1
06-06-2020,86,4,-1,0,0,-1
06-07-2020,86,4,-1,0,0,-1
06-08-2020,91,4,-1,5,0,-1
06-09-2020,92,4,-1,1,0,-1
06-10-2020,113,4,40,21,0,-1
06-11-2020,118,5,41,5,1,1
06-12-2020,130,5,42,12,0,1
06-13-2020,138,6,61,8,1,19
06-14-2020,138,6,61,0,0,0
06-15-2020,142,6,64,4,0,3
06-16-2020,148,6,64,6,0,0
06-17-2020,155,6,64,7,0,0
06-18-2020,166,8,64,11,2,0
06-19-2020,172,8,66,6,0,2
06-20-2020,176,9,66,4,1,0
06-21-2020,183,9,77,7,0,11
06-22-2020,186,10,77,3,1,0
06-23-2020,189,10,77,3,0,0
06-24-2020,197,10,77,8,0,0
06-25-2020,212,10,81,15,0,4
06-26-2020,212,10,81,0,0,0
06-27-2020,212,10,81,0,0,0
06-28-2020,267,11,81,55,1,0
06-29-2020,276,11,93,9,0,12
06-30-2020,276,11,93,0,0,0
07-01-2020,291,15,97,15,4,4
07-02-2020,291,15,97,0,0,0
07-03-2020,328,18,107,37,3,10
07-04-2020,328,18,107,0,0,0
07-05-2020,353,19,108,25,1,1
07-06-2020,353,19,108,0,0,0
07-07-2020,353,19,108,0,0,0
07-08-2020,396,22,117,43,3,9
07-09-2020,396,22,117,0,0,0
07-10-2020,458,23,117,62,1,0
07-11-2020,462,23,117,4,0,0
07-12-2020,483,25,117,21,2,0
07-13-2020,506,26,117,23,1,0
07-14-2020,525,26,117,19,0,0
07-15-2020,541,26,117,16,0,0
07-16-2020,576,27,117,35,1,0
07-17-2020,607,28,124,31,1,7
07-18-2020,687,29,210,80,1,86
07-19-2020,687,29,210,0,0,0
07-20-2020,705,29,210,18,0,0
07-21-2020,749,29,210,44,0,0
