date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-03-2020,1,0,-1,1,0,-1
03-04-2020,1,0,-1,0,0,-1
03-05-2020,1,0,-1,0,0,-1
03-06-2020,2,0,-1,1,0,-1
03-07-2020,9,1,-1,7,1,-1
03-08-2020,12,1,-1,3,0,-1
03-09-2020,12,1,-1,0,0,-1
03-10-2020,12,1,-1,0,0,-1
03-11-2020,17,1,-1,5,0,-1
03-12-2020,19,1,-1,2,0,-1
03-13-2020,31,1,-1,12,0,-1
03-14-2020,45,2,-1,14,1,-1
03-15-2020,45,2,-1,0,0,-1
03-16-2020,56,2,-1,11,0,-1
03-17-2020,65,2,-1,9,0,-1
03-18-2020,79,2,16,14,0,-1
03-19-2020,97,3,16,18,1,0
03-20-2020,97,3,16,0,0,0
03-21-2020,158,3,27,61,0,11
03-22-2020,225,4,27,67,1,0
03-23-2020,301,4,51,76,0,24
03-24-2020,387,6,51,86,2,0
03-25-2020,387,6,51,0,0,0
03-26-2020,589,12,63,202,6,12
03-27-2020,706,15,76,117,3,13
03-28-2020,745,19,76,39,4,0
03-29-2020,820,20,91,75,1,15
03-30-2020,966,24,228,146,4,137
03-31-2020,1054,27,240,88,3,12
04-01-2020,1133,32,248,79,5,8
04-02-2020,1265,36,256,132,4,8
04-03-2020,1265,36,256,0,0,0
04-04-2020,1451,43,279,186,7,23
04-05-2020,1554,46,280,103,3,1
04-06-2020,1628,53,325,74,7,45
04-07-2020,1715,60,338,87,7,13
04-08-2020,1795,65,358,80,5,20
04-09-2020,1894,79,365,99,14,7
04-10-2020,1975,82,375,81,3,10
04-11-2020,2142,89,440,167,7,65
04-12-2020,2208,95,468,66,6,28
04-13-2020,2277,100,515,69,5,47
04-14-2020,2443,106,559,166,6,44
04-15-2020,2571,113,596,128,7,37
04-16-2020,2669,122,631,98,9,35
04-17-2020,2758,129,666,89,7,35
04-18-2020,2839,132,685,81,3,19
04-19-2020,2941,134,709,102,2,24
04-20-2020,3031,142,737,90,8,28
04-21-2020,3144,151,840,113,9,103
04-22-2020,3288,159,872,144,8,32
04-23-2020,3435,165,919,147,6,47
04-24-2020,3607,166,976,172,1,57
04-25-2020,3780,185,1030,173,19,54
04-26-2020,3892,192,1107,112,7,77
04-27-2020,4003,197,1140,111,5,33
04-28-2020,4127,207,1162,124,10,22
04-29-2020,4285,214,1192,158,7,30
04-30-2020,4428,218,1256,143,4,64
05-01-2020,4532,225,1292,104,7,36
05-02-2020,4681,237,1320,149,12,28
05-03-2020,4783,246,1354,102,9,34
05-04-2020,4887,260,1442,104,14,88
05-05-2020,5020,264,1472,133,4,30
05-06-2020,5208,273,1524,188,9,52
05-07-2020,5371,282,1601,163,9,77
05-08-2020,5611,293,1659,240,11,58
05-09-2020,5776,300,1728,165,7,69
05-10-2020,6034,305,1757,258,5,29
05-11-2020,6278,314,1837,244,9,80
05-12-2020,6563,319,1862,285,5,25
05-13-2020,6879,329,2266,316,10,404
05-14-2020,7134,353,2385,255,24,119
05-15-2020,7479,356,2497,345,3,112
05-16-2020,7805,363,2534,326,7,37
05-17-2020,8068,366,2569,263,3,35
05-18-2020,8271,382,2625,203,16,56
05-19-2020,8809,393,2872,538,11,247
05-20-2020,9283,403,2933,474,10,61
05-21-2020,9931,416,3032,648,13,99
