date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-26-2020,1,0,0,1,0,0
01-27-2020,1,0,0,0,0,0
01-28-2020,1,0,0,0,0,0
01-29-2020,1,0,0,0,0,0
01-30-2020,1,0,0,0,0,0
01-31-2020,1,0,0,0,0,0
02-01-2020,1,0,0,0,0,0
02-02-2020,1,0,0,0,0,0
02-03-2020,1,0,0,0,0,0
02-04-2020,1,0,0,0,0,0
02-05-2020,1,0,0,0,0,0
02-06-2020,1,0,0,0,0,0
02-07-2020,1,0,0,0,0,0
02-08-2020,1,0,0,0,0,0
02-09-2020,1,0,0,0,0,0
02-10-2020,1,0,0,0,0,0
02-11-2020,1,0,0,0,0,0
02-12-2020,1,0,0,0,0,0
02-13-2020,1,0,0,0,0,0
02-14-2020,1,0,0,0,0,0
02-15-2020,1,0,0,0,0,0
02-16-2020,1,0,0,0,0,0
02-17-2020,1,0,0,0,0,0
02-18-2020,1,0,0,0,0,0
02-19-2020,1,0,0,0,0,0
02-20-2020,1,0,0,0,0,0
02-21-2020,1,0,0,0,0,0
02-22-2020,1,0,0,0,0,0
02-23-2020,1,0,0,0,0,0
02-24-2020,1,0,0,0,0,0
02-25-2020,1,0,1,0,0,1
02-26-2020,1,0,1,0,0,0
02-27-2020,1,0,1,0,0,0
02-28-2020,1,0,1,0,0,0
02-29-2020,1,0,1,0,0,0
03-01-2020,1,0,1,0,0,0
03-02-2020,1,0,1,0,0,0
03-03-2020,2,0,1,1,0,0
03-04-2020,2,0,1,0,0,0
03-05-2020,2,0,1,0,0,0
03-06-2020,3,0,1,1,0,0
03-07-2020,5,0,1,2,0,0
03-08-2020,5,0,1,0,0,0
03-09-2020,6,0,1,1,0,0
03-10-2020,6,0,1,0,0,0
03-11-2020,9,0,1,3,0,0
03-12-2020,9,0,1,0,0,0
03-13-2020,10,0,1,1,0,0
03-14-2020,12,0,1,2,0,0
03-15-2020,13,0,1,1,0,0
03-16-2020,18,0,1,5,0,0
03-17-2020,21,0,1,3,0,0
03-18-2020,29,0,1,8,0,0
03-19-2020,53,0,1,24,0,0
03-20-2020,79,0,1,26,0,0
03-21-2020,104,1,0,25,1,-1
03-22-2020,152,2,0,48,1,0
03-23-2020,235,3,0,83,1,0
03-24-2020,326,6,0,91,3,0
03-25-2020,401,6,0,75,0,0
03-26-2020,508,8,0,107,2,0
03-27-2020,665,13,0,157,5,0
03-28-2020,773,15,0,108,2,0
03-29-2020,919,17,0,146,2,0
03-30-2020,1158,20,0,239,3,0
03-31-2020,1289,24,0,131,4,0
04-01-2020,1413,29,0,124,5,0
04-02-2020,1598,32,0,185,3,0
04-03-2020,1769,41,0,171,9,0
