date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-11-2020,1,0,0,1,0,0
03-12-2020,6,0,0,5,0,0
03-13-2020,9,0,0,3,0,0
03-14-2020,12,0,0,3,0,0
03-15-2020,16,0,0,4,0,0
03-16-2020,22,0,0,6,0,0
03-17-2020,22,0,0,0,0,0
03-18-2020,37,0,0,15,0,0
03-19-2020,62,0,0,25,0,0
03-20-2020,96,0,0,34,0,0
03-21-2020,122,0,0,26,0,0
03-22-2020,165,0,0,43,0,0
03-23-2020,197,0,0,32,0,0
03-24-2020,232,2,0,35,2,0
03-25-2020,308,2,0,76,0,0
03-26-2020,349,2,0,41,0,0
03-27-2020,386,3,0,37,1,0
03-28-2020,409,5,0,23,2,0
03-29-2020,449,6,0,40,1,0
03-30-2020,508,7,0,59,1,0
03-31-2020,564,8,0,56,1,0
04-01-2020,624,10,0,60,2,0
04-02-2020,683,12,0,59,2,0
04-03-2020,738,12,0,55,0,0
04-04-2020,743,14,0,5,2,0
04-05-2020,853,16,0,110,2,0
04-06-2020,927,16,0,74,0,0
04-07-2020,997,18,189,70,2,189
04-08-2020,1077,18,237,80,0,48
04-09-2020,1146,21,305,69,3,68
04-10-2020,1202,24,329,56,3,24
04-11-2020,1228,25,346,26,1,17
04-12-2020,1280,27,346,52,2,0
04-13-2020,1475,30,391,195,3,45
04-14-2020,1498,32,444,23,2,53
04-15-2020,1599,34,489,101,2,45
04-16-2020,1620,37,548,21,3,59
04-17-2020,1695,37,548,75,0,0
04-18-2020,1777,38,726,82,1,178
04-19-2020,1781,39,726,4,1,0
04-20-2020,1971,42,726,190,3,0
04-21-2020,2262,43,726,291,1,0
04-22-2020,2392,44,726,130,1,0
04-23-2020,2599,45,898,207,1,172
04-24-2020,2810,47,964,211,2,66
04-25-2020,2909,48,985,99,1,21
04-26-2020,3001,50,989,92,2,4
04-27-2020,3069,51,1053,68,1,64
04-28-2020,3127,57,1216,58,6,163
04-29-2020,3193,57,1249,66,0,33
04-30-2020,3281,61,1339,88,4,90
05-01-2020,3310,64,1985,29,3,646
05-02-2020,3372,72,1987,62,8,2
05-03-2020,3437,76,1999,65,4,12
05-04-2020,3469,80,2044,32,4,45
05-05-2020,3525,83,2091,56,3,47
05-06-2020,3611,87,2123,86,4,32
05-07-2020,3694,88,2159,83,1,36
05-08-2020,3747,88,2968,53,0,809
05-09-2020,3747,88,2968,0,0,0
05-10-2020,4012,91,3112,265,3,144
05-11-2020,4043,94,3149,31,3,37
05-12-2020,4164,95,3220,121,1,71
05-13-2020,4236,97,3277,72,2,57
05-14-2020,4366,98,3340,130,1,63
05-15-2020,4463,98,3390,97,0,50
05-16-2020,4578,98,3472,115,0,82
05-17-2020,4759,98,3590,181,0,118
05-18-2020,4813,100,3645,54,2,55
05-19-2020,4923,102,3739,110,2,94
05-20-2020,5003,107,3852,80,5,113
05-21-2020,5458,110,3915,455,3,63
05-22-2020,5612,113,4029,154,3,114
05-23-2020,5775,115,4096,163,2,67
05-24-2020,5922,116,4148,147,1,52
05-25-2020,6029,117,4249,107,1,101
05-26-2020,6180,119,4332,151,2,83
05-27-2020,6277,120,4424,97,1,92
05-28-2020,6538,125,4583,261,5,159
05-29-2020,6777,132,4946,239,7,363
05-30-2020,7013,133,5166,236,1,220
05-31-2020,7253,133,5275,240,0,109
06-01-2020,7443,133,5402,190,0,127
06-02-2020,7818,136,5567,375,3,165
06-03-2020,8067,142,5717,249,6,150
06-04-2020,8425,151,5919,358,9,202
06-05-2020,8651,152,6077,226,1,158
06-06-2020,9101,154,6266,450,2,189
06-07-2020,9426,154,6424,325,0,158
06-08-2020,9740,155,6630,314,1,206
06-09-2020,10080,161,6875,340,6,245
06-10-2020,10368,165,7116,288,4,241
06-11-2020,10816,171,7351,448,6,235
06-12-2020,11547,176,7607,731,5,256
06-13-2020,12095,177,7863,548,1,256
06-14-2020,12501,179,8110,406,2,247
06-15-2020,12917,182,8352,416,3,242
06-16-2020,13191,188,8665,274,6,313
06-17-2020,13606,197,8996,415,9,331
06-18-2020,13928,208,9376,322,11,380
06-19-2020,14631,214,9712,703,6,336
06-20-2020,15142,224,10082,511,10,370
06-21-2020,15561,225,10456,419,1,374
06-22-2020,16083,227,10793,522,2,337
06-23-2020,16678,237,11220,595,10,427
06-24-2020,17375,240,11568,697,3,348
06-25-2020,18062,240,12127,687,0,559
06-26-2020,18740,249,12784,678,9,657
06-27-2020,19310,259,13270,570,10,486
06-28-2020,19818,264,13636,508,5,366
06-29-2020,20257,265,14066,439,1,430
06-30-2020,20777,270,14531,520,5,465
