date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-17-2020,1,0,-1,1,0,-1
03-18-2020,1,0,-1,0,0,-1
03-19-2020,2,0,-1,1,0,-1
03-20-2020,2,0,-1,0,0,-1
03-21-2020,2,0,-1,0,0,-1
03-22-2020,2,0,-1,0,0,-1
03-23-2020,2,0,-1,0,0,-1
03-24-2020,5,0,-1,3,0,-1
03-25-2020,5,0,-1,0,0,-1
03-26-2020,6,0,-1,1,0,-1
03-27-2020,6,0,-1,0,0,-1
03-28-2020,6,0,-1,0,0,-1
03-29-2020,6,0,-1,0,0,-1
03-30-2020,6,0,-1,0,0,-1
03-31-2020,6,0,-1,0,0,-1
04-01-2020,9,0,-1,3,0,-1
04-02-2020,13,0,-1,4,0,-1
04-03-2020,13,0,-1,0,0,-1
04-04-2020,13,0,-1,0,0,-1
04-05-2020,13,0,-1,0,0,-1
04-06-2020,22,0,-1,9,0,-1
04-07-2020,23,1,-1,1,1,-1
04-08-2020,26,1,-1,3,0,-1
04-09-2020,26,1,-1,0,0,-1
04-10-2020,30,1,-1,4,0,-1
04-11-2020,30,1,-1,0,0,-1
04-12-2020,35,1,-1,5,0,-1
04-13-2020,35,1,-1,0,0,-1
04-14-2020,35,1,-1,0,0,-1
04-15-2020,35,1,-1,0,0,-1
04-16-2020,35,1,-1,0,0,-1
04-17-2020,37,1,-1,2,0,-1
04-18-2020,37,1,-1,0,0,-1
04-19-2020,37,1,-1,0,0,-1
04-20-2020,37,1,-1,0,0,-1
04-21-2020,54,1,-1,17,0,-1
04-22-2020,54,1,-1,0,0,-1
04-23-2020,54,1,-1,0,0,-1
04-24-2020,58,1,-1,4,0,-1
04-25-2020,58,1,-1,0,0,-1
04-26-2020,58,1,-1,0,0,-1
04-27-2020,64,1,-1,6,0,-1
04-28-2020,64,1,-1,0,0,-1
04-29-2020,64,1,-1,0,0,-1
04-30-2020,69,2,-1,5,1,-1
05-01-2020,84,2,-1,15,0,-1
05-02-2020,90,2,-1,6,0,-1
05-03-2020,90,2,-1,0,0,-1
05-04-2020,90,2,-1,0,0,-1
05-05-2020,96,2,-1,6,0,-1
05-06-2020,102,2,-1,6,0,-1
05-07-2020,102,2,-1,0,0,-1
05-08-2020,140,2,-1,38,0,-1
05-09-2020,242,2,-1,102,0,-1
05-10-2020,284,2,-1,42,0,-1
05-11-2020,319,2,-1,35,0,-1
05-12-2020,319,2,-1,0,0,-1
05-13-2020,327,2,-1,8,0,-1
05-14-2020,327,2,-1,0,0,-1
05-15-2020,339,2,-1,12,0,-1
05-16-2020,339,2,-1,0,0,-1
05-17-2020,339,2,-1,0,0,-1
05-18-2020,339,2,-1,0,0,-1
05-19-2020,129,2,-1,-210,0,-1
05-20-2020,130,2,-1,1,0,-1
05-21-2020,130,2,-1,0,0,-1
05-22-2020,135,3,-1,5,1,-1
05-23-2020,135,3,-1,0,0,-1
05-24-2020,135,3,-1,0,0,-1
05-25-2020,191,3,-1,56,0,-1
05-26-2020,191,3,-1,0,0,-1
05-27-2020,208,3,-1,17,0,-1
05-28-2020,210,3,-1,2,0,-1
05-29-2020,218,3,-1,8,0,-1
05-30-2020,218,3,-1,0,0,-1
05-31-2020,232,3,-1,14,0,-1
06-01-2020,232,3,-1,0,0,-1
06-02-2020,243,3,-1,11,0,-1
06-03-2020,244,3,-1,1,0,-1
06-04-2020,244,3,-1,0,0,-1
06-05-2020,261,3,-1,17,0,-1
06-06-2020,261,3,-1,0,0,-1
06-07-2020,268,4,-1,7,1,-1
06-08-2020,268,4,-1,0,0,-1
06-09-2020,305,4,-1,37,0,-1
06-10-2020,339,4,188,34,0,-1
06-11-2020,339,4,188,0,0,0
06-12-2020,390,5,217,51,1,29
06-13-2020,412,6,222,22,1,5
06-14-2020,412,6,222,0,0,0
06-15-2020,483,9,232,71,3,10
06-16-2020,532,9,236,49,0,4
06-17-2020,572,9,237,40,0,1
06-18-2020,597,11,238,25,2,1
06-19-2020,650,11,247,53,0,9
06-20-2020,650,11,247,0,0,0
06-21-2020,765,13,253,115,2,6
06-22-2020,807,13,253,42,0,0
06-23-2020,850,13,272,43,0,19
06-24-2020,902,13,277,52,0,5
06-25-2020,1017,14,288,115,1,11
06-26-2020,1053,14,292,36,0,4
06-27-2020,1053,14,292,0,0,0
06-28-2020,1149,16,306,96,2,14
06-29-2020,1187,19,323,38,3,17
06-30-2020,1187,19,323,0,0,0
07-01-2020,1199,21,333,12,2,10
07-02-2020,1199,21,333,0,0,0
07-03-2020,1199,21,333,0,0,0
07-04-2020,1199,21,333,0,0,0
07-05-2020,1199,21,333,0,0,0
07-06-2020,1199,21,333,0,0,0
07-07-2020,1199,21,333,0,0,0
07-08-2020,1285,23,333,86,2,0
07-09-2020,1285,23,333,0,0,0
07-10-2020,1285,23,333,0,0,0
07-11-2020,1285,23,333,0,0,0
07-12-2020,1378,26,333,93,3,0
07-13-2020,1378,26,333,0,0,0
07-14-2020,1378,26,333,0,0,0
07-15-2020,1463,28,333,85,2,0
07-16-2020,1463,28,557,0,0,224
07-17-2020,1463,28,557,0,0,0
07-18-2020,1602,31,782,139,3,225
07-19-2020,1602,31,782,0,0,0
07-20-2020,1602,31,782,0,0,0
07-21-2020,1602,31,782,0,0,0
07-22-2020,1690,34,782,88,3,0
07-23-2020,1690,34,782,0,0,0
07-24-2020,1694,34,918,4,0,136
07-25-2020,1694,34,918,0,0,0
07-26-2020,1770,35,1036,76,1,118
07-27-2020,1770,35,1036,0,0,0
07-28-2020,1770,35,1036,0,0,0
07-29-2020,1805,36,1036,35,1,0
07-30-2020,1805,36,1036,0,0,0
07-31-2020,1805,36,1036,0,0,0
08-01-2020,1805,36,1036,0,0,0
08-02-2020,1805,36,1036,0,0,0
08-03-2020,1805,36,1036,0,0,0
08-04-2020,1914,38,1036,109,2,0
08-05-2020,1936,38,1600,22,0,564
08-06-2020,1936,38,1600,0,0,0
08-07-2020,1936,38,1600,0,0,0
08-08-2020,1936,38,1600,0,0,0
08-09-2020,1936,38,1600,0,0,0
08-10-2020,1936,38,1600,0,0,0
08-11-2020,2001,38,1681,65,0,81
08-12-2020,2014,38,1681,13,0,0
08-13-2020,2014,38,1681,0,0,0
08-14-2020,2014,38,1681,0,0,0
08-15-2020,2014,38,1681,0,0,0
08-16-2020,2063,39,1690,49,1,9
08-17-2020,2063,39,1690,0,0,0
08-18-2020,2063,39,1690,0,0,0
08-19-2020,2095,39,1690,32,0,0
08-20-2020,2095,39,1690,0,0,0
08-21-2020,2095,39,1690,0,0,0
08-22-2020,2115,39,1690,20,0,0
08-23-2020,2115,39,1690,0,0,0
08-24-2020,2115,39,1690,0,0,0
08-25-2020,2115,39,1690,0,0,0
