date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-18-2020,2,0,-1,2,0,-1
03-19-2020,2,0,-1,0,0,-1
03-20-2020,2,0,-1,0,0,-1
03-21-2020,2,0,-1,0,0,-1
03-22-2020,2,0,-1,0,0,-1
03-23-2020,2,0,-1,0,0,-1
03-24-2020,6,0,-1,4,0,-1
03-25-2020,6,0,-1,0,0,-1
03-26-2020,7,0,-1,1,0,-1
03-27-2020,7,0,-1,0,0,-1
03-28-2020,15,0,-1,8,0,-1
03-29-2020,17,0,-1,2,0,-1
03-30-2020,22,0,-1,5,0,-1
03-31-2020,22,0,-1,0,0,-1
04-01-2020,27,0,-1,5,0,-1
04-02-2020,32,0,-1,5,0,-1
04-03-2020,32,0,-1,0,0,-1
04-04-2020,35,0,-1,3,0,-1
04-05-2020,35,0,-1,0,0,-1
04-06-2020,37,0,-1,2,0,-1
04-07-2020,37,0,-1,0,0,-1
04-08-2020,39,2,-1,2,2,-1
04-09-2020,39,2,-1,0,0,-1
04-10-2020,39,3,-1,0,1,-1
04-11-2020,48,4,-1,9,1,-1
04-12-2020,48,4,-1,0,0,-1
04-13-2020,50,4,-1,2,0,-1
04-14-2020,57,4,-1,7,0,-1
04-15-2020,57,5,-1,0,1,-1
04-16-2020,57,5,-1,0,0,-1
04-17-2020,81,5,-1,24,0,-1
04-18-2020,83,5,-1,2,0,-1
04-19-2020,83,5,-1,0,0,-1
04-20-2020,86,5,-1,3,0,-1
04-21-2020,86,5,-1,0,0,-1
04-22-2020,86,5,-1,0,0,-1
04-23-2020,98,5,-1,12,0,-1
04-24-2020,99,5,-1,1,0,-1
04-25-2020,99,5,-1,0,0,-1
04-26-2020,99,5,-1,0,0,-1
04-27-2020,109,5,-1,10,0,-1
04-28-2020,109,6,-1,0,1,-1
04-29-2020,110,6,-1,1,0,-1
04-30-2020,111,6,-1,1,0,-1
05-01-2020,111,6,-1,0,0,-1
05-02-2020,114,6,-1,3,0,-1
05-03-2020,114,6,-1,0,0,-1
05-04-2020,115,7,-1,1,1,-1
05-05-2020,115,7,-1,0,0,-1
05-06-2020,115,7,-1,0,0,-1
05-07-2020,115,7,-1,0,0,-1
05-08-2020,118,7,-1,3,0,-1
05-09-2020,118,7,-1,0,0,-1
05-10-2020,118,7,-1,0,0,-1
05-11-2020,118,7,-1,0,0,-1
05-12-2020,118,7,-1,0,0,-1
05-13-2020,119,8,-1,1,1,-1
05-14-2020,121,8,-1,2,0,-1
05-15-2020,121,8,-1,0,0,-1
05-16-2020,122,9,-1,1,1,-1
05-17-2020,123,9,-1,1,0,-1
05-18-2020,123,9,-1,0,0,-1
05-19-2020,123,9,-1,0,0,-1
05-20-2020,125,9,-1,2,0,-1
05-21-2020,125,9,-1,0,0,-1
05-22-2020,125,9,-1,0,0,-1
05-23-2020,125,9,-1,0,0,-1
05-24-2020,128,9,-1,3,0,-1
05-25-2020,133,9,-1,5,0,-1
05-26-2020,133,9,-1,0,0,-1
05-27-2020,133,9,-1,0,0,-1
05-28-2020,139,9,-1,6,0,-1
05-29-2020,139,9,-1,0,0,-1
05-30-2020,140,9,-1,1,0,-1
05-31-2020,140,9,-1,0,0,-1
06-01-2020,140,9,-1,0,0,-1
06-02-2020,140,9,-1,0,0,-1
06-03-2020,141,9,-1,1,0,-1
06-04-2020,141,9,-1,0,0,-1
06-05-2020,141,9,-1,0,0,-1
06-06-2020,141,9,-1,0,0,-1
06-07-2020,141,9,-1,0,0,-1
