date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-05-2020,2,0,-1,2,0,-1
03-06-2020,2,0,-1,0,0,-1
03-07-2020,2,0,-1,0,0,-1
03-08-2020,2,0,-1,0,0,-1
03-09-2020,2,0,-1,0,0,-1
03-10-2020,2,0,-1,0,0,-1
03-11-2020,4,0,-1,2,0,-1
03-12-2020,4,0,-1,0,0,-1
03-13-2020,11,0,-1,7,0,-1
03-14-2020,11,0,-1,0,0,-1
03-15-2020,19,0,-1,8,0,-1
03-16-2020,19,0,-1,0,0,-1
03-17-2020,19,0,-1,0,0,-1
03-18-2020,36,0,-1,17,0,-1
03-19-2020,44,0,-1,8,0,-1
03-20-2020,44,0,-1,0,0,-1
03-21-2020,92,1,-1,48,1,-1
03-22-2020,92,1,-1,0,0,-1
03-23-2020,125,1,-1,33,0,-1
03-24-2020,131,1,-1,6,0,-1
03-25-2020,164,2,-1,33,1,-1
03-26-2020,173,3,-1,9,1,-1
03-27-2020,213,3,-1,40,0,-1
03-28-2020,233,4,-1,20,1,-1
03-29-2020,269,6,-1,36,2,-1
03-30-2020,325,6,-1,56,0,-1
03-31-2020,359,9,-1,34,3,-1
04-01-2020,413,12,-1,54,3,-1
04-02-2020,464,13,-1,51,1,-1
04-03-2020,521,16,-1,57,3,-1
04-04-2020,586,18,-1,65,2,-1
04-05-2020,632,21,-1,46,3,-1
04-06-2020,662,21,-1,30,0,-1
04-07-2020,695,28,-1,33,7,-1
04-08-2020,781,32,-1,86,4,-1
04-09-2020,816,35,-1,35,3,-1
04-10-2020,875,36,-1,59,1,-1
04-11-2020,901,37,-1,26,1,-1
04-12-2020,948,37,-1,47,0,-1
04-13-2020,1007,38,-1,59,1,-1
04-14-2020,1034,38,-1,27,0,-1
04-15-2020,1086,40,-1,52,2,-1
04-16-2020,1116,41,-1,30,1,-1
04-17-2020,1169,42,-1,53,1,-1
04-18-2020,1210,44,-1,41,2,-1
04-19-2020,1268,46,-1,58,2,-1
04-20-2020,1286,46,-1,18,0,-1
04-21-2020,1300,49,-1,14,3,-1
04-22-2020,1340,50,-1,40,1,-1
04-23-2020,1367,52,-1,27,2,-1
04-24-2020,1413,53,-1,46,1,-1
04-25-2020,1428,54,-1,15,1,-1
04-26-2020,1485,56,-1,57,2,-1
04-27-2020,1516,58,-1,31,2,-1
04-28-2020,1564,60,-1,48,2,-1
04-29-2020,1588,62,-1,24,2,-1
04-30-2020,1689,64,-1,101,2,-1
05-01-2020,1782,69,-1,93,5,-1
05-02-2020,1840,71,-1,58,2,-1
05-03-2020,1840,71,-1,0,0,-1
05-04-2020,1857,76,-1,17,5,-1
05-05-2020,1926,77,-1,69,1,-1
05-06-2020,1968,82,-1,42,5,-1
05-07-2020,2017,87,-1,49,5,-1
05-08-2020,2027,89,-1,10,2,-1
05-09-2020,2070,97,-1,43,8,-1
05-10-2020,2070,97,-1,0,0,-1
05-11-2020,2098,103,-1,28,6,-1
05-12-2020,2142,112,-1,44,9,-1
05-13-2020,2162,116,-1,20,4,-1
05-14-2020,2181,119,-1,19,3,-1
05-15-2020,2216,123,-1,35,4,-1
