date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-26-2020,1,0,-1,1,0,-1
02-27-2020,1,0,-1,0,0,-1
02-28-2020,1,0,-1,0,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,2,0,-1,1,0,-1
03-02-2020,2,0,-1,0,0,-1
03-03-2020,2,0,-1,0,0,-1
03-04-2020,4,0,0,2,0,-1
03-05-2020,8,0,0,4,0,0
03-06-2020,13,0,0,5,0,0
03-07-2020,13,0,0,0,0,0
03-08-2020,19,0,-1,6,0,-1
03-09-2020,25,0,-1,6,0,-1
03-10-2020,25,0,-1,0,0,-1
03-11-2020,34,0,-1,9,0,-1
03-12-2020,52,0,-1,18,0,-1
03-13-2020,98,0,-1,46,0,-1
03-14-2020,121,0,-1,23,0,-1
03-15-2020,121,0,-1,0,0,-1
03-16-2020,200,0,-1,79,0,-1
03-17-2020,291,1,2,91,1,-1
03-18-2020,428,2,2,137,1,0
03-19-2020,635,7,2,207,5,0
03-20-2020,635,7,2,0,0,0
03-21-2020,1128,18,2,493,11,0
03-22-2020,1546,25,2,418,7,0
03-23-2020,1891,34,2,345,9,0
03-24-2020,2201,46,2,310,12,0
03-25-2020,2201,46,2,0,0,0
03-26-2020,2985,77,6,784,31,4
03-27-2020,3417,92,6,432,15,0
03-28-2020,3904,114,6,487,22,0
03-29-2020,4256,136,6,352,22,0
03-30-2020,4579,159,120,323,23,114
03-31-2020,5717,201,127,1138,42,7
04-01-2020,6836,241,127,1119,40,0
04-02-2020,7910,299,127,1074,58,0
04-03-2020,9056,359,127,1146,60,0
04-04-2020,10278,432,127,1222,73,0
04-05-2020,11130,486,127,852,54,0
04-06-2020,12056,553,127,926,67,0
04-07-2020,13717,667,127,1661,114,0
04-08-2020,15927,800,127,2210,133,0
04-09-2020,17857,941,127,1930,141,0
04-10-2020,19638,1056,127,1781,115,0
04-11-2020,20727,1124,127,1089,68,0
04-12-2020,22169,1223,127,1442,99,0
04-13-2020,23430,1328,127,1261,105,0
04-14-2020,25262,1532,127,1832,204,0
04-15-2020,28320,1736,14026,3058,204,13899
04-16-2020,30425,1924,14026,2105,188,0
04-17-2020,33682,2141,14026,3257,217,0
04-18-2020,36599,2347,14026,2917,206,0
04-19-2020,38654,2462,14026,2055,115,0
04-20-2020,40581,2575,14026,1927,113,0
04-21-2020,43079,2741,14026,2498,166,0
04-22-2020,45757,2906,14026,2678,165,0
04-23-2020,49492,3313,14026,3735,407,0
04-24-2020,52995,3670,27655,3503,357,13629
04-25-2020,58509,4016,29160,5514,346,1505
04-26-2020,61888,4205,30152,3379,189,992
04-27-2020,66501,4543,31142,4613,338,990
04-28-2020,73235,5083,32544,6734,540,1402
04-29-2020,78162,5466,34132,4927,383,1588
04-30-2020,85380,5901,35935,7218,435,1803
05-01-2020,91589,6329,38039,6209,428,2104
05-02-2020,96559,6750,40937,4970,421,2898
05-03-2020,101147,7025,42991,4588,275,2054
05-04-2020,107780,7321,45815,6633,296,2824
05-05-2020,114715,7921,48221,6935,600,2406
05-06-2020,125218,8536,48221,10503,615,0
05-07-2020,135106,9146,55350,9888,610,7129
05-08-2020,145328,9897,59297,10222,751,3947
05-09-2020,155939,10627,61685,10611,730,2388
05-10-2020,162699,11123,64957,6760,496,3272
05-11-2020,168331,11519,67384,5632,396,2427
05-12-2020,177589,12400,75597,9258,881,8213
05-13-2020,188974,13149,78424,11385,749,2827
05-14-2020,202918,13993,79479,13944,844,1055
05-15-2020,218223,14817,84970,15305,824,5491
05-16-2020,233142,14919,89672,14919,102,4702
05-17-2020,241080,16118,94122,7938,1199,4450
05-18-2020,254220,16792,100459,13140,674,6337
05-19-2020,271628,17971,106794,17408,1179,6335
05-20-2020,291579,18859,106794,19951,888,0
05-21-2020,310087,20047,125960,18508,1188,19166
05-22-2020,330890,21048,135430,20803,1001,9470
05-23-2020,347398,22013,142587,16508,965,7157
05-24-2020,363618,22666,149911,16220,653,7324
05-25-2020,374898,23473,153833,11280,807,3922
05-26-2020,391222,24512,158593,16324,1039,4760
05-27-2020,411821,25598,166647,20599,1086,8054
05-28-2020,438238,26754,177604,26417,1156,10957
05-29-2020,465166,27878,189476,26928,1124,11872
05-30-2020,498440,28834,200892,33274,956,11416
05-31-2020,514849,29314,206555,16409,480,5663
06-01-2020,526447,29937,211080,11598,623,4525
06-02-2020,555383,31199,223638,28936,1262,12558
06-03-2020,584016,32548,267861,28633,1349,44223
06-04-2020,615870,34039,274997,31854,1491,7136
06-05-2020,646006,35047,288652,30136,1008,13655
06-06-2020,676494,36044,302084,30488,997,13432
06-07-2020,691962,36499,302084,15468,455,0
06-08-2020,710887,37312,325602,18925,813,23518
06-09-2020,742084,38497,325602,31197,1185,0
06-10-2020,775184,39797,380300,33100,1300,54698
06-11-2020,805649,41058,396692,30465,1261,16392
06-12-2020,829902,41901,396692,24253,843,0
06-13-2020,850796,42791,427610,20894,890,30918
06-14-2020,867882,43389,437512,17086,598,9902
06-15-2020,891556,44118,453568,23674,729,16056
06-16-2020,928834,45456,453568,37278,1338,0
06-17-2020,960309,46665,477364,31475,1209,23796
06-18-2020,983359,47869,503507,23050,1204,26143
06-19-2020,1038568,49090,520360,55209,1221,16853
06-20-2020,1070139,50058,543186,31571,968,22826
06-21-2020,1086990,50659,543186,16851,601,0
06-22-2020,1111348,51407,579226,24358,748,36040
06-23-2020,1151479,52771,613345,40131,1364,34119
06-24-2020,1192474,53874,649908,40995,1103,36563
06-25-2020,1233147,55054,649908,40673,1180,0
06-26-2020,1280054,56109,697526,46907,1055,47618
06-27-2020,1315941,57103,715905,35887,994,18379
06-28-2020,1344143,57622,715905,28202,519,0
06-29-2020,1370488,58385,733848,26345,763,17943
06-30-2020,1408485,59656,790040,37997,1271,56192
07-01-2020,1453369,60713,826866,44884,1057,36826
07-02-2020,1496858,61884,852816,43489,1171,25950
07-03-2020,1543341,63254,916147,46483,1370,63331
07-04-2020,1578376,64365,978615,35035,1111,62468
07-05-2020,1604585,64900,978615,26209,535,0
07-06-2020,1626071,65556,978615,21486,656,0
07-07-2020,1674655,66868,1072229,48584,1312,93614
07-08-2020,1716196,68055,1117922,41541,1187,45693
07-09-2020,1759103,69254,1152467,42907,1199,34545
