date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-19-2020,1,0,-1,1,0,-1
03-20-2020,1,0,-1,0,0,-1
03-21-2020,1,0,-1,0,0,-1
03-22-2020,1,0,-1,0,0,-1
03-23-2020,1,0,-1,0,0,-1
03-24-2020,3,0,-1,2,0,-1
03-25-2020,3,0,-1,0,0,-1
03-26-2020,3,0,-1,0,0,-1
03-27-2020,5,0,-1,2,0,-1
03-28-2020,5,0,-1,0,0,-1
03-29-2020,5,0,-1,0,0,-1
03-30-2020,5,0,-1,0,0,-1
03-31-2020,5,0,-1,0,0,-1
04-01-2020,7,0,-1,2,0,-1
04-02-2020,7,0,-1,0,0,-1
04-03-2020,7,0,-1,0,0,-1
04-04-2020,7,0,-1,0,0,-1
04-05-2020,7,0,-1,0,0,-1
04-06-2020,9,0,-1,2,0,-1
04-07-2020,9,0,-1,0,0,-1
04-08-2020,10,0,-1,1,0,-1
04-09-2020,10,0,-1,0,0,-1
04-10-2020,11,0,-1,1,0,-1
04-11-2020,11,0,-1,0,0,-1
04-12-2020,11,0,-1,0,0,-1
04-13-2020,18,0,-1,7,0,-1
04-14-2020,23,0,-1,5,0,-1
04-15-2020,23,0,-1,0,0,-1
04-16-2020,27,0,-1,4,0,-1
04-17-2020,27,0,-1,0,0,-1
04-18-2020,33,0,-1,6,0,-1
04-19-2020,33,0,-1,0,0,-1
04-20-2020,33,0,-1,0,0,-1
04-21-2020,33,0,-1,0,0,-1
04-22-2020,34,0,-1,1,0,-1
04-23-2020,34,0,-1,0,0,-1
04-24-2020,34,0,-1,0,0,-1
04-25-2020,40,0,-1,6,0,-1
04-26-2020,46,0,-1,6,0,-1
04-27-2020,46,0,-1,0,0,-1
04-28-2020,46,0,-1,0,0,-1
04-29-2020,52,2,-1,6,2,-1
04-30-2020,52,2,-1,0,0,-1
05-01-2020,73,3,-1,21,1,-1
05-02-2020,73,5,-1,0,2,-1
05-03-2020,117,10,-1,44,5,-1
05-04-2020,117,10,-1,0,0,-1
05-05-2020,117,10,-1,0,0,-1
05-06-2020,170,17,-1,53,7,-1
05-07-2020,170,17,-1,0,0,-1
05-08-2020,253,27,-1,83,10,-1
05-09-2020,260,28,-1,7,1,-1
05-10-2020,322,31,-1,62,3,-1
05-11-2020,322,31,-1,0,0,-1
05-12-2020,322,31,-1,0,0,-1
05-13-2020,357,40,-1,35,9,-1
05-14-2020,372,42,-1,15,2,-1
05-15-2020,399,46,-1,27,4,-1
05-16-2020,428,48,-1,29,2,-1
05-17-2020,474,50,-1,46,2,-1
05-18-2020,503,53,-1,29,3,-1
05-19-2020,519,54,-1,16,1,-1
05-20-2020,545,56,-1,26,2,-1
05-21-2020,565,57,-1,20,1,-1
05-22-2020,588,58,-1,23,1,-1
05-23-2020,611,59,-1,23,1,-1
05-24-2020,648,60,-1,37,1,-1
05-25-2020,675,60,-1,27,0,-1
05-26-2020,687,61,-1,12,1,-1
05-27-2020,700,62,-1,13,1,-1
05-28-2020,715,64,-1,15,2,-1
05-29-2020,726,65,-1,11,1,-1
05-30-2020,759,65,-1,33,0,-1
05-31-2020,759,65,-1,0,0,-1
06-01-2020,778,65,-1,19,0,-1
06-02-2020,790,66,-1,12,1,-1
06-03-2020,803,66,-1,13,0,-1
06-04-2020,820,66,-1,17,0,-1
06-05-2020,828,66,-1,8,0,-1
06-06-2020,836,68,-1,8,2,-1
06-07-2020,836,69,-1,0,1,-1
06-08-2020,837,69,-1,1,0,-1
06-09-2020,839,70,-1,2,1,-1
06-10-2020,846,72,706,7,2,-1
06-11-2020,848,72,706,2,0,0
06-12-2020,848,72,711,0,0,5
06-13-2020,848,72,718,0,0,7
06-14-2020,848,72,718,0,0,0
06-15-2020,850,73,720,2,1,2
06-16-2020,853,74,720,3,1,0
06-17-2020,854,74,721,1,0,1
06-18-2020,854,74,733,0,0,12
06-19-2020,858,74,742,4,0,9
06-20-2020,858,74,746,0,0,4
06-21-2020,858,74,752,0,0,6
06-22-2020,858,74,755,0,0,3
06-23-2020,860,74,757,2,0,2
06-24-2020,860,74,770,0,0,13
06-25-2020,863,74,774,3,0,4
06-26-2020,865,74,778,2,0,4
06-27-2020,865,74,778,0,0,0
06-28-2020,866,74,780,1,0,2
06-29-2020,866,74,781,0,0,1
06-30-2020,866,74,781,0,0,0
07-01-2020,866,74,785,0,0,4
07-02-2020,866,74,785,0,0,0
07-03-2020,871,74,786,5,0,1
07-04-2020,871,74,786,0,0,0
07-05-2020,872,74,787,1,0,1
07-06-2020,872,74,787,0,0,0
07-07-2020,872,74,787,0,0,0
07-08-2020,873,74,788,1,0,1
07-09-2020,873,74,788,0,0,0
07-10-2020,874,74,789,1,0,1
07-11-2020,874,74,789,0,0,0
07-12-2020,874,74,789,0,0,0
07-13-2020,880,75,789,6,1,0
07-14-2020,880,75,789,0,0,0
07-15-2020,884,75,789,4,0,0
07-16-2020,885,75,789,1,0,0
07-17-2020,886,75,789,1,0,0
07-18-2020,889,75,800,3,0,11
07-19-2020,889,75,800,0,0,0
07-20-2020,889,75,800,0,0,0
07-21-2020,889,75,800,0,0,0
07-22-2020,889,75,805,0,0,5
07-23-2020,889,75,805,0,0,0
07-24-2020,915,75,805,26,0,0
07-25-2020,915,75,805,0,0,0
07-26-2020,915,75,810,0,0,5
07-27-2020,922,75,810,7,0,0
07-28-2020,926,75,810,4,0,0
07-29-2020,926,75,813,0,0,3
07-30-2020,935,75,813,9,0,0
07-31-2020,936,75,813,1,0,0
08-01-2020,936,75,813,0,0,0
08-02-2020,936,75,813,0,0,0
08-03-2020,936,75,813,0,0,0
08-04-2020,938,75,814,2,0,1
08-05-2020,939,75,835,1,0,21
08-06-2020,942,76,838,3,1,3
08-07-2020,942,76,838,0,0,0
08-08-2020,942,76,839,0,0,1
08-09-2020,944,76,839,2,0,0
08-10-2020,945,76,843,1,0,4
08-11-2020,945,76,843,0,0,0
08-12-2020,946,76,843,1,0,0
08-13-2020,949,76,843,3,0,0
08-14-2020,951,76,862,2,0,19
08-15-2020,952,76,864,1,0,2
08-16-2020,956,76,865,4,0,1
08-17-2020,956,76,865,0,0,0
08-18-2020,970,76,865,14,0,0
08-19-2020,970,76,865,0,0,0
08-20-2020,971,76,868,1,0,3
08-21-2020,981,76,869,10,0,1
08-22-2020,981,76,869,0,0,0
08-23-2020,986,76,870,5,0,1
08-24-2020,987,76,870,1,0,0
08-25-2020,987,76,870,0,0,0
