date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-08-2020,5,0,-1,5,0,-1
03-09-2020,9,0,-1,4,0,-1
03-10-2020,9,0,-1,0,0,-1
03-11-2020,13,0,-1,4,0,-1
03-12-2020,13,0,-1,0,0,-1
03-13-2020,23,0,-1,10,0,-1
03-14-2020,23,0,-1,0,0,-1
03-15-2020,23,0,-1,0,0,-1
03-16-2020,35,0,-1,12,0,-1
03-17-2020,41,0,-1,6,0,-1
03-18-2020,50,1,-1,9,1,-1
03-19-2020,87,1,-1,37,0,-1
03-20-2020,113,2,-1,26,1,-1
03-21-2020,113,2,-1,0,0,-1
03-22-2020,113,2,-1,0,0,-1
03-23-2020,117,2,-1,4,0,-1
03-24-2020,177,2,-1,60,0,-1
03-25-2020,177,2,-1,0,0,-1
03-26-2020,201,2,-1,24,0,-1
03-27-2020,201,2,-1,0,0,-1
03-28-2020,231,2,-1,30,0,-1
03-29-2020,263,2,-1,32,0,-1
03-30-2020,295,2,-1,32,0,-1
03-31-2020,314,2,-1,19,0,-1
04-01-2020,314,2,-1,0,0,-1
04-02-2020,347,2,-1,33,0,-1
04-03-2020,375,2,-1,28,0,-1
04-04-2020,396,2,-1,21,0,-1
04-05-2020,416,2,-1,20,0,-1
04-06-2020,435,2,-1,19,0,-1
04-07-2020,454,2,-1,19,0,-1
04-08-2020,467,2,-1,13,0,-1
04-09-2020,483,2,-1,16,0,-1
04-10-2020,502,3,-1,19,1,-1
04-11-2020,539,3,-1,37,0,-1
04-12-2020,558,3,-1,19,0,-1
04-13-2020,577,3,-1,19,0,-1
04-14-2020,595,3,-1,18,0,-1
04-15-2020,612,3,-1,17,0,-1
04-16-2020,618,3,-1,6,0,-1
04-17-2020,626,4,-1,8,1,-1
04-18-2020,642,4,-1,16,0,-1
04-19-2020,649,4,-1,7,0,-1
04-20-2020,655,4,-1,6,0,-1
04-21-2020,660,5,-1,5,1,-1
04-22-2020,662,6,-1,2,1,-1
04-23-2020,669,6,-1,7,0,-1
04-24-2020,681,6,-1,12,0,-1
04-25-2020,686,6,-1,5,0,-1
04-26-2020,687,6,-1,1,0,-1
04-27-2020,693,6,-1,6,0,-1
04-28-2020,695,6,-1,2,0,-1
04-29-2020,697,6,-1,2,0,-1
04-30-2020,705,6,-1,8,0,-1
05-01-2020,713,6,-1,8,0,-1
05-02-2020,719,6,-1,6,0,-1
05-03-2020,725,6,-1,6,0,-1
05-04-2020,733,6,-1,8,0,-1
05-05-2020,739,6,-1,6,0,-1
05-06-2020,742,6,-1,3,0,-1
05-07-2020,755,6,-1,13,0,-1
05-08-2020,761,6,-1,6,0,-1
05-09-2020,765,6,-1,4,0,-1
05-10-2020,773,6,-1,8,0,-1
05-11-2020,780,6,-1,7,0,-1
05-12-2020,792,6,-1,12,0,-1
05-13-2020,801,7,-1,9,1,-1
05-14-2020,804,7,-1,3,0,-1
05-15-2020,815,7,-1,11,0,-1
05-16-2020,830,8,-1,15,1,-1
05-17-2020,843,8,-1,13,0,-1
05-18-2020,853,10,-1,10,2,-1
05-19-2020,863,10,-1,10,0,-1
05-20-2020,882,10,-1,19,0,-1
05-21-2020,882,10,-1,0,0,-1
05-22-2020,882,10,-1,0,0,-1
05-23-2020,903,10,-1,21,0,-1
05-24-2020,911,10,-1,8,0,-1
05-25-2020,918,10,-1,7,0,-1
05-26-2020,930,10,-1,12,0,-1
05-27-2020,951,10,-1,21,0,-1
05-28-2020,956,10,-1,5,0,-1
05-29-2020,984,10,-1,28,0,-1
05-30-2020,1000,10,-1,16,0,-1
05-31-2020,1022,10,-1,22,0,-1
06-01-2020,1047,10,-1,25,0,-1
06-02-2020,1056,10,-1,9,0,-1
06-03-2020,1084,10,-1,28,0,-1
06-04-2020,1105,10,-1,21,0,-1
06-05-2020,1157,10,-1,52,0,-1
06-06-2020,1194,10,-1,37,0,-1
06-07-2020,1263,10,-1,69,0,-1
06-08-2020,1263,10,-1,0,0,-1
06-09-2020,1318,10,-1,55,0,-1
06-10-2020,1461,12,722,143,2,-1
06-11-2020,1538,12,722,77,0,0
06-12-2020,1612,12,731,74,0,9
06-13-2020,1662,12,743,50,0,12
06-14-2020,1662,12,743,0,0,0
06-15-2020,1744,12,771,82,0,28
06-16-2020,1796,12,794,52,0,23
06-17-2020,1871,12,899,75,0,105
06-18-2020,1939,12,937,68,0,38
06-19-2020,2058,12,982,119,0,45
06-20-2020,2127,12,1014,69,0,32
06-21-2020,2213,12,1032,86,0,18
06-22-2020,2277,12,1043,64,0,11
06-23-2020,2368,12,1129,91,0,86
06-24-2020,2515,12,1210,147,0,81
06-25-2020,2684,12,1227,169,0,17
06-26-2020,2836,12,1280,152,0,53
06-27-2020,2836,12,1280,0,0,0
06-28-2020,3130,15,1366,294,3,86
06-29-2020,3269,15,1394,139,0,28
06-30-2020,3269,15,1394,0,0,0
07-01-2020,3753,16,1516,484,1,122
07-02-2020,3753,16,1516,0,0,0
07-03-2020,4311,18,1657,558,2,141
07-04-2020,4621,18,1721,310,0,64
07-05-2020,4996,19,1745,375,1,24
07-06-2020,5241,23,1776,245,4,31
07-07-2020,5241,23,1776,0,0,0
07-08-2020,5836,24,1929,595,1,153
07-09-2020,5836,24,1929,0,0,0
07-10-2020,6845,26,2110,1009,2,181
07-11-2020,6845,26,2110,0,0,0
07-12-2020,6845,27,2110,0,1,0
07-13-2020,8036,31,2304,1191,4,194
07-14-2020,8036,31,2304,0,0,0
07-15-2020,8036,31,2304,0,0,0
07-16-2020,8482,36,2304,446,5,0
07-17-2020,9546,42,2673,1064,6,369
07-18-2020,10551,54,2902,1005,12,229
07-19-2020,10551,54,2902,0,0,0
07-20-2020,11534,66,3019,983,12,117
07-21-2020,11811,68,3194,277,2,175
07-22-2020,12361,71,3322,550,3,128
07-23-2020,13129,81,3448,768,10,126
07-24-2020,13669,87,3505,540,6,57
07-25-2020,14600,98,3640,931,11,135
07-26-2020,15229,104,3736,629,6,96
07-27-2020,15841,115,3824,612,11,88
07-28-2020,16344,125,3920,503,10,96
07-29-2020,16800,133,4050,456,8,130
07-30-2020,17290,140,4280,490,7,230
07-31-2020,17820,150,4404,530,10,124
08-01-2020,18187,154,4531,367,4,127
08-02-2020,18975,162,4585,788,8,54
08-03-2020,19402,171,4689,427,9,104
08-04-2020,19837,181,6590,435,10,1901
08-05-2020,20417,191,6851,580,10,261
08-06-2020,21070,200,7038,653,9,187
08-07-2020,22081,218,7266,1011,18,228
08-08-2020,22802,228,7589,721,10,323
08-09-2020,23286,235,7730,484,7,141
08-10-2020,23872,244,7823,586,9,93
08-11-2020,24508,255,7971,636,11,148
08-12-2020,24508,255,7971,0,0,0
08-13-2020,25057,263,8189,549,8,218
08-14-2020,26129,272,8412,1072,9,223
08-15-2020,26931,281,8785,802,9,373
08-16-2020,28465,294,9062,1534,13,277
08-17-2020,29084,303,9233,619,9,171
08-18-2020,29643,314,9462,559,11,229
08-19-2020,30409,321,9660,766,7,198
08-20-2020,31075,333,9939,666,12,279
08-21-2020,32134,340,10159,1059,7,220
08-22-2020,32134,340,10159,0,0,0
08-23-2020,33820,355,10518,1686,15,359
08-24-2020,34463,362,12758,643,7,2240
08-25-2020,34463,362,12758,0,0,0
