date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-13-2020,4,0,-1,4,0,-1
03-14-2020,4,0,-1,0,0,-1
03-15-2020,4,0,-1,0,0,-1
03-16-2020,4,0,-1,0,0,-1
03-17-2020,5,0,-1,1,0,-1
03-18-2020,10,1,-1,5,1,-1
03-19-2020,11,1,-1,1,0,-1
03-20-2020,16,1,-1,5,0,-1
03-21-2020,16,1,-1,0,0,-1
03-22-2020,16,1,-1,0,0,-1
03-23-2020,16,1,-1,0,0,-1
03-24-2020,48,1,-1,32,0,-1
03-25-2020,48,1,-1,0,0,-1
03-26-2020,67,1,-1,19,0,-1
03-27-2020,67,1,-1,0,0,-1
03-28-2020,80,2,-1,13,1,-1
03-29-2020,119,3,-1,39,1,-1
03-30-2020,119,3,-1,0,0,-1
03-31-2020,170,4,-1,51,1,-1
04-01-2020,186,6,-1,16,2,-1
04-02-2020,212,6,-1,26,0,-1
04-03-2020,233,6,-1,21,0,-1
04-04-2020,269,6,-1,36,0,-1
04-05-2020,288,6,-1,19,0,-1
04-06-2020,320,8,-1,32,2,-1
04-07-2020,350,9,-1,30,1,-1
04-08-2020,396,11,-1,46,2,-1
04-09-2020,457,12,-1,61,1,-1
04-10-2020,515,15,-1,58,3,-1
04-11-2020,564,15,-1,49,0,-1
04-12-2020,620,16,-1,56,1,-1
04-13-2020,669,18,-1,49,2,-1
04-14-2020,726,21,-1,57,3,-1
04-15-2020,766,21,-1,40,0,-1
04-16-2020,814,24,-1,48,3,-1
04-17-2020,862,27,-1,48,3,-1
04-18-2020,923,31,-1,61,4,-1
04-19-2020,986,32,-1,63,1,-1
04-20-2020,1035,34,-1,49,2,-1
04-21-2020,1087,36,-1,52,2,-1
04-22-2020,1137,38,-1,50,2,-1
04-23-2020,1189,40,-1,52,2,-1
04-24-2020,1235,43,-1,46,3,-1
04-25-2020,1285,49,-1,50,6,-1
04-26-2020,1337,51,-1,52,2,-1
04-27-2020,1369,54,-1,32,3,-1
04-28-2020,1389,56,-1,20,2,-1
04-29-2020,1437,58,-1,48,2,-1
04-30-2020,1467,58,-1,30,0,-1
05-01-2020,1501,61,-1,34,3,-1
05-02-2020,1537,64,-1,36,3,-1
05-03-2020,1611,66,-1,74,2,-1
05-04-2020,1649,67,-1,38,1,-1
05-05-2020,1668,69,-1,19,2,-1
05-06-2020,1685,69,-1,17,0,-1
05-07-2020,1703,69,-1,18,0,-1
05-08-2020,1729,73,-1,26,4,-1
05-09-2020,1741,74,-1,12,1,-1
05-10-2020,1754,74,-1,13,0,-1
05-11-2020,1766,77,-1,12,3,-1
05-12-2020,1783,77,-1,17,0,-1
