date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-01-2020,3,0,0,3,0,0
03-02-2020,3,0,-1,0,0,-1
03-03-2020,5,0,-1,2,0,-1
03-04-2020,5,0,-1,0,0,-1
03-05-2020,12,0,-1,7,0,-1
03-06-2020,12,0,-1,0,0,-1
03-07-2020,26,0,-1,14,0,-1
03-08-2020,32,0,-1,6,0,-1
03-09-2020,32,0,-1,0,0,-1
03-10-2020,61,0,-1,29,0,-1
03-11-2020,61,0,-1,0,0,-1
03-12-2020,116,0,-1,55,0,-1
03-13-2020,116,0,-1,0,0,-1
03-14-2020,150,0,-1,34,0,-1
03-15-2020,253,0,-1,103,0,-1
03-16-2020,298,0,-1,45,0,-1
03-17-2020,434,0,-1,136,0,-1
03-18-2020,522,0,-1,88,0,-1
03-19-2020,694,0,-1,172,0,-1
03-20-2020,904,0,-1,210,0,-1
03-21-2020,995,0,-1,91,0,-1
03-22-2020,995,0,-1,0,0,-1
03-23-2020,1165,1,-1,170,1,-1
03-24-2020,1236,1,-1,71,0,-1
03-25-2020,1394,3,-1,158,2,-1
03-26-2020,1654,6,-1,260,3,-1
03-27-2020,2062,9,-1,408,3,-1
03-28-2020,2279,9,-1,217,0,-1
03-29-2020,2663,11,-1,384,2,-1
03-30-2020,2829,16,-1,166,5,-1
03-31-2020,3002,24,-1,173,8,-1
04-01-2020,3308,31,-1,306,7,-1
04-02-2020,3589,39,-1,281,8,-1
04-03-2020,3858,44,-1,269,5,-1
04-04-2020,4190,53,-1,332,9,-1
04-05-2020,4472,59,-1,282,6,-1
04-06-2020,4587,67,-1,115,8,-1
04-07-2020,4822,78,-1,235,11,-1
04-08-2020,5017,88,-1,195,10,-1
04-09-2020,5312,99,-1,295,11,-1
04-10-2020,5569,112,-1,257,13,-1
04-11-2020,5732,119,-1,163,7,-1
04-12-2020,5902,129,-1,170,10,-1
04-13-2020,5991,138,-1,89,9,-1
04-14-2020,6059,143,-1,68,5,-1
04-15-2020,6141,161,-1,82,18,-1
04-16-2020,6303,166,-1,162,5,-1
04-17-2020,6433,169,-1,130,3,-1
04-18-2020,6549,173,-1,116,4,-1
04-19-2020,6654,181,-1,105,8,-1
04-20-2020,6787,188,-1,133,7,-1
04-21-2020,6914,196,-1,127,8,-1
