date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-07-2020,1,0,0,1,0,0
03-08-2020,2,0,0,1,0,0
03-09-2020,5,0,0,3,0,0
03-10-2020,5,0,0,0,0,0
03-11-2020,10,0,0,5,0,0
03-12-2020,10,0,0,0,0,0
03-13-2020,10,0,0,0,0,0
03-14-2020,16,0,0,6,0,0
03-15-2020,17,0,0,1,0,0
03-16-2020,22,0,0,5,0,0
03-17-2020,31,0,0,9,0,0
03-18-2020,40,0,0,9,0,0
03-19-2020,71,0,0,31,0,0
03-20-2020,77,1,0,6,1,0
03-21-2020,98,1,0,21,0,0
03-22-2020,120,2,0,22,1,0
03-23-2020,141,2,0,21,0,0
03-24-2020,187,2,0,46,0,0
03-25-2020,231,3,0,44,1,0
03-26-2020,267,3,0,36,0,0
03-27-2020,304,4,0,37,1,0
03-28-2020,342,4,0,38,0,0
03-29-2020,401,9,0,59,5,0
03-30-2020,495,9,0,94,0,0
03-31-2020,507,9,0,12,0,0
04-01-2020,586,11,0,79,2,0
04-02-2020,653,12,0,67,1,0
04-03-2020,757,15,0,104,3,0
04-04-2020,902,21,0,145,6,0
04-05-2020,1002,22,0,100,1,0
04-06-2020,1097,24,0,95,2,0
04-07-2020,1211,22,318,114,-2,318
04-08-2020,1440,27,361,229,5,43
04-09-2020,1523,32,393,83,5,32
04-10-2020,1660,38,426,137,6,33
04-11-2020,1778,47,447,118,9,21
04-12-2020,1875,50,493,97,3,46
04-13-2020,1955,52,507,80,2,14
04-14-2020,2058,67,518,103,15,11
04-15-2020,2197,72,530,139,5,12
04-16-2020,2350,81,552,153,9,22
04-17-2020,2476,86,573,126,5,21
04-18-2020,2666,91,608,190,5,35
04-19-2020,2793,96,622,127,5,14
04-20-2020,2927,105,630,134,9,8
04-21-2020,3098,112,636,171,7,6
04-22-2020,3206,127,645,108,15,9
04-23-2020,3361,139,648,155,12,3
04-24-2020,3528,153,651,167,14,3
04-25-2020,3699,165,652,171,12,1
04-26-2020,3841,178,657,142,13,5
04-27-2020,3892,185,659,51,7,2
04-28-2020,3994,190,660,102,5,1
04-29-2020,4106,205,660,112,15,0
04-30-2020,4323,224,660,217,19,0
05-01-2020,4658,231,666,335,7,6
05-02-2020,4797,240,666,139,9,0
05-03-2020,5016,251,666,219,11,0
05-04-2020,5170,258,666,154,7,0
05-05-2020,5322,264,667,152,6,1
05-06-2020,5461,277,808,139,13,141
05-07-2020,5654,285,825,193,8,17
05-08-2020,5899,304,825,245,19,0
05-09-2020,6102,311,879,203,7,54
05-10-2020,6272,323,880,170,12,1
05-11-2020,6389,328,881,117,5,1
05-12-2020,6485,336,886,96,8,5
05-13-2020,6584,350,934,99,14,48
05-14-2020,6736,358,966,152,8,32
05-15-2020,6871,368,975,135,10,9
05-16-2020,7042,375,998,171,7,23
05-17-2020,7123,383,1023,81,8,25
05-18-2020,7270,392,1028,147,9,5
05-19-2020,7434,400,1040,164,8,12
05-20-2020,7551,407,1059,117,7,19
05-21-2020,7788,412,1061,237,5,2
05-22-2020,7893,418,1069,105,6,8
05-23-2020,7966,427,1075,73,9,6
05-24-2020,8110,432,1080,144,5,5
05-25-2020,8225,440,1080,115,8,0
05-26-2020,8334,440,1080,109,0,0
05-27-2020,8406,445,1082,72,5,2
05-28-2020,8492,453,1082,86,8,0
05-29-2020,8538,460,1089,46,7,7
05-30-2020,8717,462,1100,179,2,11
05-31-2020,8801,466,1116,84,4,16
06-01-2020,8857,468,1126,56,2,10
06-02-2020,8886,470,1137,29,2,11
06-03-2020,9016,473,1138,130,3,1
06-04-2020,9120,475,1138,104,2,0
06-05-2020,9199,479,1138,79,4,0
06-06-2020,9269,483,1138,70,4,0
06-07-2020,9332,489,1143,63,6,5
06-08-2020,9389,491,1143,57,2,0
06-09-2020,9474,495,1143,85,4,0
06-10-2020,9537,499,1143,63,4,0
06-11-2020,9589,502,1143,52,3,0
06-12-2020,9654,506,1143,65,4,0
06-13-2020,9709,511,1143,55,5,0
06-14-2020,9767,515,1150,58,4,7
06-15-2020,9799,515,1155,32,0,5
06-16-2020,9818,520,1155,19,5,0
06-17-2020,9847,523,1155,29,3,0
06-18-2020,9903,527,1155,56,4,0
06-19-2020,9952,530,1162,49,3,7
06-20-2020,9984,531,1166,32,1,4
06-21-2020,10020,533,1172,36,2,6
06-22-2020,10058,535,1182,38,2,10
06-23-2020,10094,537,1182,36,2,0
06-24-2020,10128,541,1182,34,4,0
06-25-2020,10159,543,1182,31,2,0
06-26-2020,10185,546,1186,26,3,4
06-27-2020,10216,548,1194,31,2,8
06-28-2020,10248,550,1199,32,2,5
06-29-2020,10292,551,1200,44,1,1
06-30-2020,10327,551,1270,35,0,70
07-01-2020,10365,553,1451,38,2,181
07-02-2020,10390,554,1465,25,1,14
07-03-2020,10435,555,1497,45,1,32
07-04-2020,10447,557,1523,12,2,26
07-05-2020,10482,559,1542,35,2,19
07-06-2020,10515,561,1553,33,2,11
07-07-2020,10569,561,1574,54,0,21
07-08-2020,10642,564,1625,73,3,51
07-09-2020,10679,568,1662,37,4,37
07-10-2020,10743,568,1703,64,0,41
07-11-2020,10801,568,1717,58,0,14
07-12-2020,10847,568,1737,46,0,20
07-13-2020,10906,568,1756,59,0,19
07-14-2020,10946,568,1774,40,0,18
07-15-2020,11026,571,1809,80,3,35
07-16-2020,11076,574,1843,50,3,34
07-17-2020,11115,577,1863,39,3,20
07-18-2020,11194,578,1877,79,1,14
07-19-2020,11261,578,1886,67,0,9
07-20-2020,11339,579,1909,78,1,23
07-21-2020,11427,580,1932,88,1,23
07-22-2020,11529,580,1974,102,0,42
07-23-2020,11571,581,2020,42,1,46
07-24-2020,11649,581,9582,78,0,7562
07-25-2020,11717,581,9603,68,0,21
07-26-2020,11780,581,9607,63,0,4
07-27-2020,11858,582,9639,78,1,32
07-28-2020,11945,583,9664,87,1,25
07-29-2020,11999,584,9723,54,1,59
07-30-2020,12057,584,9777,58,0,54
07-31-2020,12126,585,9816,69,1,39
08-01-2020,12205,585,9816,79,0,0
08-02-2020,12274,586,9870,69,1,54
08-03-2020,12313,586,9893,39,0,23
08-04-2020,12398,587,9959,85,1,66
08-05-2020,12443,587,10015,45,0,56
08-06-2020,12518,587,10094,75,0,79
08-07-2020,12589,589,10118,71,2,24
08-08-2020,12653,590,10124,64,1,6
08-09-2020,12753,591,10156,100,1,32
08-10-2020,12807,591,10188,54,0,32
08-11-2020,12896,593,10232,89,2,44
08-12-2020,12959,593,10300,63,0,68
08-13-2020,13024,594,10361,65,1,61
08-14-2020,13118,594,10416,94,0,55
08-15-2020,13159,597,10452,41,3,36
08-16-2020,13220,597,10493,61,0,41
08-17-2020,13273,597,10521,53,0,28
08-18-2020,13325,599,10595,52,2,74
08-19-2020,13354,600,10596,29,1,1
08-20-2020,13409,601,10720,55,1,124
08-21-2020,13469,602,10772,60,1,52
08-22-2020,13534,604,10800,65,2,28
08-23-2020,13590,604,10812,56,0,12
08-24-2020,13639,604,10835,49,0,23
08-25-2020,13639,604,10835,0,0,0
