date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,1,0,-1,1,0,-1
03-03-2020,1,0,-1,0,0,-1
03-04-2020,1,0,-1,0,0,-1
03-05-2020,1,0,-1,0,0,-1
03-06-2020,1,0,-1,0,0,-1
03-07-2020,1,0,-1,0,0,-1
03-08-2020,1,0,-1,0,0,-1
03-09-2020,1,0,-1,0,0,-1
03-10-2020,5,0,-1,4,0,-1
03-11-2020,5,0,-1,0,0,-1
03-12-2020,5,0,-1,0,0,-1
03-13-2020,5,0,-1,0,0,-1
03-14-2020,5,0,-1,0,0,-1
03-15-2020,5,0,-1,0,0,-1
03-16-2020,5,0,-1,0,0,-1
03-17-2020,21,1,-1,16,1,-1
03-18-2020,21,1,-1,0,0,-1
03-19-2020,34,2,-1,13,1,-1
03-20-2020,72,2,-1,38,0,-1
03-21-2020,72,2,-1,0,0,-1
03-22-2020,72,2,-1,0,0,-1
03-23-2020,72,2,-1,0,0,-1
03-24-2020,312,6,-1,240,4,-1
03-25-2020,312,6,-1,0,0,-1
03-26-2020,488,10,-1,176,4,-1
03-27-2020,488,10,-1,0,0,-1
03-28-2020,581,20,-1,93,10,-1
03-29-2020,581,20,-1,0,0,-1
03-30-2020,581,20,-1,0,0,-1
03-31-2020,901,42,-1,320,22,-1
04-01-2020,1109,51,-1,208,9,-1
04-02-2020,1284,57,-1,175,6,-1
04-03-2020,1380,60,-1,96,3,-1
04-04-2020,1488,68,-1,108,8,-1
04-05-2020,1488,68,-1,0,0,-1
04-06-2020,1488,68,-1,0,0,-1
04-07-2020,1828,86,-1,340,18,-1
04-08-2020,1956,98,-1,128,12,-1
04-09-2020,1956,98,-1,0,0,-1
04-10-2020,2349,118,-1,393,20,-1
04-11-2020,2349,118,-1,0,0,-1
04-12-2020,2620,126,-1,271,8,-1
04-13-2020,2967,173,-1,347,47,-1
04-14-2020,3167,177,-1,200,4,-1
04-15-2020,3286,183,-1,119,6,-1
04-16-2020,3614,189,-1,328,6,-1
04-17-2020,3755,196,-1,141,7,-1
04-18-2020,4126,200,-1,371,4,-1
04-19-2020,4335,217,-1,209,17,-1
04-20-2020,4680,226,-1,345,9,-1
04-21-2020,4964,235,-1,284,9,-1
04-22-2020,5044,245,-1,80,10,-1
04-23-2020,5300,260,-1,256,15,-1
04-24-2020,5543,265,-1,243,5,-1
04-25-2020,5749,267,-1,206,2,-1
04-26-2020,5926,273,-1,177,6,-1
04-27-2020,6135,278,-1,209,5,-1
04-28-2020,6293,282,-1,158,4,-1
04-29-2020,6416,286,-1,123,4,-1
04-30-2020,6652,293,-1,236,7,-1
05-01-2020,6972,301,-1,320,8,-1
05-02-2020,7288,313,-1,316,12,-1
05-03-2020,7578,326,-1,290,13,-1
05-04-2020,7954,333,-1,376,7,-1
05-05-2020,8235,346,-1,281,13,-1
05-06-2020,8480,354,-1,245,8,-1
05-07-2020,8807,362,-1,327,8,-1
05-08-2020,9095,373,-1,288,11,-1
