date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-14-2020,1,0,-1,1,0,-1
02-15-2020,1,0,-1,0,0,-1
02-16-2020,1,0,-1,0,0,-1
02-17-2020,1,0,-1,0,0,-1
02-18-2020,1,0,-1,0,0,-1
02-19-2020,1,0,-1,0,0,-1
02-20-2020,1,0,-1,0,0,-1
02-21-2020,1,0,-1,0,0,-1
02-22-2020,1,0,-1,0,0,-1
02-23-2020,1,0,-1,0,0,-1
02-24-2020,1,0,-1,0,0,-1
02-25-2020,1,0,-1,0,0,-1
02-26-2020,1,0,-1,0,0,-1
02-27-2020,1,0,-1,0,0,-1
02-28-2020,1,0,-1,0,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,2,0,-1,1,0,-1
03-03-2020,2,0,-1,0,0,-1
03-04-2020,2,0,-1,0,0,-1
03-05-2020,3,0,-1,1,0,-1
03-06-2020,3,0,-1,0,0,-1
03-07-2020,48,0,-1,45,0,-1
03-08-2020,49,1,-1,1,1,-1
03-09-2020,59,1,-1,10,0,-1
03-10-2020,59,1,-1,0,0,-1
03-11-2020,67,1,-1,8,0,-1
03-12-2020,67,1,-1,0,0,-1
03-13-2020,67,1,-1,0,0,-1
03-14-2020,93,2,-1,26,1,-1
03-15-2020,110,2,-1,17,0,-1
03-16-2020,126,2,-1,16,0,-1
03-17-2020,166,4,-1,40,2,-1
03-18-2020,196,6,-1,30,2,-1
03-19-2020,210,6,-1,14,0,-1
03-20-2020,256,7,-1,46,1,-1
03-21-2020,285,8,-1,29,1,-1
03-22-2020,294,10,-1,9,2,-1
03-23-2020,327,14,-1,33,4,-1
03-24-2020,366,19,-1,39,5,-1
03-25-2020,442,21,-1,76,2,-1
03-26-2020,456,21,-1,14,0,-1
03-27-2020,495,24,-1,39,3,-1
03-28-2020,536,30,-1,41,6,-1
03-29-2020,576,36,-1,40,6,-1
03-30-2020,609,40,-1,33,4,-1
03-31-2020,656,41,-1,47,1,-1
04-01-2020,710,46,-1,54,5,-1
04-02-2020,779,52,-1,69,6,-1
04-03-2020,865,58,-1,86,6,-1
04-04-2020,985,66,-1,120,8,-1
04-05-2020,1070,71,-1,85,5,-1
04-06-2020,1173,78,-1,103,7,-1
04-07-2020,1322,85,-1,149,7,-1
04-08-2020,1450,94,-1,128,9,-1
04-09-2020,1560,103,-1,110,9,-1
04-10-2020,1699,118,-1,139,15,-1
04-11-2020,1794,135,-1,95,17,-1
04-12-2020,1939,146,-1,145,11,-1
04-13-2020,2065,159,-1,126,13,-1
04-14-2020,2190,164,-1,125,5,-1
04-15-2020,2350,178,-1,160,14,-1
04-16-2020,2505,183,-1,155,5,-1
04-17-2020,2673,196,-1,168,13,-1
04-18-2020,2844,205,-1,171,9,-1
04-19-2020,3032,224,-1,188,19,-1
04-20-2020,3144,239,-1,112,15,-1
04-21-2020,3333,250,-1,189,11,-1
04-22-2020,3490,264,-1,157,14,-1
04-23-2020,3659,276,-1,169,12,-1
04-24-2020,4092,294,-1,433,18,-1
04-25-2020,4092,294,-1,0,0,-1
