date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-27-2020,1,0,-1,1,0,-1
02-28-2020,1,0,-1,0,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,1,0,-1,0,0,-1
03-03-2020,2,0,-1,1,0,-1
03-04-2020,2,0,-1,0,0,-1
03-05-2020,3,0,-1,1,0,-1
03-06-2020,10,0,-1,7,0,-1
03-07-2020,10,0,-1,0,0,-1
03-08-2020,10,0,-1,0,0,-1
03-09-2020,10,0,-1,0,0,-1
03-10-2020,10,0,-1,0,0,-1
03-11-2020,13,0,-1,3,0,-1
03-12-2020,13,0,-1,0,0,-1
03-13-2020,79,0,-1,66,0,-1
03-14-2020,79,0,-1,0,0,-1
03-15-2020,171,0,-1,92,0,-1
03-16-2020,205,0,-1,34,0,-1
03-17-2020,225,0,-1,20,0,-1
03-18-2020,258,0,-1,33,0,-1
03-19-2020,267,0,-1,9,0,-1
03-20-2020,283,0,-1,16,0,-1
03-21-2020,306,0,-1,23,0,-1
03-22-2020,306,0,-1,0,0,-1
03-23-2020,326,0,-1,20,0,-1
03-24-2020,352,0,-1,26,0,-1
03-25-2020,369,0,-1,17,0,-1
03-26-2020,404,1,-1,35,1,-1
03-27-2020,538,1,-1,134,0,-1
03-28-2020,575,1,-1,37,0,-1
03-29-2020,640,1,-1,65,0,-1
03-30-2020,679,3,-1,39,2,-1
03-31-2020,715,3,-1,36,0,-1
04-01-2020,745,4,-1,30,1,-1
04-02-2020,779,5,-1,34,1,-1
04-03-2020,858,11,-1,79,6,-1
04-04-2020,961,12,-1,103,1,-1
04-05-2020,1018,13,-1,57,1,-1
04-06-2020,1097,15,-1,79,2,-1
04-07-2020,1108,19,-1,11,4,-1
04-08-2020,1149,21,-1,41,2,-1
04-09-2020,1185,24,-1,36,3,-1
04-10-2020,1207,24,-1,22,0,-1
04-11-2020,1258,24,-1,51,0,-1
04-12-2020,1304,24,-1,46,0,-1
04-13-2020,1309,25,-1,5,1,-1
04-14-2020,1332,28,-1,23,3,-1
04-15-2020,1373,31,-1,41,3,-1
04-16-2020,1402,35,-1,29,4,-1
04-17-2020,1434,36,-1,32,1,-1
04-18-2020,1459,38,-1,25,2,-1
04-19-2020,1512,38,-1,53,0,-1
04-20-2020,1528,40,-1,16,2,-1
04-21-2020,1535,40,-1,7,0,-1
04-22-2020,1552,43,-1,17,3,-1
04-23-2020,1559,44,-1,7,1,-1
04-24-2020,1592,45,-1,33,1,-1
04-25-2020,1605,46,-1,13,1,-1
04-26-2020,1635,46,-1,30,0,-1
04-27-2020,1643,49,-1,8,3,-1
04-28-2020,1647,50,-1,4,1,-1
04-29-2020,1660,50,-1,13,0,-1
04-30-2020,1666,50,-1,6,0,-1
05-01-2020,1689,52,-1,23,2,-1
05-02-2020,1694,52,-1,5,0,-1
05-03-2020,1699,53,-1,5,1,-1
05-04-2020,1700,55,-1,1,2,-1
05-05-2020,1703,55,-1,3,0,-1
05-06-2020,1711,55,-1,8,0,-1
05-07-2020,1713,55,-1,2,0,-1
05-08-2020,1720,56,-1,7,1,-1
