date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-14-2020,1,0,-1,1,0,-1
03-15-2020,1,0,-1,0,0,-1
03-16-2020,4,0,-1,3,0,-1
03-17-2020,5,0,-1,1,0,-1
03-18-2020,6,0,-1,1,0,-1
03-19-2020,9,0,-1,3,0,-1
03-20-2020,9,0,-1,0,0,-1
03-21-2020,9,0,-1,0,0,-1
03-22-2020,9,0,-1,0,0,-1
03-23-2020,11,0,-1,2,0,-1
03-24-2020,11,0,-1,0,0,-1
03-25-2020,12,0,-1,1,0,-1
03-26-2020,12,0,-1,0,0,-1
03-27-2020,12,0,-1,0,0,-1
03-28-2020,16,0,-1,4,0,-1
03-29-2020,16,0,-1,0,0,-1
03-30-2020,21,0,-1,5,0,-1
03-31-2020,23,0,-1,2,0,-1
04-01-2020,26,0,-1,3,0,-1
04-02-2020,26,0,-1,0,0,-1
04-03-2020,31,0,-1,5,0,-1
04-04-2020,35,0,-1,4,0,-1
04-05-2020,38,0,-1,3,0,-1
04-06-2020,43,1,-1,5,1,-1
04-07-2020,44,1,-1,1,0,-1
04-08-2020,52,2,-1,8,1,-1
04-09-2020,55,2,-1,3,0,-1
04-10-2020,56,2,-1,1,0,-1
04-11-2020,65,2,-1,9,0,-1
04-12-2020,69,3,-1,4,1,-1
04-13-2020,71,3,-1,2,0,-1
04-14-2020,74,3,-1,3,0,-1
04-15-2020,82,3,-1,8,0,-1
04-16-2020,85,3,-1,3,0,-1
04-17-2020,92,3,-1,7,0,-1
04-18-2020,96,3,-1,4,0,-1
04-19-2020,105,3,-1,9,0,-1
04-20-2020,108,3,-1,3,0,-1
04-21-2020,111,3,-1,3,0,-1
04-22-2020,114,3,-1,3,0,-1
04-23-2020,116,3,-1,2,0,-1
04-24-2020,116,3,-1,0,0,-1
04-25-2020,117,3,-1,1,0,-1
04-26-2020,122,3,-1,5,0,-1
04-27-2020,123,3,-1,1,0,-1
04-28-2020,124,3,-1,1,0,-1
04-29-2020,126,3,-1,2,0,-1
04-30-2020,130,3,-1,4,0,-1
05-01-2020,131,3,-1,1,0,-1
05-02-2020,133,3,-1,2,0,-1
05-03-2020,133,3,-1,0,0,-1
05-04-2020,135,3,-1,2,0,-1
05-05-2020,140,3,-1,5,0,-1
05-06-2020,145,4,-1,5,1,-1
05-07-2020,162,4,-1,17,0,-1
05-08-2020,191,4,-1,29,0,-1
05-09-2020,194,4,-1,3,0,-1
05-10-2020,210,5,-1,16,1,-1
05-11-2020,239,5,-1,29,0,-1
