date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
04-16-2020,752,18,87,752,18,87
04-17-2020,761,18,138,9,0,51
04-18-2020,784,21,171,23,3,33
04-19-2020,804,22,184,20,1,13
04-20-2020,816,22,238,12,0,54
04-21-2020,863,23,269,47,1,31
04-22-2020,908,24,300,45,1,31
04-23-2020,977,24,355,69,0,55
04-24-2020,985,25,478,8,1,123
04-25-2020,1047,26,507,62,1,29
04-26-2020,1118,27,509,71,1,2
04-27-2020,1376,28,514,258,1,5
04-28-2020,1649,30,536,273,2,22
04-29-2020,1877,31,546,228,1,10
04-30-2020,2041,33,558,164,2,12
05-01-2020,2185,36,655,144,3,97
05-02-2020,2268,37,662,83,1,7
05-03-2020,2276,38,663,8,1,1
05-04-2020,2340,40,692,64,2,29
05-05-2020,2425,41,710,85,1,18
05-06-2020,2465,42,710,40,1,0
05-07-2020,3011,44,869,546,2,159
05-08-2020,3447,45,898,436,1,29
05-09-2020,3695,46,903,248,1,5
05-10-2020,3695,48,935,0,2,32
05-11-2020,3744,49,935,49,1,0
05-12-2020,3744,50,1567,0,1,632
05-13-2020,3744,51,1635,0,1,68
05-14-2020,3744,52,2093,0,1,458
05-15-2020,3744,55,2161,0,3,68
05-16-2020,3744,56,2237,0,1,76
05-17-2020,3744,56,2242,0,0,5
05-18-2020,3744,57,2346,0,1,104
05-19-2020,3744,57,2484,0,0,138
05-20-2020,5283,58,2566,1539,1,82
05-21-2020,5283,59,3159,0,1,593
05-22-2020,5288,59,3441,5,0,282
05-23-2020,5309,59,3452,21,0,11
05-24-2020,5350,59,3547,41,0,95
05-25-2020,5350,59,3558,0,0,11
05-26-2020,5415,64,3594,65,5,36
05-27-2020,5643,64,3646,228,0,52
05-28-2020,5643,64,3646,0,0,0
05-29-2020,5832,66,3967,189,2,321
05-30-2020,5909,66,4002,77,0,35
05-31-2020,5913,67,4040,4,1,38
06-01-2020,5947,68,4058,34,1,18
06-02-2020,6229,71,4079,282,3,21
06-03-2020,6344,72,4139,115,1,60
06-04-2020,6380,75,4140,36,3,1
06-05-2020,6477,77,4237,97,2,97
06-06-2020,6539,79,4320,62,2,83
06-07-2020,6650,79,4388,111,0,68
06-08-2020,6741,79,4409,91,0,21
06-09-2020,6822,79,4428,81,0,19
06-10-2020,6832,80,4431,10,1,3
06-11-2020,6833,81,4537,1,1,106
06-12-2020,6859,81,4960,26,0,423
06-13-2020,6889,83,5247,30,2,287
06-14-2020,6883,85,5314,-6,2,67
06-15-2020,6890,86,5416,7,1,102
06-16-2020,6905,86,5442,15,0,26
06-17-2020,6918,86,5472,13,0,30
06-18-2020,6986,86,5473,68,0,1
06-19-2020,7039,86,5486,53,0,13
06-20-2020,7049,87,5486,10,1,0
06-21-2020,7063,87,5486,14,0,0
06-22-2020,7077,88,5486,14,1,0
06-23-2020,7103,88,5503,26,0,17
06-24-2020,7125,89,5635,22,1,132
06-25-2020,7158,90,5686,33,1,51
06-26-2020,7176,90,5690,18,0,4
06-27-2020,7301,90,5690,125,0,0
06-28-2020,7337,90,5690,36,0,0
06-29-2020,7365,90,5690,28,0,0
06-30-2020,7444,91,5691,79,1,1
07-01-2020,7532,91,5714,88,0,23
07-02-2020,7618,92,5722,86,1,8
07-03-2020,7798,93,5722,180,1,0
07-04-2020,7877,94,5722,79,1,0
07-05-2020,7925,95,5722,48,1,0
07-06-2020,7987,95,5741,62,0,19
07-07-2020,8198,95,5750,211,0,9
07-08-2020,8304,95,5750,106,0,0
07-09-2020,8530,95,5750,226,0,0
07-10-2020,8749,95,5750,219,0,0
07-11-2020,8949,95,5762,200,0,12
07-12-2020,9030,95,5762,81,0,0
07-13-2020,9223,96,5762,193,1,0
07-14-2020,9529,96,5810,306,0,48
07-15-2020,9730,96,5953,201,0,143
07-16-2020,9875,96,6001,145,0,48
07-17-2020,10069,98,6065,194,2,64
07-18-2020,10258,98,6105,189,0,40
07-19-2020,10303,98,6106,45,0,1
07-20-2020,10649,98,6130,346,0,24
07-21-2020,10811,99,6195,162,1,65
07-22-2020,11033,99,6302,222,0,107
07-23-2020,11174,100,6324,141,1,22
07-24-2020,11318,100,6567,144,0,243
07-25-2020,11391,100,6602,73,0,35
07-26-2020,11418,101,6605,27,1,3
07-27-2020,11490,102,6943,72,1,338
07-28-2020,11625,102,7264,135,0,321
07-29-2020,11692,104,7539,67,2,275
07-30-2020,11751,104,8112,59,0,573
07-31-2020,11751,104,8112,0,0,0
08-01-2020,11878,106,8961,127,2,849
08-02-2020,11898,106,8964,20,0,3
08-03-2020,11984,107,8988,86,1,24
08-04-2020,12051,109,9383,67,2,395
08-05-2020,12129,109,9682,78,0,299
08-06-2020,12208,111,10005,79,2,323
08-07-2020,12249,112,10131,41,1,126
08-08-2020,12293,112,10208,44,0,77
08-09-2020,12308,112,10242,15,0,34
08-10-2020,12321,112,10263,13,0,21
08-11-2020,12426,112,10435,105,0,172
08-12-2020,12497,112,10617,71,0,182
08-13-2020,12621,113,10641,124,1,24
08-14-2020,12665,114,10685,44,1,44
08-15-2020,12704,114,10747,39,0,62
08-16-2020,12737,114,10754,33,0,7
08-17-2020,12828,115,10804,91,1,50
08-18-2020,12885,115,10808,57,0,4
08-19-2020,12996,115,10951,111,0,143
08-20-2020,13146,116,11007,150,1,56
08-21-2020,13280,117,11082,134,1,75
08-22-2020,13342,117,11121,62,0,39
08-23-2020,13371,117,11142,29,0,21
08-24-2020,13415,117,11171,44,0,29
08-25-2020,13415,117,11171,0,0,0
