date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-01-2020,2,0,0,2,0,0
03-02-2020,2,0,0,0,0,0
03-03-2020,3,0,0,1,0,0
03-04-2020,3,0,0,0,0,0
03-05-2020,4,0,0,1,0,0
03-06-2020,7,2,0,3,2,0
03-07-2020,11,2,0,4,0,0
03-08-2020,13,2,0,2,0,0
03-09-2020,14,2,0,1,0,0
03-10-2020,15,2,0,1,0,0
03-11-2020,29,2,0,14,0,0
03-12-2020,50,2,0,21,0,0
03-13-2020,51,3,0,1,1,0
03-14-2020,116,4,0,65,1,0
03-15-2020,149,5,0,33,1,0
03-16-2020,162,5,0,13,0,0
03-17-2020,217,7,0,55,2,0
03-18-2020,328,8,0,111,1,0
03-19-2020,432,9,0,104,1,0
03-20-2020,563,11,0,131,2,0
03-21-2020,763,13,0,200,2,0
03-22-2020,1007,13,0,244,0,0
03-23-2020,1227,18,0,220,5,0
03-24-2020,1467,23,0,240,5,0
03-25-2020,1978,23,0,511,0,0
03-26-2020,2484,29,0,506,6,0
03-27-2020,3198,46,0,714,17,0
03-28-2020,4038,54,0,840,8,0
03-29-2020,4950,60,0,912,6,0
03-30-2020,5704,71,0,754,11,0
03-31-2020,6741,85,0,1037,14,0
04-01-2020,7773,101,0,1032,16,0
04-02-2020,9008,144,0,1235,43,0
04-03-2020,10268,170,0,1260,26,0
04-04-2020,11545,195,0,1277,25,0
04-05-2020,12350,221,0,805,26,0
04-06-2020,13629,254,0,1279,33,0
04-07-2020,14747,296,0,1118,42,0
04-08-2020,15698,323,0,951,27,0
04-09-2020,16826,371,0,1128,48,0
04-10-2020,17968,419,0,1142,48,0
04-11-2020,18986,446,0,1018,27,0
04-12-2020,19895,461,0,909,15,0
04-13-2020,21019,499,0,1124,38,0
04-14-2020,21628,571,163,609,72,163
04-15-2020,22519,614,174,891,43,11
04-16-2020,23340,668,174,821,54,0
04-17-2020,24759,726,174,1419,58,0
04-18-2020,25492,748,174,733,22,0
04-19-2020,26314,774,174,822,26,0
04-20-2020,27058,823,174,744,49,0
04-21-2020,27869,867,174,811,44,0
04-22-2020,28586,927,174,717,60,0
04-23-2020,29648,987,174,1062,60,0
04-24-2020,30533,1046,174,885,59,0
04-25-2020,30839,1055,174,306,9,0
04-26-2020,31532,1075,174,693,20,0
04-27-2020,32138,1088,174,606,13,0
04-28-2020,32848,1171,174,710,83,0
04-29-2020,33193,1218,174,345,47,0
04-30-2020,33690,1268,174,497,50,0
05-01-2020,34728,1314,174,1038,46,0
05-02-2020,35466,1364,174,738,50,0
05-03-2020,36078,1379,174,612,15,0
05-04-2020,36897,1399,174,819,20,0
05-05-2020,37439,1471,174,542,72,0
05-06-2020,38013,1539,174,574,68,0
05-07-2020,38828,1600,174,815,61,0
05-08-2020,39199,1669,174,371,69,0
05-09-2020,40001,1715,174,802,46,0
05-10-2020,40596,1721,371,595,6,197
05-11-2020,40982,1735,371,386,14,0
05-12-2020,41923,1779,371,941,44,0
05-13-2020,42402,1827,371,479,48,0
05-14-2020,43210,1875,371,808,48,0
05-15-2020,44138,1917,371,928,42,0
05-16-2020,44811,1964,381,673,47,10
05-17-2020,45588,1973,381,777,9,0
05-18-2020,46442,1997,381,854,24,0
05-19-2020,46944,2052,381,502,55,0
05-20-2020,47471,2096,381,527,44,0
05-21-2020,48675,2144,381,1204,48,0
05-22-2020,49451,2190,381,776,46,0
05-23-2020,50127,2233,381,676,43,0
05-24-2020,50867,2237,381,740,4,0
05-25-2020,51746,2252,381,879,15,0
05-26-2020,52255,2259,381,509,7,0
05-27-2020,52634,2319,381,379,60,0
05-28-2020,53285,2364,381,651,45,0
05-29-2020,54497,2413,381,1212,49,0
05-30-2020,55424,2447,381,927,34,0
05-31-2020,56163,2451,381,739,4,0
06-01-2020,56830,2460,381,667,9,0
06-02-2020,57447,2530,381,617,70,0
06-03-2020,58764,2566,381,1317,36,0
06-04-2020,60183,2607,381,1419,41,0
06-05-2020,61488,2660,381,1305,53,0
06-06-2020,62758,2688,381,1270,28,0
06-07-2020,63938,2700,381,1180,12,0
06-08-2020,64904,2713,381,966,13,0
06-09-2020,66000,2766,381,1096,53,0
06-10-2020,67371,2802,381,1371,36,0
06-11-2020,69069,2849,381,1698,47,0
06-12-2020,70971,2878,381,1902,29,0
06-13-2020,73552,2926,381,2581,48,0
06-14-2020,75568,2932,381,2016,6,0
06-15-2020,77326,2939,381,1758,7,0
06-16-2020,80109,2994,381,2783,55,0
06-17-2020,82719,3019,381,2610,25,0
06-18-2020,85926,3062,381,3207,43,0
06-19-2020,89748,3105,381,3822,43,0
06-20-2020,93797,3144,381,4049,39,0
06-21-2020,97291,3161,381,3494,17,0
06-22-2020,100217,3173,381,2926,12,0
06-23-2020,103503,3238,381,3286,65,0
06-24-2020,109014,3281,381,5511,43,0
06-25-2020,114018,3327,381,5004,46,0
06-26-2020,122960,3366,381,8942,39,0
06-27-2020,132545,3390,381,9585,24,0
06-28-2020,141075,3419,381,8530,29,0
06-29-2020,146341,3447,381,5266,28,0
06-30-2020,152434,3505,381,6093,58,0
07-01-2020,158997,3550,381,6563,45,0
07-02-2020,169106,3617,381,10109,67,0
07-03-2020,178594,3684,381,9488,67,0
07-04-2020,190052,3702,381,11458,18,0
07-05-2020,200111,3731,381,10059,29,0
07-06-2020,206447,3778,381,6336,47,0
07-07-2020,213794,3841,381,7347,63,0
07-08-2020,223783,3889,381,9989,48,0
07-09-2020,232718,4009,381,8935,120,0
07-10-2020,244151,4102,381,11433,93,0
07-11-2020,254511,4197,381,10360,95,0
07-12-2020,269811,4242,381,15300,45,0
07-13-2020,282435,4277,381,12624,35,0
07-14-2020,291629,4409,381,9194,132,0
07-15-2020,301810,4521,381,10181,112,0
07-16-2020,315775,4677,381,13965,156,0
07-17-2020,327241,4805,381,11466,128,0
07-18-2020,337569,4895,381,10328,90,0
07-19-2020,350047,4982,381,12478,87,0
07-20-2020,360394,5072,381,10347,90,0
07-21-2020,369834,5206,381,9440,134,0
07-22-2020,379619,5324,381,9785,118,0
07-23-2020,389868,5497,381,10249,173,0
07-24-2020,402312,5653,381,12444,156,0
07-25-2020,414511,5777,381,12199,124,0
07-26-2020,423855,5854,381,9344,77,0
07-27-2020,432747,5931,381,8892,77,0
07-28-2020,441977,6117,381,9230,186,0
07-29-2020,451423,6333,381,9446,216,0
07-30-2020,461379,6586,381,9956,253,0
07-31-2020,470386,6843,381,9007,257,0
08-01-2020,480028,7022,381,9642,179,0
08-02-2020,487132,7084,381,7104,62,0
08-03-2020,491884,7157,381,4752,73,0
08-04-2020,497330,7402,381,5446,245,0
08-05-2020,502739,7627,381,5409,225,0
08-06-2020,510389,7747,381,7650,120,0
08-07-2020,518075,7927,381,7686,180,0
08-08-2020,526577,8109,381,8502,182,0
08-09-2020,532806,8186,381,6229,77,0
08-10-2020,536961,8277,381,4155,91,0
08-11-2020,542792,8553,381,5831,276,0
08-12-2020,550901,8765,381,8109,212,0
08-13-2020,557137,8913,381,6236,148,0
08-14-2020,563285,9141,381,6148,228,0
08-15-2020,569637,9345,381,6352,204,0
08-16-2020,573416,9452,381,3779,107,0
08-17-2020,576095,9539,381,2679,87,0
08-18-2020,579932,9759,381,3837,220,0
08-19-2020,584047,9932,381,4115,173,0
08-20-2020,588602,10049,381,4555,117,0
08-21-2020,593286,10168,381,4684,119,0
08-22-2020,597597,10274,381,4311,106,0
08-23-2020,600571,10325,381,2974,51,0
08-24-2020,602829,10397,381,2258,72,0
08-25-2020,602829,10397,381,0,0,0
