date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-18-2020,1,0,-1,1,0,-1
03-19-2020,1,0,-1,0,0,-1
03-20-2020,1,0,-1,0,0,-1
03-21-2020,1,0,-1,0,0,-1
03-22-2020,1,0,-1,0,0,-1
03-23-2020,1,0,-1,0,0,-1
03-24-2020,1,0,-1,0,0,-1
03-25-2020,2,0,-1,1,0,-1
03-26-2020,2,0,-1,0,0,-1
03-27-2020,2,0,-1,0,0,-1
03-28-2020,2,1,-1,0,1,-1
03-29-2020,3,1,-1,1,0,-1
03-30-2020,3,1,-1,0,0,-1
03-31-2020,3,1,-1,0,0,-1
04-01-2020,3,1,-1,0,0,-1
04-02-2020,3,1,-1,0,0,-1
04-03-2020,4,1,-1,1,0,-1
04-04-2020,4,1,-1,0,0,-1
04-05-2020,4,1,-1,0,0,-1
04-06-2020,4,1,-1,0,0,-1
04-07-2020,4,1,-1,0,0,-1
04-08-2020,4,1,-1,0,0,-1
04-09-2020,4,1,-1,0,0,-1
04-10-2020,4,1,-1,0,0,-1
04-11-2020,4,1,-1,0,0,-1
04-12-2020,9,1,-1,5,0,-1
04-13-2020,9,1,-1,0,0,-1
04-14-2020,9,1,-1,0,0,-1
04-15-2020,9,1,-1,0,0,-1
04-16-2020,9,1,-1,0,0,-1
04-17-2020,9,1,-1,0,0,-1
04-18-2020,9,1,-1,0,0,-1
04-19-2020,9,1,-1,0,0,-1
04-20-2020,9,1,-1,0,0,-1
04-21-2020,10,1,-1,1,0,-1
04-22-2020,10,1,-1,0,0,-1
04-23-2020,10,1,-1,0,0,-1
04-24-2020,10,1,-1,0,0,-1
04-25-2020,10,1,-1,0,0,-1
04-26-2020,10,1,-1,0,0,-1
04-27-2020,10,1,-1,0,0,-1
04-28-2020,10,1,-1,0,0,-1
04-29-2020,10,1,-1,0,0,-1
04-30-2020,11,1,-1,1,0,-1
05-01-2020,12,1,-1,1,0,-1
05-02-2020,12,1,-1,0,0,-1
05-03-2020,17,1,-1,5,0,-1
05-04-2020,17,1,-1,0,0,-1
05-05-2020,17,1,-1,0,0,-1
05-06-2020,17,1,-1,0,0,-1
05-07-2020,17,1,-1,0,0,-1
05-08-2020,18,1,-1,1,0,-1
05-09-2020,20,1,-1,2,0,-1
05-10-2020,20,1,-1,0,0,-1
05-11-2020,20,1,-1,0,0,-1
05-12-2020,22,1,-1,2,0,-1
05-13-2020,23,1,-1,1,0,-1
05-14-2020,23,1,-1,0,0,-1
05-15-2020,23,1,-1,0,0,-1
05-16-2020,23,1,-1,0,0,-1
05-17-2020,23,1,-1,0,0,-1
05-18-2020,24,1,-1,1,0,-1
05-19-2020,24,1,-1,0,0,-1
05-20-2020,24,1,-1,0,0,-1
05-21-2020,24,1,-1,0,0,-1
05-22-2020,24,1,-1,0,0,-1
05-23-2020,25,1,-1,1,0,-1
05-24-2020,25,1,-1,0,0,-1
05-25-2020,25,1,-1,0,0,-1
05-26-2020,25,1,-1,0,0,-1
05-27-2020,25,1,-1,0,0,-1
05-28-2020,25,1,-1,0,0,-1
05-29-2020,25,1,-1,0,0,-1
05-30-2020,25,1,-1,0,0,-1
05-31-2020,25,1,-1,0,0,-1
06-01-2020,25,1,-1,0,0,-1
06-02-2020,25,1,-1,0,0,-1
06-03-2020,26,1,-1,1,0,-1
06-04-2020,26,1,-1,0,0,-1
06-05-2020,26,1,-1,0,0,-1
06-06-2020,26,1,-1,0,0,-1
06-07-2020,26,1,-1,0,0,-1
06-08-2020,26,1,-1,0,0,-1
06-09-2020,28,1,-1,2,0,-1
06-10-2020,28,1,22,0,0,-1
06-11-2020,28,1,22,0,0,0
06-12-2020,28,1,22,0,0,0
06-13-2020,28,1,22,0,0,0
06-14-2020,28,1,22,0,0,0
06-15-2020,30,1,24,2,0,2
06-16-2020,33,1,24,3,0,0
06-17-2020,34,1,24,1,0,0
06-18-2020,36,1,24,2,0,0
06-19-2020,36,1,24,0,0,0
06-20-2020,36,1,24,0,0,0
06-21-2020,37,2,24,1,1,0
06-22-2020,41,2,26,4,0,2
06-23-2020,42,2,26,1,0,0
06-24-2020,42,2,26,0,0,0
06-25-2020,42,2,26,0,0,0
06-26-2020,43,2,26,1,0,0
06-27-2020,44,2,26,1,0,0
06-28-2020,45,2,26,1,0,0
06-29-2020,47,2,26,2,0,0
06-30-2020,47,2,26,0,0,0
07-01-2020,49,2,27,2,0,1
07-02-2020,49,2,27,0,0,0
07-03-2020,55,2,27,6,0,0
07-04-2020,55,2,27,0,0,0
07-05-2020,57,2,27,2,0,0
07-06-2020,61,3,27,4,1,0
07-07-2020,61,3,27,0,0,0
07-08-2020,63,3,32,2,0,5
07-09-2020,63,3,32,0,0,0
07-10-2020,64,3,34,1,0,2
07-11-2020,64,3,34,0,0,0
07-12-2020,64,3,34,0,0,0
07-13-2020,64,3,34,0,0,0
07-14-2020,64,3,34,0,0,0
07-15-2020,64,3,34,0,0,0
07-16-2020,78,3,34,14,0,0
07-17-2020,78,3,34,0,0,0
07-18-2020,93,4,49,15,1,15
07-19-2020,93,4,49,0,0,0
07-20-2020,93,4,49,0,0,0
07-21-2020,112,4,57,19,0,8
07-22-2020,146,5,57,34,1,0
07-23-2020,146,5,57,0,0,0
07-24-2020,216,6,60,70,1,3
07-25-2020,216,6,60,0,0,0
07-26-2020,277,6,60,61,0,0
07-27-2020,326,8,66,49,2,6
07-28-2020,326,8,66,0,0,0
07-29-2020,326,8,66,0,0,0
07-30-2020,403,8,68,77,0,2
07-31-2020,498,9,68,95,1,0
08-01-2020,498,9,68,0,0,0
08-02-2020,498,9,68,0,0,0
08-03-2020,498,9,68,0,0,0
08-04-2020,671,14,79,173,5,11
08-05-2020,799,16,115,128,2,36
08-06-2020,935,16,136,136,0,21
08-07-2020,1090,19,146,155,3,10
08-08-2020,1090,19,146,0,0,0
08-09-2020,1235,23,221,145,4,75
08-10-2020,1235,23,221,0,0,0
08-11-2020,1346,32,227,111,9,6
08-12-2020,1477,33,227,131,1,0
08-13-2020,1477,33,227,0,0,0
08-14-2020,1556,43,227,79,10,0
08-15-2020,1689,54,227,133,11,0
08-16-2020,1872,63,401,183,9,174
08-17-2020,1872,63,401,0,0,0
08-18-2020,2116,63,415,244,0,14
08-19-2020,2116,63,415,0,0,0
08-20-2020,2288,77,415,172,14,0
08-21-2020,2401,81,415,113,4,0
08-22-2020,2437,84,415,36,3,0
08-23-2020,2585,87,490,148,3,75
08-24-2020,2585,87,490,0,0,0
08-25-2020,2585,87,490,0,0,0
