date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-26-2020,1,0,-1,1,0,-1
02-27-2020,1,0,-1,0,0,-1
02-28-2020,2,0,-1,1,0,-1
02-29-2020,3,0,-1,1,0,-1
03-01-2020,3,0,-1,0,0,-1
03-02-2020,3,0,-1,0,0,-1
03-03-2020,3,0,-1,0,0,-1
03-04-2020,3,0,-1,0,0,-1
03-05-2020,9,0,-1,6,0,-1
03-06-2020,9,0,-1,0,0,-1
03-07-2020,12,0,-1,3,0,-1
03-08-2020,13,0,-1,1,0,-1
03-09-2020,15,0,-1,2,0,-1
03-10-2020,23,0,-1,8,0,-1
03-11-2020,23,0,-1,0,0,-1
03-12-2020,25,0,-1,2,0,-1
03-13-2020,25,0,-1,0,0,-1
03-14-2020,30,0,-1,5,0,-1
03-15-2020,33,0,-1,3,0,-1
03-16-2020,33,0,-1,0,0,-1
03-17-2020,34,0,-1,1,0,-1
03-18-2020,34,0,-1,0,0,-1
03-19-2020,38,0,-1,4,0,-1
03-20-2020,43,0,-1,5,0,-1
03-21-2020,49,0,-1,6,0,-1
03-22-2020,49,0,-1,0,0,-1
03-23-2020,54,0,-1,5,0,-1
03-24-2020,67,0,-1,13,0,-1
03-25-2020,73,0,-1,6,0,-1
03-26-2020,77,0,-1,4,0,-1
03-27-2020,81,0,-1,4,0,-1
03-28-2020,85,0,-1,4,0,-1
03-29-2020,90,0,-1,5,0,-1
03-30-2020,98,0,-1,8,0,-1
03-31-2020,103,0,-1,5,0,-1
04-01-2020,115,0,-1,12,0,-1
04-02-2020,121,0,-1,6,0,-1
04-03-2020,148,0,-1,27,0,-1
04-04-2020,157,0,-1,9,0,-1
04-05-2020,170,1,-1,13,1,-1
04-06-2020,188,2,-1,18,1,-1
04-07-2020,195,2,-1,7,0,-1
04-08-2020,208,3,-1,13,1,-1
04-09-2020,214,3,-1,6,0,-1
04-10-2020,230,3,-1,16,0,-1
04-11-2020,233,3,-1,3,0,-1
04-12-2020,252,3,-1,19,0,-1
04-13-2020,266,3,-1,14,0,-1
04-14-2020,296,3,-1,30,0,-1
04-15-2020,306,3,-1,10,0,-1
04-16-2020,336,3,-1,30,0,-1
04-17-2020,370,3,-1,34,0,-1
04-18-2020,385,3,-1,15,0,-1
04-19-2020,394,4,-1,9,1,-1
04-20-2020,399,4,-1,5,0,-1
04-21-2020,408,4,-1,9,0,-1
04-22-2020,411,5,-1,3,1,-1
04-23-2020,420,5,-1,9,0,-1
04-24-2020,431,5,-1,11,0,-1
04-25-2020,456,5,-1,25,0,-1
04-26-2020,485,5,-1,29,0,-1
04-27-2020,496,6,-1,11,1,-1
04-28-2020,511,6,-1,15,0,-1
04-29-2020,517,6,-1,6,0,-1
04-30-2020,539,6,-1,22,0,-1
05-01-2020,566,6,-1,27,0,-1
05-02-2020,582,8,-1,16,2,-1
05-03-2020,589,8,-1,7,0,-1
05-04-2020,593,9,-1,4,1,-1
05-05-2020,604,9,-1,11,0,-1
05-06-2020,610,9,-1,6,0,-1
05-07-2020,614,9,-1,4,0,-1
05-08-2020,623,9,-1,9,0,-1
05-09-2020,626,10,-1,3,1,-1
05-10-2020,635,10,-1,9,0,-1
05-11-2020,638,10,-1,3,0,-1
05-12-2020,639,11,-1,1,1,-1
05-13-2020,642,11,-1,3,0,-1
05-14-2020,652,11,-1,10,0,-1
05-15-2020,671,12,-1,19,1,-1
05-16-2020,677,12,-1,6,0,-1
05-17-2020,695,12,-1,18,0,-1
05-18-2020,701,12,-1,6,0,-1
05-19-2020,702,12,-1,1,0,-1
05-20-2020,713,12,-1,11,0,-1
05-21-2020,721,12,-1,8,0,-1
05-22-2020,723,12,-1,2,0,-1
05-23-2020,723,12,-1,0,0,-1
05-24-2020,730,12,-1,7,0,-1
05-25-2020,731,12,-1,1,0,-1
05-26-2020,732,12,-1,1,0,-1
05-27-2020,735,12,-1,3,0,-1
05-28-2020,738,12,-1,3,0,-1
05-29-2020,746,12,-1,8,0,-1
05-30-2020,757,12,-1,11,0,-1
05-31-2020,783,12,-1,26,0,-1
06-01-2020,794,12,-1,11,0,-1
06-02-2020,796,12,-1,2,0,-1
06-03-2020,800,13,-1,4,1,-1
06-04-2020,801,13,-1,1,0,-1
06-05-2020,806,13,-1,5,0,-1
06-06-2020,808,13,-1,2,0,-1
06-07-2020,809,13,-1,1,0,-1
06-08-2020,810,13,-1,1,0,-1
06-09-2020,818,13,-1,8,0,-1
06-10-2020,822,13,690,4,0,-1
06-11-2020,831,13,694,9,0,4
06-12-2020,843,13,697,12,0,3
06-13-2020,851,14,702,8,1,5
06-14-2020,851,14,702,0,0,0
06-15-2020,879,14,704,28,0,2
06-16-2020,879,14,704,0,0,0
06-17-2020,888,14,731,9,0,27
06-18-2020,893,14,739,5,0,8
06-19-2020,895,14,741,2,0,2
06-20-2020,898,14,752,3,0,11
06-21-2020,906,14,755,8,0,3
06-22-2020,908,14,761,2,0,6
06-23-2020,911,14,768,3,0,7
06-24-2020,914,14,771,3,0,3
06-25-2020,917,14,776,3,0,5
06-26-2020,919,14,780,2,0,4
06-27-2020,919,14,780,0,0,0
06-28-2020,924,14,785,5,0,5
06-29-2020,926,15,791,2,1,6
06-30-2020,926,15,791,0,0,0
07-01-2020,931,15,794,5,0,3
07-02-2020,931,15,794,0,0,0
07-03-2020,943,15,821,12,0,27
07-04-2020,943,15,821,0,0,0
07-05-2020,951,15,828,8,0,7
07-06-2020,953,15,830,2,0,2
07-07-2020,953,15,830,0,0,0
07-08-2020,963,15,841,10,0,11
07-09-2020,963,15,841,0,0,0
07-10-2020,973,15,846,10,0,5
07-11-2020,981,15,851,8,0,5
07-12-2020,981,15,851,0,0,0
07-13-2020,981,15,851,0,0,0
07-14-2020,981,15,851,0,0,0
07-15-2020,981,15,851,0,0,0
07-16-2020,981,15,851,0,0,0
07-17-2020,981,15,851,0,0,0
07-18-2020,1018,15,898,37,0,47
07-19-2020,1018,15,898,0,0,0
07-20-2020,1018,15,898,0,0,0
07-21-2020,1018,15,898,0,0,0
07-22-2020,1073,16,907,55,1,9
07-23-2020,1073,16,907,0,0,0
07-24-2020,1104,16,912,31,0,5
07-25-2020,1104,16,912,0,0,0
07-26-2020,1131,16,920,27,0,8
