date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-15-2020,3,0,0,3,0,0
03-16-2020,3,0,0,0,0,0
03-17-2020,5,0,0,2,0,0
03-18-2020,5,0,0,0,0,0
03-19-2020,12,0,0,7,0,0
03-20-2020,14,0,0,2,0,0
03-21-2020,15,0,0,1,0,0
03-22-2020,27,1,0,12,1,0
03-23-2020,29,1,0,2,0,0
03-24-2020,32,1,0,3,0,0
03-25-2020,37,1,0,5,0,0
03-26-2020,45,1,0,8,0,0
03-27-2020,51,1,0,6,0,0
03-28-2020,55,1,0,4,0,0
03-29-2020,56,1,0,1,0,0
03-30-2020,58,1,0,2,0,0
03-31-2020,69,2,0,11,1,0
04-01-2020,77,3,0,8,1,0
04-02-2020,82,3,0,5,0,0
04-03-2020,84,4,0,2,1,0
04-04-2020,93,4,0,9,0,0
04-05-2020,112,4,0,19,0,0
04-06-2020,113,4,0,1,0,0
04-07-2020,121,4,27,8,0,27
04-08-2020,125,4,31,4,0,4
04-09-2020,128,4,31,3,0,0
04-10-2020,130,4,41,2,0,10
04-11-2020,133,5,41,3,1,0
04-12-2020,133,5,58,0,0,17
04-13-2020,133,5,58,0,0,0
04-14-2020,135,5,66,2,0,8
04-15-2020,135,5,66,0,0,0
04-16-2020,135,5,66,0,0,0
04-17-2020,136,5,97,1,0,31
04-18-2020,136,5,97,0,0,0
04-19-2020,136,5,97,0,0,0
04-20-2020,136,5,97,0,0,0
04-21-2020,136,5,97,0,0,0
04-22-2020,136,5,97,0,0,0
04-23-2020,139,5,97,3,0,0
04-24-2020,141,5,128,2,0,31
04-25-2020,141,5,128,0,0,0
04-26-2020,141,5,128,0,0,0
04-27-2020,141,5,128,0,0,0
04-28-2020,141,5,128,0,0,0
04-29-2020,141,5,128,0,0,0
04-30-2020,145,5,128,4,0,0
05-01-2020,145,5,128,0,0,0
05-02-2020,145,5,128,0,0,0
05-03-2020,145,5,128,0,0,0
05-04-2020,145,5,128,0,0,0
05-05-2020,145,5,128,0,0,0
05-06-2020,149,5,128,4,0,0
05-07-2020,149,5,128,0,0,0
05-08-2020,151,5,128,2,0,0
05-09-2020,151,5,128,0,0,0
05-10-2020,151,5,128,0,0,0
05-11-2020,151,5,128,0,0,0
05-12-2020,152,5,128,1,0,0
05-13-2020,152,5,128,0,0,0
05-14-2020,152,5,128,0,0,0
05-15-2020,154,5,128,2,0,0
