date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-15-2020,1,1,-1,1,1,-1
03-16-2020,1,1,-1,0,0,-1
03-17-2020,6,1,-1,5,0,-1
03-18-2020,6,1,-1,0,0,-1
03-19-2020,9,1,-1,3,0,-1
03-20-2020,12,1,-1,3,0,-1
03-21-2020,12,1,-1,0,0,-1
03-22-2020,12,1,-1,0,0,-1
03-23-2020,18,1,-1,6,0,-1
03-24-2020,21,1,-1,3,0,-1
03-25-2020,21,1,-1,0,0,-1
03-26-2020,24,1,-1,3,0,-1
03-27-2020,24,1,-1,0,0,-1
03-28-2020,25,1,-1,1,0,-1
03-29-2020,32,1,-1,7,0,-1
03-30-2020,34,1,-1,2,0,-1
03-31-2020,36,1,-1,2,0,-1
04-01-2020,36,1,-1,0,0,-1
04-02-2020,39,1,-1,3,0,-1
04-03-2020,47,1,-1,8,0,-1
04-04-2020,50,1,-1,3,0,-1
04-05-2020,50,1,-1,0,0,-1
04-06-2020,61,2,-1,11,1,-1
04-07-2020,70,3,-1,9,1,-1
04-08-2020,77,3,-1,7,0,-1
04-09-2020,87,3,-1,10,0,-1
04-10-2020,95,3,-1,8,0,-1
04-11-2020,126,3,-1,31,0,-1
04-12-2020,137,3,-1,11,0,-1
04-13-2020,153,3,-1,16,0,-1
04-14-2020,156,5,-1,3,2,-1
04-15-2020,167,5,-1,11,0,-1
04-16-2020,180,5,-1,13,0,-1
04-17-2020,196,5,-1,16,0,-1
04-18-2020,214,7,-1,18,2,-1
04-19-2020,235,7,-1,21,0,-1
04-20-2020,257,7,-1,22,0,-1
04-21-2020,289,7,-1,32,0,-1
04-22-2020,294,8,-1,5,1,-1
04-23-2020,316,8,-1,22,0,-1
04-24-2020,342,10,-1,26,2,-1
04-25-2020,384,11,-1,42,1,-1
04-26-2020,430,13,-1,46,2,-1
04-27-2020,473,15,-1,43,2,-1
04-28-2020,500,15,-1,27,0,-1
04-29-2020,530,15,-1,30,0,-1
04-30-2020,557,16,-1,27,1,-1
05-01-2020,585,16,-1,28,0,-1
05-02-2020,599,16,-1,14,0,-1
05-03-2020,644,18,-1,45,2,-1
05-04-2020,688,19,-1,44,1,-1
05-05-2020,703,17,-1,15,-2,-1
05-06-2020,730,19,-1,27,2,-1
05-07-2020,763,19,-1,33,0,-1
05-08-2020,798,21,-1,35,2,-1
05-09-2020,832,23,-1,34,2,-1
05-10-2020,900,24,-1,68,1,-1
05-11-2020,967,24,-1,67,0,-1
05-12-2020,1052,26,-1,85,2,-1
05-13-2020,1114,26,-1,62,0,-1
05-14-2020,1199,27,-1,85,1,-1
05-15-2020,1342,29,-1,143,2,-1
05-16-2020,1518,29,-1,176,0,-1
05-17-2020,1643,30,-1,125,1,-1
05-18-2020,1763,33,-1,120,3,-1
05-19-2020,1912,35,-1,149,2,-1
05-20-2020,2001,38,-1,89,3,-1
05-21-2020,2133,43,-1,132,5,-1
05-22-2020,2265,45,-1,132,2,-1
05-23-2020,2512,48,-1,247,3,-1
05-24-2020,2743,53,-1,231,5,-1
05-25-2020,3054,57,-1,311,4,-1
05-26-2020,3424,58,-1,370,1,-1
05-27-2020,3760,59,-1,336,1,-1
05-28-2020,3954,63,-1,194,4,-1
05-29-2020,4145,68,-1,191,5,-1
05-30-2020,4348,80,-1,203,12,-1
05-31-2020,4607,90,-1,259,10,-1
06-01-2020,4739,102,-1,132,12,-1
06-02-2020,5087,108,-1,348,6,-1
06-03-2020,5336,116,-1,249,8,-1
06-04-2020,5586,123,-1,250,7,-1
06-05-2020,5760,143,-1,174,20,-1
06-06-2020,6154,158,-1,394,15,-1
06-07-2020,6485,216,-1,331,58,-1
06-08-2020,6792,230,-1,307,14,-1
06-09-2020,7055,252,-1,263,22,-1
06-10-2020,7866,289,1413,811,37,-1
06-11-2020,8221,316,1504,355,27,91
06-12-2020,8561,334,1567,340,18,63
06-13-2020,8982,351,1702,421,17,135
06-14-2020,9491,367,1804,509,16,102
06-15-2020,9845,384,1886,354,17,82
06-16-2020,10272,399,1966,427,15,80
06-17-2020,10706,418,2096,434,19,130
06-18-2020,11251,432,2200,545,14,104
06-19-2020,11868,449,2290,617,17,90
06-20-2020,12755,514,2558,887,65,268
06-21-2020,12755,514,2558,0,0,0
06-22-2020,13769,547,2818,1014,33,260
06-23-2020,14540,582,2897,771,35,79
06-24-2020,14819,601,2930,279,19,33
06-25-2020,14819,601,2930,0,0,0
06-26-2020,15619,623,2949,800,22,19
06-27-2020,15619,623,2949,0,0,0
06-28-2020,16397,706,3123,778,83,174
06-29-2020,17409,746,3170,1012,40,47
06-30-2020,17409,746,3170,0,0,0
07-01-2020,19011,817,3231,1602,71,61
07-02-2020,19011,817,3231,0,0,0
07-03-2020,21293,880,3315,2282,63,84
07-04-2020,22501,920,3330,1208,40,15
07-05-2020,23248,947,3382,747,27,52
07-06-2020,23972,981,3429,724,34,47
07-07-2020,23972,981,3429,0,0,0
07-08-2020,25411,1053,3718,1439,72,289
07-09-2020,25411,1053,3718,0,0,0
07-10-2020,27619,1139,4024,2208,86,306
07-11-2020,27619,1139,4024,0,0,0
07-12-2020,27619,1139,4024,0,0,0
07-13-2020,29742,1244,4321,2123,105,297
07-14-2020,30872,1302,4453,1130,58,132
07-15-2020,32074,1350,4624,1202,48,171
07-16-2020,32939,1404,4807,865,54,183
07-17-2020,32939,1404,4807,0,0,0
07-18-2020,33809,1443,4989,870,39,182
07-19-2020,33809,1443,4989,0,0,0
07-20-2020,38677,1485,23365,4868,42,18376
07-21-2020,40229,1531,26685,1552,46,3320
07-22-2020,41135,1573,27756,906,42,1071
07-23-2020,42192,1632,28856,1057,59,1100
07-24-2020,43283,1669,30150,1091,37,1294
07-25-2020,43283,1669,30150,0,0,0
07-26-2020,45053,1734,31612,1770,65,1462
07-27-2020,45309,1761,32455,256,27,843
07-28-2020,46451,1782,33494,1142,21,1039
07-29-2020,47605,1835,34488,1154,53,994
07-30-2020,48826,1867,35629,1221,32,1141
07-31-2020,49789,1924,36816,963,57,1187
08-01-2020,50979,1959,37873,1190,35,1057
08-02-2020,51306,1995,38416,327,36,543
08-03-2020,51542,2013,39346,236,18,930
08-04-2020,52365,2037,40285,823,24,939
08-05-2020,53509,2072,41199,1144,35,914
08-06-2020,54339,2119,42070,830,47,871
08-07-2020,55270,2168,43135,931,49,1065
08-08-2020,56189,2197,44072,919,29,937
08-09-2020,56605,2211,44598,416,14,526
08-10-2020,56987,2222,45589,382,11,991
08-11-2020,57966,2233,46442,979,11,853
08-12-2020,57966,2233,46442,0,0,0
08-13-2020,60824,2296,48305,2858,63,1863
08-14-2020,60824,2296,48305,0,0,0
08-15-2020,62313,2355,50183,1489,59,1878
08-16-2020,62562,2379,50692,249,24,509
08-17-2020,62944,2389,51530,382,10,838
08-18-2020,63847,2419,52370,903,30,840
08-19-2020,64881,2467,53362,1034,48,992
08-20-2020,64881,2467,53362,0,0,0
08-21-2020,66941,2632,55314,2060,165,1952
08-22-2020,66941,2632,55314,0,0,0
08-23-2020,68188,2594,56778,1247,-38,1464
08-24-2020,68188,2594,56778,0,0,0
08-25-2020,68533,2611,56778,345,17,0
