date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-06-2020,1,0,0,1,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,2,0,0,1,0,0
03-10-2020,2,0,0,0,0,0
03-11-2020,2,0,0,0,0,0
03-12-2020,2,0,0,0,0,0
03-13-2020,2,0,0,0,0,0
03-14-2020,6,0,0,4,0,0
03-15-2020,7,0,0,1,0,0
03-16-2020,10,0,0,3,0,0
03-17-2020,14,0,0,4,0,0
03-18-2020,16,0,0,2,0,0
03-19-2020,26,0,0,10,0,0
03-20-2020,37,0,0,11,0,0
03-21-2020,48,0,0,11,0,0
03-22-2020,56,0,0,8,0,0
03-23-2020,77,0,0,21,0,0
03-24-2020,90,1,0,13,1,0
03-25-2020,95,0,0,5,-1,0
03-26-2020,106,0,0,11,0,0
03-27-2020,120,0,0,14,0,0
03-28-2020,149,0,0,29,0,0
03-29-2020,175,0,0,26,0,0
03-30-2020,204,0,0,29,0,0
03-31-2020,224,1,0,20,1,0
04-01-2020,256,1,0,32,0,0
04-02-2020,283,2,0,27,1,0
04-03-2020,319,3,0,36,1,0
04-04-2020,351,3,0,32,0,0
04-05-2020,371,4,0,20,1,0
04-06-2020,387,5,0,16,1,0
04-07-2020,410,5,72,23,0,72
04-08-2020,435,5,72,25,0,0
04-09-2020,442,6,251,7,1,179
04-10-2020,465,8,251,23,2,0
04-11-2020,486,8,251,21,0,0
04-12-2020,499,9,310,13,1,59
04-13-2020,504,9,310,5,0,0
04-14-2020,517,9,310,13,0,0
04-15-2020,530,9,359,13,0,49
04-16-2020,541,9,374,11,0,15
04-17-2020,553,9,374,12,0,0
04-18-2020,574,9,390,21,0,16
04-19-2020,580,10,414,6,1,24
04-20-2020,584,10,423,4,0,9
04-21-2020,586,12,437,2,2,14
04-22-2020,592,12,444,6,0,7
04-23-2020,596,12,455,4,0,11
04-24-2020,601,13,455,5,1,0
04-25-2020,604,14,482,3,1,27
04-26-2020,606,14,488,2,0,6
04-27-2020,607,16,493,1,2,5
04-28-2020,609,16,505,2,0,12
04-29-2020,613,16,516,4,0,11
04-30-2020,618,16,526,5,0,10
05-01-2020,619,16,532,1,0,6
05-02-2020,620,16,541,1,0,9
05-03-2020,620,17,544,0,1,3
05-04-2020,621,17,548,1,0,4
05-05-2020,625,17,551,4,0,3
05-06-2020,626,17,558,1,0,7
05-07-2020,629,17,565,3,0,7
05-08-2020,629,17,566,0,0,1
05-09-2020,631,17,567,2,0,1
05-10-2020,632,17,561,1,0,-6
05-11-2020,642,17,561,10,0,0
05-12-2020,643,17,563,1,0,2
05-13-2020,646,17,563,3,0,0
05-14-2020,646,17,564,0,0,1
05-15-2020,647,17,565,1,0,1
05-16-2020,648,17,572,1,0,7
05-17-2020,649,17,573,1,0,1
05-18-2020,649,17,574,0,0,1
05-19-2020,650,17,578,1,0,4
05-20-2020,652,17,578,2,0,0
05-21-2020,654,17,579,2,0,1
05-22-2020,654,17,586,0,0,7
05-23-2020,655,17,589,1,0,3
05-24-2020,655,17,591,0,0,2
05-25-2020,655,17,592,0,0,1
05-26-2020,655,17,593,0,0,1
05-27-2020,655,17,600,0,0,7
05-28-2020,656,17,604,1,0,4
05-29-2020,658,17,605,2,0,1
05-30-2020,661,17,606,3,0,1
05-31-2020,662,17,608,1,0,2
06-01-2020,662,17,608,0,0,0
06-02-2020,663,17,609,1,0,1
06-03-2020,663,17,612,0,0,3
06-04-2020,655,17,611,-8,0,-1
06-05-2020,664,17,614,9,0,3
06-06-2020,673,17,616,9,0,2
06-07-2020,675,17,617,2,0,1
06-08-2020,676,17,618,1,0,1
06-09-2020,682,17,621,6,0,3
06-10-2020,685,17,622,3,0,1
06-11-2020,692,17,623,7,0,1
06-12-2020,706,17,627,14,0,4
06-13-2020,723,17,628,17,0,1
06-14-2020,728,17,629,5,0,1
06-15-2020,736,17,629,8,0,0
06-16-2020,736,17,629,0,0,0
06-17-2020,740,17,629,4,0,0
06-18-2020,762,17,639,22,0,10
06-19-2020,789,17,642,27,0,3
06-20-2020,789,17,642,0,0,0
06-21-2020,814,17,651,25,0,9
06-22-2020,816,17,669,2,0,18
06-23-2020,819,17,673,3,0,4
06-24-2020,835,17,686,16,0,13
06-25-2020,851,17,696,16,0,10
06-26-2020,866,17,705,15,0,9
06-27-2020,872,18,714,6,1,9
06-28-2020,899,18,719,27,0,5
06-29-2020,900,18,722,1,0,3
06-30-2020,917,18,736,17,0,14
07-01-2020,926,18,741,9,0,5
07-02-2020,946,18,746,20,0,5
07-03-2020,975,19,754,29,1,8
07-04-2020,999,19,756,24,0,2
07-05-2020,1023,19,777,24,0,21
07-06-2020,1030,19,781,7,0,4
07-07-2020,1071,19,797,41,0,16
07-08-2020,1094,19,811,23,0,14
07-09-2020,1130,19,840,36,0,29
07-10-2020,1158,19,847,28,0,7
07-11-2020,1200,19,872,42,0,25
07-12-2020,1220,19,890,20,0,18
07-13-2020,1243,22,911,23,3,21
07-14-2020,1264,22,921,21,0,10
07-15-2020,1292,22,951,28,0,30
07-16-2020,1311,22,975,19,0,24
07-17-2020,1334,23,994,23,1,19
07-18-2020,1354,24,1019,20,1,25
07-19-2020,1381,24,1043,27,0,24
07-20-2020,1393,24,1057,12,0,14
07-21-2020,1418,24,1084,25,0,27
07-22-2020,1435,25,1113,17,1,29
07-23-2020,1490,26,1125,55,1,12
07-24-2020,1549,26,1148,59,0,23
07-25-2020,1620,26,1167,71,0,19
07-26-2020,1683,26,1179,63,0,12
07-27-2020,1711,26,1191,28,0,12
07-28-2020,1757,26,1205,46,0,14
07-29-2020,1865,26,1215,108,0,10
07-30-2020,1989,26,1226,124,0,11
07-31-2020,2111,26,1243,122,0,17
08-01-2020,2197,26,1269,86,0,26
08-02-2020,2242,26,1294,45,0,25
08-03-2020,2448,26,1315,206,0,21
08-04-2020,2591,27,1354,143,1,39
08-05-2020,2763,27,1402,172,0,48
08-06-2020,2914,29,1440,151,2,38
08-07-2020,3115,31,1467,201,2,27
08-08-2020,3346,31,1511,231,0,44
08-09-2020,3498,31,1548,152,0,37
08-10-2020,3638,34,1586,140,3,38
08-11-2020,3756,34,1627,118,0,41
08-12-2020,3958,38,1665,202,4,38
08-13-2020,4312,40,1716,354,2,51
08-14-2020,4543,40,1756,231,0,40
08-15-2020,4825,40,1808,282,0,52
08-16-2020,5042,40,1841,217,0,33
08-17-2020,5215,40,1868,173,0,27
08-18-2020,5349,41,1921,134,1,53
08-19-2020,5609,42,1977,260,1,56
08-20-2020,5844,45,2031,235,3,54
08-21-2020,6072,46,2072,228,1,41
08-22-2020,6356,47,2107,284,1,35
08-23-2020,6600,47,2144,244,0,37
08-24-2020,6769,49,2172,169,2,28
08-25-2020,6769,49,2172,0,0,0
