date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,0,0,0,0
01-23-2020,1,1,0,0,1,0
01-24-2020,2,1,0,1,0,0
01-25-2020,13,1,0,11,0,0
01-26-2020,18,1,0,5,0,0
01-27-2020,33,1,0,15,0,0
01-28-2020,48,1,0,15,0,0
01-29-2020,65,1,0,17,0,0
01-30-2020,82,1,0,17,0,0
01-31-2020,82,1,0,0,0,0
02-01-2020,104,1,3,22,0,3
02-02-2020,113,1,3,9,0,0
02-03-2020,126,1,3,13,0,0
02-04-2020,135,1,4,9,0,1
02-05-2020,135,1,6,0,0,2
02-06-2020,171,1,16,36,0,10
02-07-2020,172,1,22,1,0,6
02-08-2020,206,2,30,34,1,8
02-09-2020,218,2,35,12,0,5
02-10-2020,218,2,41,0,0,6
02-11-2020,251,2,48,33,0,7
02-12-2020,265,3,55,14,1,7
02-13-2020,283,3,69,18,0,14
02-14-2020,291,3,86,8,0,17
02-15-2020,300,3,100,9,0,14
02-16-2020,301,3,109,1,0,9
02-17-2020,302,4,123,1,1,14
02-18-2020,306,4,136,4,0,13
02-19-2020,307,5,152,1,1,16
02-20-2020,308,5,170,1,0,18
02-21-2020,309,6,184,1,1,14
02-22-2020,311,6,204,2,0,20
02-23-2020,311,6,221,0,0,17
02-24-2020,311,6,241,0,0,20
02-25-2020,312,6,248,1,0,7
02-26-2020,317,6,261,5,0,13
02-27-2020,318,6,274,1,0,13
02-28-2020,318,6,277,0,0,3
02-29-2020,318,6,283,0,0,6
03-01-2020,318,6,294,0,0,11
03-02-2020,318,6,297,0,0,3
03-03-2020,318,6,300,0,0,3
03-04-2020,318,6,300,0,0,0
03-05-2020,318,6,304,0,0,4
03-06-2020,318,6,305,0,0,1
03-07-2020,318,6,305,0,0,0
03-08-2020,318,6,307,0,0,2
03-09-2020,318,6,307,0,0,0
03-10-2020,318,6,307,0,0,0
03-11-2020,318,6,307,0,0,0
03-12-2020,318,6,310,0,0,3
03-13-2020,318,6,310,0,0,0
03-14-2020,318,6,310,0,0,0
03-15-2020,318,6,310,0,0,0
03-16-2020,318,6,310,0,0,0
03-17-2020,318,6,310,0,0,0
03-18-2020,318,6,310,0,0,0
03-19-2020,318,6,310,0,0,0
03-20-2020,318,6,310,0,0,0
03-21-2020,319,6,310,1,0,0
03-22-2020,319,6,310,0,0,0
03-23-2020,319,6,310,0,0,0
03-24-2020,319,6,310,0,0,0
03-25-2020,319,6,310,0,0,0
03-26-2020,319,6,310,0,0,0
03-27-2020,319,6,310,0,0,0
03-28-2020,319,6,310,0,0,0
03-29-2020,319,6,310,0,0,0
03-30-2020,321,6,310,2,0,0
03-31-2020,323,6,310,2,0,0
04-01-2020,325,6,310,2,0,0
04-02-2020,325,6,310,0,0,0
04-03-2020,326,6,310,1,0,0
04-04-2020,326,6,310,0,0,0
04-05-2020,327,6,310,1,0,0
04-06-2020,327,6,310,0,0,0
04-07-2020,327,6,310,0,0,0
04-08-2020,327,6,310,0,0,0
04-09-2020,327,6,310,0,0,0
04-10-2020,327,6,310,0,0,0
04-11-2020,327,6,310,0,0,0
04-12-2020,327,6,310,0,0,0
04-13-2020,327,6,310,0,0,0
04-14-2020,327,6,310,0,0,0
04-15-2020,327,6,310,0,0,0
04-16-2020,328,6,315,1,0,5
04-17-2020,328,6,316,0,0,1
04-18-2020,328,6,316,0,0,0
04-19-2020,328,6,316,0,0,0
04-20-2020,328,6,316,0,0,0
04-21-2020,328,6,316,0,0,0
04-22-2020,328,6,316,0,0,0
04-23-2020,328,6,316,0,0,0
04-24-2020,328,6,316,0,0,0
04-25-2020,328,6,316,0,0,0
04-26-2020,328,6,318,0,0,2
04-27-2020,328,6,318,0,0,0
04-28-2020,328,6,318,0,0,0
04-29-2020,328,6,318,0,0,0
04-30-2020,328,6,318,0,0,0
05-01-2020,328,6,318,0,0,0
05-02-2020,328,6,318,0,0,0
05-03-2020,328,6,318,0,0,0
05-04-2020,328,6,318,0,0,0
05-05-2020,328,6,320,0,0,2
05-06-2020,328,6,320,0,0,0
05-07-2020,328,6,320,0,0,0
05-08-2020,328,6,320,0,0,0
05-09-2020,328,6,321,0,0,1
05-10-2020,328,6,321,0,0,0
05-11-2020,328,6,321,0,0,0
05-12-2020,328,6,321,0,0,0
05-13-2020,328,6,321,0,0,0
05-14-2020,328,6,321,0,0,0
05-15-2020,328,6,321,0,0,0
05-16-2020,328,6,321,0,0,0
05-17-2020,328,6,322,0,0,1
05-18-2020,328,6,322,0,0,0
05-19-2020,328,6,322,0,0,0
05-20-2020,328,6,322,0,0,0
05-21-2020,328,6,322,0,0,0
05-22-2020,328,6,322,0,0,0
05-23-2020,328,6,322,0,0,0
05-24-2020,328,6,322,0,0,0
05-25-2020,328,6,322,0,0,0
05-26-2020,328,6,322,0,0,0
05-27-2020,328,6,322,0,0,0
05-28-2020,328,6,322,0,0,0
05-29-2020,328,6,322,0,0,0
05-30-2020,328,6,322,0,0,0
05-31-2020,328,6,322,0,0,0
06-01-2020,328,6,322,0,0,0
06-02-2020,328,6,322,0,0,0
06-03-2020,328,6,322,0,0,0
06-04-2020,328,6,322,0,0,0
06-05-2020,328,6,322,0,0,0
06-06-2020,328,6,322,0,0,0
06-07-2020,328,6,322,0,0,0
06-08-2020,328,6,322,0,0,0
06-09-2020,328,6,322,0,0,0
06-10-2020,328,6,322,0,0,0
06-11-2020,328,6,322,0,0,0
06-12-2020,328,6,322,0,0,0
06-13-2020,328,6,322,0,0,0
06-14-2020,328,6,322,0,0,0
06-15-2020,328,6,322,0,0,0
06-16-2020,328,6,322,0,0,0
06-17-2020,328,6,322,0,0,0
06-18-2020,328,6,322,0,0,0
06-19-2020,328,6,322,0,0,0
06-20-2020,328,6,322,0,0,0
06-21-2020,328,6,322,0,0,0
06-22-2020,328,6,322,0,0,0
06-23-2020,346,6,323,18,0,1
06-24-2020,346,6,323,0,0,0
06-25-2020,346,6,323,0,0,0
06-26-2020,346,6,323,0,0,0
06-27-2020,346,6,323,0,0,0
06-28-2020,346,6,323,0,0,0
06-29-2020,346,6,323,0,0,0
06-30-2020,349,6,334,3,0,11
07-01-2020,349,6,334,0,0,0
07-02-2020,349,6,334,0,0,0
07-03-2020,349,6,334,0,0,0
07-04-2020,349,6,334,0,0,0
07-05-2020,349,6,334,0,0,0
07-06-2020,349,6,334,0,0,0
07-07-2020,349,6,337,0,0,3
07-08-2020,349,6,337,0,0,0
07-09-2020,349,6,337,0,0,0
07-10-2020,349,6,337,0,0,0
07-11-2020,349,6,337,0,0,0
07-12-2020,349,6,337,0,0,0
07-13-2020,349,6,337,0,0,0
07-14-2020,349,6,337,0,0,0
07-15-2020,349,6,337,0,0,0
07-16-2020,349,6,337,0,0,0
07-17-2020,349,6,337,0,0,0
07-18-2020,349,6,340,0,0,3
07-19-2020,349,6,340,0,0,0
07-20-2020,349,6,340,0,0,0
07-21-2020,349,6,340,0,0,0
07-22-2020,349,6,340,0,0,0
07-23-2020,349,6,340,0,0,0
07-24-2020,349,6,340,0,0,0
07-25-2020,349,6,340,0,0,0
07-26-2020,349,6,340,0,0,0
07-27-2020,349,6,343,0,0,3
07-28-2020,349,6,343,0,0,0
07-29-2020,349,6,343,0,0,0
07-30-2020,349,6,343,0,0,0
07-31-2020,349,6,343,0,0,0
08-01-2020,349,6,343,0,0,0
08-02-2020,349,6,343,0,0,0
08-03-2020,349,6,343,0,0,0
08-04-2020,349,6,343,0,0,0
08-05-2020,349,6,343,0,0,0
08-06-2020,349,6,343,0,0,0
08-07-2020,349,6,343,0,0,0
08-08-2020,349,6,343,0,0,0
08-09-2020,349,6,343,0,0,0
08-10-2020,349,6,343,0,0,0
08-11-2020,349,6,343,0,0,0
08-12-2020,349,6,343,0,0,0
08-13-2020,349,6,343,0,0,0
08-14-2020,349,6,343,0,0,0
08-15-2020,349,6,343,0,0,0
08-16-2020,349,6,343,0,0,0
08-17-2020,349,6,343,0,0,0
08-18-2020,349,6,343,0,0,0
08-19-2020,349,6,343,0,0,0
08-20-2020,349,6,343,0,0,0
08-21-2020,349,6,343,0,0,0
08-22-2020,349,6,343,0,0,0
08-23-2020,349,6,343,0,0,0
08-24-2020,349,6,343,0,0,0
08-25-2020,349,6,343,0,0,0
