date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-13-2020,1,0,0,1,0,0
03-14-2020,5,0,0,4,0,0
03-15-2020,5,0,0,0,0,0
03-16-2020,5,0,0,0,0,0
03-17-2020,9,0,0,4,0,0
03-18-2020,11,0,0,2,0,0
03-19-2020,23,0,0,12,0,0
03-20-2020,36,0,0,13,0,0
03-21-2020,42,0,0,6,0,0
03-22-2020,51,0,0,9,0,0
03-23-2020,68,0,0,17,0,0
03-24-2020,81,0,0,13,0,0
03-25-2020,138,0,0,57,0,0
03-26-2020,191,3,0,53,3,0
03-27-2020,234,4,0,43,1,0
03-28-2020,265,5,0,31,1,0
03-29-2020,324,6,0,59,1,0
03-30-2020,431,8,0,107,2,0
03-31-2020,525,9,0,94,1,0
04-01-2020,669,9,0,144,0,0
04-02-2020,891,9,0,222,0,0
04-03-2020,1013,10,0,122,1,0
04-04-2020,1078,10,0,65,0,0
04-05-2020,1101,10,0,23,0,0
04-06-2020,1170,13,0,69,3,0
04-07-2020,1210,15,0,40,2,0
04-08-2020,1232,18,0,22,3,0
04-09-2020,1354,24,0,122,6,0
04-10-2020,1396,25,0,42,1,0
04-11-2020,1407,27,0,11,2,0
04-12-2020,1426,27,0,19,0,0
04-13-2020,1464,27,0,38,0,0
04-14-2020,1469,39,0,5,12,0
04-15-2020,1508,41,0,39,2,0
04-16-2020,1609,41,390,101,0,390
04-17-2020,1655,41,390,46,0,0
04-18-2020,1668,44,520,13,3,130
04-19-2020,1672,44,520,4,0,0
04-20-2020,1736,48,660,64,4,140
04-21-2020,1766,48,660,30,0,0
04-22-2020,1802,54,767,36,6,107
04-23-2020,1836,54,822,34,0,55
04-24-2020,1870,54,867,34,0,45
04-25-2020,1887,56,867,17,2,0
04-26-2020,1897,56,867,10,0,0
04-27-2020,1917,58,867,20,2,0
04-28-2020,1952,60,867,35,2,0
04-29-2020,1984,60,867,32,0,0
04-30-2020,2015,63,867,31,3,0
05-01-2020,2035,63,867,20,0,0
05-02-2020,2061,64,867,26,1,0
05-03-2020,2061,64,867,0,0,0
05-04-2020,2106,64,867,45,0,0
05-05-2020,2127,65,867,21,1,0
05-06-2020,2158,66,867,31,1,0
05-07-2020,2178,67,867,20,1,0
05-08-2020,2178,67,867,0,0,0
05-09-2020,2205,67,1442,27,0,575
05-10-2020,2230,67,1442,25,0,0
05-11-2020,2260,70,1442,30,3,0
05-12-2020,2293,69,1442,33,-1,0
05-13-2020,2324,69,1442,31,0,0
05-14-2020,2351,72,1442,27,3,0
05-15-2020,2389,73,1442,38,1,0
05-16-2020,2419,73,1612,30,0,170
05-17-2020,2419,73,1612,0,0,0
05-18-2020,2455,74,1612,36,1,0
05-19-2020,2455,74,1612,0,0,0
05-20-2020,2506,77,1688,51,3,76
05-21-2020,2534,77,1688,28,0,0
05-22-2020,2595,79,1688,61,2,0
05-23-2020,2595,79,1688,0,0,0
05-24-2020,2626,79,1688,31,0,0
05-25-2020,2626,79,1688,0,0,0
05-26-2020,2626,79,1688,0,0,0
05-27-2020,2699,81,1688,73,2,0
05-28-2020,2770,82,2185,71,1,497
05-29-2020,2803,82,2225,33,0,40
05-30-2020,2803,82,2225,0,0,0
05-31-2020,2839,82,2225,36,0,0
06-01-2020,2839,82,2225,0,0,0
06-02-2020,2933,83,2266,94,1,41
06-03-2020,2933,83,2266,0,0,0
06-04-2020,2990,83,2311,57,0,45
06-05-2020,3111,83,2408,121,0,97
06-06-2020,3139,83,2461,28,0,53
06-07-2020,3139,83,2461,0,0,0
06-08-2020,3189,83,2509,50,0,48
06-09-2020,3221,85,2509,32,2,0
06-10-2020,3221,85,2509,0,0,0
06-11-2020,3260,85,2628,39,0,119
06-12-2020,3353,87,2628,93,2,0
06-13-2020,3353,87,2628,0,0,0
06-14-2020,3399,87,2628,46,0,0
06-15-2020,3399,87,2628,0,0,0
06-16-2020,3462,88,2877,63,1,249
06-17-2020,3540,88,2921,78,0,44
06-18-2020,3743,89,3088,203,1,167
06-19-2020,3871,89,3088,128,0,0
06-20-2020,4004,89,3088,133,0,0
06-21-2020,4006,89,3305,2,0,217
06-22-2020,4254,89,3405,248,0,100
06-23-2020,4402,89,3484,148,0,79
06-24-2020,4402,89,3484,0,0,0
06-25-2020,4865,90,3610,463,1,126
06-26-2020,4865,90,3610,0,0,0
06-27-2020,5322,91,3610,457,1,0
06-28-2020,5322,91,3610,0,0,0
06-29-2020,5752,91,3610,430,0,0
06-30-2020,6117,92,3610,365,1,0
07-01-2020,6370,92,3610,253,0,0
07-02-2020,6593,92,3610,223,0,0
07-03-2020,6994,93,2831,401,1,-779
07-04-2020,7370,93,2858,376,0,27
07-05-2020,7733,93,2858,363,0,0
07-06-2020,8052,94,2858,319,1,0
07-07-2020,8539,94,2858,487,0,0
07-08-2020,8969,98,2858,430,4,0
07-09-2020,9428,100,3022,459,2,164
07-10-2020,9928,101,3022,500,1,0
07-11-2020,10505,102,3022,577,1,0
07-12-2020,10902,102,3022,397,0,0
07-13-2020,11403,102,3022,501,0,0
07-14-2020,11719,103,3022,316,1,0
07-15-2020,12448,110,3022,729,7,0
07-16-2020,13133,114,3022,685,4,0
07-17-2020,13752,118,3022,619,4,0
07-18-2020,14302,119,3022,550,1,0
07-19-2020,14873,119,3022,571,0,0
07-20-2020,15267,122,3022,394,3,0
07-21-2020,15822,126,3022,555,4,0
07-22-2020,16321,135,3022,499,9,0
