date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-24-2020,1,0,-1,1,0,-1
02-25-2020,5,0,-1,4,0,-1
02-26-2020,5,0,-1,0,0,-1
02-27-2020,6,0,-1,1,0,-1
02-28-2020,8,0,-1,2,0,-1
02-29-2020,13,0,-1,5,0,-1
03-01-2020,19,0,-1,6,0,-1
03-02-2020,26,0,-1,7,0,-1
03-03-2020,31,0,-1,5,0,-1
03-04-2020,36,2,-1,5,2,-1
03-05-2020,36,2,-1,0,0,-1
03-06-2020,44,4,-1,8,2,-1
03-07-2020,54,4,-1,10,0,-1
03-08-2020,60,6,-1,6,2,-1
03-09-2020,60,6,-1,0,0,-1
03-10-2020,61,6,-1,1,0,-1
03-11-2020,70,7,-1,9,1,-1
03-12-2020,70,7,-1,0,0,-1
03-13-2020,70,7,-1,0,0,-1
03-14-2020,93,9,-1,23,2,-1
03-15-2020,124,9,-1,31,0,-1
03-16-2020,124,9,-1,0,0,-1
03-17-2020,154,11,-1,30,2,-1
03-18-2020,164,12,-1,10,1,-1
03-19-2020,177,12,-1,13,0,-1
03-20-2020,193,14,-1,16,2,-1
03-21-2020,214,17,-1,21,3,-1
03-22-2020,233,20,-1,19,3,-1
03-23-2020,266,23,-1,33,3,-1
03-24-2020,316,27,-1,50,4,-1
03-25-2020,346,29,-1,30,2,-1
03-26-2020,382,36,-1,36,7,-1
03-27-2020,458,40,-1,76,4,-1
03-28-2020,506,42,-1,48,2,-1
03-29-2020,547,42,-1,41,0,-1
03-30-2020,547,42,-1,0,0,-1
03-31-2020,630,46,-1,83,4,-1
04-01-2020,694,50,-1,64,4,-1
04-02-2020,772,54,-1,78,4,-1
04-03-2020,820,54,-1,48,0,-1
04-04-2020,878,56,-1,58,2,-1
04-05-2020,961,61,-1,83,5,-1
04-06-2020,1031,64,-1,70,3,-1
04-07-2020,1031,64,-1,0,0,-1
04-08-2020,1122,65,-1,91,1,-1
04-09-2020,1202,69,-1,80,4,-1
04-10-2020,1279,70,-1,77,1,-1
04-11-2020,1318,72,-1,39,2,-1
04-12-2020,1352,76,-1,34,4,-1
04-13-2020,1378,78,-1,26,2,-1
04-14-2020,1400,78,-1,22,0,-1
04-15-2020,1415,79,-1,15,1,-1
04-16-2020,1434,80,-1,19,1,-1
04-17-2020,1434,80,-1,0,0,-1
04-18-2020,1482,81,-1,48,1,-1
04-19-2020,1513,82,-1,31,1,-1
04-20-2020,1574,82,-1,61,0,-1
04-21-2020,1602,83,-1,28,1,-1
04-22-2020,1602,83,-1,0,0,-1
04-23-2020,1677,83,-1,75,0,-1
04-24-2020,1677,83,-1,0,0,-1
04-25-2020,1708,86,-1,31,3,-1
04-26-2020,1763,86,-1,55,0,-1
04-27-2020,1820,87,-1,57,1,-1
04-28-2020,1847,88,-1,27,1,-1
04-29-2020,1928,90,-1,81,2,-1
04-30-2020,2003,92,-1,75,2,-1
05-01-2020,2085,93,-1,82,1,-1
05-02-2020,2153,94,-1,68,1,-1
05-03-2020,2219,95,-1,66,1,-1
05-04-2020,2296,97,-1,77,2,-1
05-05-2020,2346,98,-1,50,1,-1
05-06-2020,2431,102,-1,85,4,-1
05-07-2020,2480,102,-1,49,0,-1
05-08-2020,2543,102,-1,63,0,-1
05-09-2020,2603,104,-1,60,2,-1
05-10-2020,2767,109,-1,164,5,-1
05-11-2020,2818,110,-1,51,1,-1
05-12-2020,2913,112,-1,95,2,-1
05-13-2020,3032,115,-1,119,3,-1
05-14-2020,3143,115,-1,111,0,-1
05-15-2020,3193,117,-1,50,2,-1
05-16-2020,3260,121,-1,67,4,-1
05-17-2020,3404,123,-1,144,2,-1
05-18-2020,3554,127,-1,150,4,-1
05-19-2020,3611,131,-1,57,4,-1
05-20-2020,3724,134,-1,113,3,-1
05-21-2020,3877,140,-1,153,6,-1
05-22-2020,3877,140,-1,0,0,-1
05-23-2020,3964,147,-1,87,7,-1
05-24-2020,4272,152,-1,308,5,-1
05-25-2020,4469,160,-1,197,8,-1
05-26-2020,4632,163,-1,163,3,-1
05-27-2020,4848,169,-1,216,6,-1
05-28-2020,5135,175,-1,287,6,-1
05-29-2020,5457,179,-1,322,4,-1
05-30-2020,5873,185,-1,416,6,-1
05-31-2020,6179,195,-1,306,10,-1
06-01-2020,6439,205,-1,260,10,-1
06-02-2020,6868,215,-1,429,10,-1
06-03-2020,7387,235,-1,519,20,-1
06-04-2020,8168,256,-1,781,21,-1
06-05-2020,8840,271,-1,672,15,-1
06-06-2020,9846,285,-1,1006,14,-1
06-07-2020,11098,318,-1,1252,33,-1
06-08-2020,12366,346,-1,1268,28,-1
06-09-2020,13481,370,-1,1115,24,-1
06-10-2020,15414,426,6214,1933,56,-1
06-11-2020,16675,457,6568,1261,31,354
06-12-2020,17770,496,6868,1095,39,300
06-13-2020,18950,549,7515,1180,53,647
06-14-2020,20209,607,8121,1259,58,606
06-15-2020,21315,652,9271,1106,45,1150
06-16-2020,22700,712,9862,1385,60,591
06-17-2020,24254,773,10770,1554,61,908
06-18-2020,25717,856,11333,1463,83,563
06-19-2020,27352,925,12205,1635,69,872
06-20-2020,29222,1013,13212,1870,88,1007
06-21-2020,30868,1100,13935,1646,87,723
06-22-2020,32676,1167,14785,1808,67,850
06-23-2020,34502,1251,15753,1826,84,968
06-24-2020,36702,1330,16814,2200,79,1061
06-25-2020,39139,1437,18051,2437,107,1237
06-26-2020,41193,1559,18859,2054,122,808
06-27-2020,43262,1660,19938,2069,101,1079
06-28-2020,45402,1756,21122,2140,96,1184
06-29-2020,47151,1839,22974,1749,83,1852
06-30-2020,49109,1943,24760,1958,104,1786
07-01-2020,51524,2050,26267,2415,107,1507
07-02-2020,53708,2160,26912,2184,110,645
07-03-2020,56020,2262,29600,2312,102,2688
07-04-2020,58354,2368,31077,2334,106,1477
07-05-2020,60479,2473,33017,2125,105,1940
07-06-2020,62275,2567,34741,1796,94,1724
07-07-2020,62275,2567,34741,0,0,0
07-08-2020,67442,2779,37879,5167,212,3138
07-09-2020,69612,2882,39502,2170,103,1623
07-10-2020,72460,2960,31380,2848,78,-8122
07-11-2020,72460,2960,41380,0,0,10000
07-12-2020,75194,3055,41380,2734,95,0
07-13-2020,77506,3150,44724,2312,95,3344
07-14-2020,79735,3250,46988,2229,100,2264
07-15-2020,81757,3345,46988,2022,95,0
07-16-2020,86148,3522,54316,4391,177,7328
07-17-2020,88171,3616,54316,2023,94,0
07-18-2020,90220,3691,58492,2049,75,4176
07-19-2020,90220,3691,58492,0,0,0
07-20-2020,94693,3869,62836,4473,178,4344
07-21-2020,97159,3950,64950,2466,81,2114
07-22-2020,99865,4042,67147,2706,92,2197
07-23-2020,102226,4122,69405,2361,80,2258
07-24-2020,104711,4212,71268,2485,90,1863
07-25-2020,107573,4284,73317,2862,72,2049
07-26-2020,110032,4362,75217,2459,78,1900
07-27-2020,112585,4458,77144,2553,96,1927
07-28-2020,115332,4535,81062,2747,77,3918
07-29-2020,118300,4603,83461,2968,68,2399
07-30-2020,121263,4671,85546,2963,68,2085
07-31-2020,124609,4741,87434,3346,70,1888
08-01-2020,126704,4805,89275,2095,64,1841
08-02-2020,129151,4868,91886,2447,63,2611
08-03-2020,131886,4934,94111,2735,66,2225
08-04-2020,134722,5017,96103,2836,83,1992
08-05-2020,137556,5094,98442,2834,77,2339
08-06-2020,140603,5161,101025,3047,67,2583
08-07-2020,144064,5236,103197,3461,75,2172
08-08-2020,147389,5310,105504,3325,74,2307
08-09-2020,150115,5392,107775,2726,82,2271
08-10-2020,153599,5464,109790,3484,72,2015
08-11-2020,156995,5531,112102,3396,67,2312
08-12-2020,160436,5588,114541,3441,57,2439
08-13-2020,164277,5641,117208,3841,53,2667
08-14-2020,168290,5709,120129,4013,68,2921
08-15-2020,172583,5785,122700,4293,76,2571
08-16-2020,176931,5860,125374,4348,75,2674
08-17-2020,180133,5954,128945,3202,94,3571
08-18-2020,184709,6036,131840,4576,82,2895
08-19-2020,188802,6121,134369,4093,85,2529
08-20-2020,188802,6121,134369,0,0,0
08-21-2020,197085,6283,140446,8283,162,6077
08-22-2020,201050,6353,143393,3965,70,2947
08-23-2020,204341,6428,146409,3291,75,3016
08-24-2020,207985,6519,150389,3644,91,3980
08-25-2020,211947,6596,153761,3962,77,3372
