date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-01-2020,1,0,-1,1,0,-1
03-02-2020,1,0,-1,0,0,-1
03-03-2020,2,0,-1,1,0,-1
03-04-2020,2,0,-1,0,0,-1
03-05-2020,14,0,-1,12,0,-1
03-06-2020,18,0,-1,4,0,-1
03-07-2020,19,0,-1,1,0,-1
03-08-2020,21,0,-1,2,0,-1
03-09-2020,21,0,-1,0,0,-1
03-10-2020,34,0,-1,13,0,-1
03-11-2020,43,1,-1,9,1,-1
03-12-2020,70,1,-1,27,0,-1
03-13-2020,91,1,-1,21,0,-1
03-14-2020,129,1,-1,38,0,-1
03-15-2020,169,2,-1,40,1,-1
03-16-2020,223,2,-1,54,0,-1
03-17-2020,292,2,-1,69,0,-1
03-18-2020,292,2,-1,0,0,-1
03-19-2020,557,3,-1,265,1,-1
03-20-2020,683,3,-1,126,0,-1
03-21-2020,785,3,-1,102,0,-1
03-22-2020,785,3,-1,0,0,-1
03-23-2020,906,4,-1,121,1,-1
03-24-2020,1125,6,-1,219,2,-1
03-25-2020,1329,7,-1,204,1,-1
03-26-2020,1564,9,-1,235,2,-1
03-27-2020,1819,19,-1,255,10,-1
03-28-2020,2121,22,-1,302,3,-1
03-29-2020,2415,36,-1,294,14,-1
03-30-2020,2615,46,-1,200,10,-1
03-31-2020,2910,54,-1,295,8,-1
04-01-2020,3235,71,-1,325,17,-1
04-02-2020,3447,85,-1,212,14,-1
04-03-2020,3849,98,-1,402,13,-1
04-04-2020,4273,120,-1,424,22,-1
04-05-2020,4604,137,-1,331,17,-1
04-06-2020,5111,158,-1,507,21,-1
04-07-2020,5364,174,-1,253,16,-1
04-08-2020,5709,210,-1,345,36,-1
04-09-2020,6224,235,-1,515,25,-1
04-10-2020,7393,263,-1,1169,28,-1
04-11-2020,8089,287,-1,696,24,-1
04-12-2020,8928,320,-1,839,33,-1
04-13-2020,9655,334,-1,727,14,-1
04-14-2020,10647,365,-1,992,31,-1
04-15-2020,11479,406,-1,832,41,-1
04-16-2020,12547,444,-1,1068,38,-1
04-17-2020,13271,486,-1,724,42,-1
04-18-2020,13980,530,-1,709,44,-1
04-19-2020,14758,571,-1,778,41,-1
04-20-2020,15251,610,-1,493,39,-1
04-21-2020,15652,687,-1,401,77,-1
04-22-2020,16040,730,-1,388,43,-1
04-23-2020,16671,769,-1,631,39,-1
04-24-2020,17607,794,-1,936,25,-1
04-25-2020,18184,829,-1,577,35,-1
04-26-2020,18561,1063,-1,377,234,-1
04-27-2020,19262,1087,-1,701,24,-1
04-28-2020,19648,1102,-1,386,15,-1
04-29-2020,19877,1159,-1,229,57,-1
04-30-2020,20253,1190,-1,376,31,-1
05-01-2020,20612,1232,-1,359,42,-1
05-02-2020,20833,1265,-1,221,33,-1
05-03-2020,21176,1265,-1,343,0,-1
05-04-2020,21506,1303,-1,330,38,-1
05-05-2020,21722,1319,-1,216,16,-1
05-06-2020,21983,1339,-1,261,20,-1
05-07-2020,22248,1375,-1,265,36,-1
05-08-2020,22385,1403,-1,137,28,-1
05-09-2020,22541,1429,-1,156,26,-1
05-10-2020,22760,1446,-1,219,17,-1
05-11-2020,22996,1458,-1,236,12,-1
