date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-21-2020,1,0,-1,1,0,-1
02-22-2020,1,0,-1,0,0,-1
02-23-2020,1,0,-1,0,0,-1
02-24-2020,2,0,-1,1,0,-1
02-25-2020,2,0,-1,0,0,-1
02-26-2020,2,0,-1,0,0,-1
02-27-2020,3,0,-1,1,0,-1
02-28-2020,5,0,-1,2,0,-1
02-29-2020,7,0,-1,2,0,-1
03-01-2020,7,0,-1,0,0,-1
03-02-2020,10,0,-1,3,0,-1
03-03-2020,12,0,-1,2,0,-1
03-04-2020,15,0,-1,3,0,-1
03-05-2020,15,0,-1,0,0,-1
03-06-2020,19,0,-1,4,0,-1
03-07-2020,21,0,-1,2,0,-1
03-08-2020,39,0,-1,18,0,-1
03-09-2020,39,0,-1,0,0,-1
03-10-2020,58,0,-1,19,0,-1
03-11-2020,75,0,-1,17,0,-1
03-12-2020,99,0,-1,24,0,-1
03-13-2020,126,0,-1,27,0,-1
03-14-2020,178,0,-1,52,0,-1
03-15-2020,200,0,-1,22,0,-1
03-16-2020,250,0,-1,50,0,-1
03-17-2020,304,0,-1,54,0,-1
03-18-2020,427,0,-1,123,0,-1
03-19-2020,529,0,-1,102,0,-1
03-20-2020,712,1,-1,183,1,-1
03-21-2020,883,1,-1,171,0,-1
03-22-2020,883,1,-1,0,0,-1
03-23-2020,1071,1,-1,188,0,-1
03-24-2020,1238,1,-1,167,0,-1
03-25-2020,2170,5,-1,932,4,-1
03-26-2020,2369,5,-1,199,0,-1
03-27-2020,3035,10,-1,666,5,-1
03-28-2020,3460,12,-1,425,2,-1
03-29-2020,3865,15,-1,405,3,-1
03-30-2020,4247,15,-1,382,0,-1
03-31-2020,4831,17,-1,584,2,-1
04-01-2020,5129,21,-1,298,4,-1
04-02-2020,5591,21,-1,462,0,-1
04-03-2020,6211,29,-1,620,8,-1
04-04-2020,7030,36,-1,819,7,-1
04-05-2020,7589,42,-1,559,6,-1
04-06-2020,8018,46,-1,429,4,-1
04-07-2020,8611,52,-1,593,6,-1
04-08-2020,9404,71,-1,793,19,-1
04-09-2020,9404,71,-1,0,0,-1
04-10-2020,9755,79,-1,351,8,-1
04-11-2020,10095,92,-1,340,13,-1
04-12-2020,10525,96,-1,430,4,-1
04-13-2020,10878,103,-1,353,7,-1
04-14-2020,11235,110,-1,357,7,-1
04-15-2020,11868,117,-1,633,7,-1
04-16-2020,12200,126,-1,332,9,-1
04-17-2020,12591,140,-1,391,14,-1
04-18-2020,12855,148,-1,264,8,-1
04-19-2020,13107,158,-1,252,10,-1
04-20-2020,13362,171,-1,255,13,-1
04-21-2020,13883,181,-1,521,10,-1
04-22-2020,13942,184,-1,59,3,-1
04-23-2020,14498,189,-1,556,5,-1
04-24-2020,14803,192,-1,305,3,-1
04-25-2020,15028,194,-1,225,2,-1
04-26-2020,15398,199,-1,370,5,-1
04-27-2020,15398,199,-1,0,0,-1
04-28-2020,15466,202,-1,68,3,-1
04-29-2020,15782,212,-1,316,10,-1
04-30-2020,15782,212,-1,0,0,-1
05-01-2020,16004,223,-1,222,11,-1
05-02-2020,16152,227,-1,148,4,-1
05-03-2020,16152,227,-1,0,0,-1
05-04-2020,16152,227,-1,0,0,-1
05-05-2020,16237,234,-1,85,7,-1
05-06-2020,16268,237,-1,31,3,-1
05-07-2020,16314,238,-1,46,1,-1
05-08-2020,16346,239,-1,32,1,-1
05-09-2020,16444,245,-1,98,6,-1
05-10-2020,16444,245,-1,0,0,-1
05-11-2020,16492,254,-1,48,9,-1
05-12-2020,16526,258,-1,34,4,-1
05-13-2020,16539,262,-1,13,4,-1
05-14-2020,16539,262,-1,0,0,-1
05-15-2020,16567,264,-1,28,2,-1
05-16-2020,16589,266,-1,22,2,-1
05-17-2020,16608,268,-1,19,2,-1
05-18-2020,16608,271,-1,0,3,-1
05-19-2020,16621,272,-1,13,1,-1
05-20-2020,16650,277,-1,29,5,-1
05-21-2020,16659,278,-1,9,1,-1
05-22-2020,16690,279,-1,31,1,-1
05-23-2020,16690,279,-1,0,0,-1
05-24-2020,16712,279,-1,22,0,-1
05-25-2020,16712,279,-1,0,0,-1
05-26-2020,16720,280,-1,8,1,-1
05-27-2020,16743,281,-1,23,1,-1
05-28-2020,16771,281,-1,28,0,-1
05-29-2020,16809,281,-1,38,0,-1
05-30-2020,16809,281,-1,0,0,-1
05-31-2020,17071,285,-1,262,4,-1
06-01-2020,17071,285,-1,0,0,-1
06-02-2020,17219,287,-1,148,2,-1
06-03-2020,17219,287,-1,0,0,-1
06-04-2020,17219,287,-1,0,0,-1
06-05-2020,17495,291,-1,276,4,-1
06-06-2020,17562,291,-1,67,0,-1
06-07-2020,17706,292,-1,144,1,-1
06-08-2020,17783,294,-1,77,2,-1
06-09-2020,17915,295,-1,132,1,-1
06-10-2020,18268,299,15168,353,4,-1
06-11-2020,18461,300,15214,193,1,46
06-12-2020,18701,300,15288,240,0,74
06-13-2020,18876,300,15319,175,0,31
06-14-2020,19008,300,15360,132,0,41
06-15-2020,19121,302,15389,113,2,29
06-16-2020,19338,302,15438,217,0,49
06-17-2020,19637,303,15459,299,1,21
06-18-2020,19894,303,15499,257,0,40
06-19-2020,19894,303,15499,0,0,0
06-20-2020,20633,305,15586,739,2,87
06-21-2020,20778,306,15694,145,1,108
06-22-2020,21082,307,15768,304,1,74
06-23-2020,21512,308,15869,430,1,101
06-24-2020,22044,308,15940,532,0,71
06-25-2020,22400,309,16007,356,1,67
06-26-2020,22800,309,16007,400,0,0
06-27-2020,22800,312,16007,0,3,0
06-28-2020,23755,318,17074,955,6,1067
06-29-2020,24441,319,17218,686,1,144
06-30-2020,25244,320,17341,803,1,123
07-01-2020,26257,322,17452,1013,2,111
07-02-2020,26452,324,17481,195,2,29
07-03-2020,28055,326,17669,1603,2,188
07-04-2020,29170,330,17816,1115,4,147
07-05-2020,29958,331,17950,788,1,134
07-06-2020,30749,334,18056,791,3,106
07-07-2020,31271,338,18134,522,4,78
07-08-2020,33557,344,18338,2286,6,204
07-09-2020,33557,344,18338,0,0,0
07-10-2020,36266,351,18613,2709,7,275
07-11-2020,36266,351,18613,0,0,0
07-12-2020,38670,362,19008,2404,11,395
07-13-2020,40632,365,19395,1962,3,387
07-14-2020,40632,365,19395,0,0,0
07-15-2020,41029,367,19395,397,2,0
