date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-29-2020,2,0,-1,2,0,-1
01-30-2020,2,0,-1,0,0,-1
01-31-2020,2,0,-1,0,0,-1
02-01-2020,2,0,-1,0,0,-1
02-02-2020,2,0,-1,0,0,-1
02-03-2020,2,0,-1,0,0,-1
02-04-2020,2,0,-1,0,0,-1
02-05-2020,2,0,-1,0,0,-1
02-06-2020,2,0,-1,0,0,-1
02-07-2020,3,0,-1,1,0,-1
02-08-2020,3,0,-1,0,0,-1
02-09-2020,3,0,-1,0,0,-1
02-10-2020,3,0,-1,0,0,-1
02-11-2020,3,0,-1,0,0,-1
02-12-2020,3,0,-1,0,0,-1
02-13-2020,3,0,-1,0,0,-1
02-14-2020,3,0,-1,0,0,-1
02-15-2020,3,0,-1,0,0,-1
02-16-2020,3,0,-1,0,0,-1
02-17-2020,3,0,-1,0,0,-1
02-18-2020,3,0,-1,0,0,-1
02-19-2020,3,0,-1,0,0,-1
02-20-2020,3,0,-1,0,0,-1
02-21-2020,4,0,-1,1,0,-1
02-22-2020,11,2,-1,7,2,-1
02-23-2020,124,2,-1,113,0,-1
02-24-2020,229,7,-1,105,5,-1
02-25-2020,322,12,-1,93,5,-1
02-26-2020,400,12,-1,78,0,-1
02-27-2020,650,17,-1,250,5,-1
02-28-2020,888,21,-1,238,4,-1
02-29-2020,1128,29,-1,240,8,-1
03-01-2020,1689,35,-1,561,6,-1
03-02-2020,2036,52,-1,347,17,-1
03-03-2020,2502,80,-1,466,28,-1
03-04-2020,3089,107,-1,587,27,-1
03-05-2020,3858,148,-1,769,41,-1
03-06-2020,4636,197,-1,778,49,-1
03-07-2020,5883,234,-1,1247,37,-1
03-08-2020,7375,366,-1,1492,132,-1
03-09-2020,9172,463,-1,1797,97,-1
03-10-2020,10149,631,-1,977,168,-1
03-11-2020,12462,827,-1,2313,196,-1
03-12-2020,15113,1016,-1,2651,189,-1
03-13-2020,17660,1268,-1,2547,252,-1
03-14-2020,21157,1441,-1,3497,173,-1
03-15-2020,24747,1809,-1,3590,368,-1
03-16-2020,27980,2158,-1,3233,349,-1
03-17-2020,31506,2505,-1,3526,347,-1
03-18-2020,35713,2978,-1,4207,473,-1
03-19-2020,41035,3407,-1,5322,429,-1
03-20-2020,47021,4032,-1,5986,625,-1
03-21-2020,53578,4827,-1,6557,795,-1
03-22-2020,53578,4827,-1,0,0,-1
03-23-2020,59138,5476,-1,5560,649,-1
03-24-2020,63927,6077,-1,4789,601,-1
03-25-2020,69176,6820,-1,5249,743,-1
03-26-2020,74386,7505,-1,5210,685,-1
03-27-2020,80539,8165,-1,6153,660,-1
03-28-2020,86498,9136,-1,5959,971,-1
03-29-2020,92472,10023,-1,5974,887,-1
03-30-2020,97689,10781,-1,5217,758,-1
03-31-2020,101739,11591,-1,4050,810,-1
04-01-2020,105792,12430,-1,4053,839,-1
04-02-2020,110574,13157,-1,4782,727,-1
04-03-2020,115242,13917,-1,4668,760,-1
04-04-2020,119827,14681,-1,4585,764,-1
04-05-2020,124632,15362,-1,4805,681,-1
04-06-2020,128948,15889,-1,4316,527,-1
04-07-2020,132547,16525,-1,3599,636,-1
04-08-2020,135586,17129,-1,3039,604,-1
04-09-2020,139422,17669,-1,3836,540,-1
04-10-2020,143626,18281,-1,4204,612,-1
04-11-2020,147577,18851,-1,3951,570,-1
04-12-2020,152271,19470,-1,4694,619,-1
04-13-2020,156363,19901,-1,4092,431,-1
04-14-2020,159516,20465,-1,3153,564,-1
04-15-2020,165155,21645,38092,5639,1180,-1
04-16-2020,168941,22170,40164,3786,525,2072
04-17-2020,172434,22745,42727,3493,575,2563
04-18-2020,175927,23227,44927,3493,482,2200
04-19-2020,178972,23660,47055,3045,433,2128
04-20-2020,181228,24114,48877,2256,454,1822
04-21-2020,183957,24268,51600,2729,154,2723
04-22-2020,187327,25085,54543,3370,817,2943
04-23-2020,189973,25549,57776,2646,464,3233
04-24-2020,193000,25969,60498,3027,420,2722
04-25-2020,195351,26384,63120,2351,415,2622
04-26-2020,198000,26644,64928,2649,260,1808
04-27-2020,199414,26977,66624,1414,333,1696
04-28-2020,202000,27359,68941,2586,382,2317
04-29-2020,204000,27682,71252,2000,323,2311
04-30-2020,205463,27967,75945,1463,285,4693
05-01-2020,207428,28236,78249,1965,269,2304
05-02-2020,207428,28236,-1,0,0,-1
05-03-2020,211000,28884,81654,3572,648,-1
05-04-2020,212000,29079,82879,1000,195,1225
05-05-2020,213000,29315,85231,1000,236,2352
05-06-2020,214457,29684,93245,1457,369,8014
05-07-2020,215858,29958,96276,1401,274,3031
05-08-2020,217185,30201,99023,1327,243,2747
05-09-2020,218268,30395,103031,1083,194,4008
05-10-2020,219070,30560,105186,802,165,2155
05-11-2020,219814,30739,106587,744,179,1401
05-12-2020,221216,30911,109039,1402,172,2452
05-13-2020,222104,31106,112541,888,195,3502
05-14-2020,223096,31368,115288,992,262,2747
05-15-2020,223885,31610,120205,789,242,4917
05-16-2020,224760,31763,122810,875,153,2605
05-17-2020,225435,31908,125176,675,145,2366
05-18-2020,225886,32007,127326,451,99,2150
05-19-2020,226699,32169,129401,813,162,2075
05-20-2020,227364,32330,132282,665,161,2881
05-21-2020,228006,32486,134560,642,156,2278
05-22-2020,228658,32616,136720,652,130,2160
05-23-2020,229327,32735,138840,669,119,2120
05-24-2020,229858,32785,140479,531,50,1639
05-25-2020,230158,32877,141981,300,92,1502
05-26-2020,230555,32955,144658,397,78,2677
05-27-2020,231139,33072,147101,584,117,2443
05-28-2020,231732,33142,150604,593,70,3503
05-29-2020,232248,33229,152844,516,87,2240
05-30-2020,232664,33340,155633,416,111,2789
05-31-2020,233019,33415,157507,355,75,1874
06-01-2020,233197,33475,158355,178,60,848
06-02-2020,233515,33530,160092,318,55,1737
06-03-2020,233836,33601,160938,321,71,846
06-04-2020,234013,33689,161895,177,88,957
06-05-2020,234531,33774,163781,518,85,1886
06-06-2020,234801,33846,165078,270,72,1297
06-07-2020,234998,33899,165837,197,53,759
06-08-2020,235278,33964,166584,280,65,747
06-09-2020,235561,34043,168646,283,79,2062
06-10-2020,235763,34114,169939,202,71,1293
06-11-2020,236142,34167,171338,379,53,1399
06-12-2020,236305,34223,173085,163,56,1747
06-13-2020,236651,34301,174865,346,78,1780
06-14-2020,236989,34345,176370,338,44,1505
06-15-2020,237290,34371,177010,301,26,640
06-16-2020,237500,34405,178526,210,34,1516
06-17-2020,237828,34448,179455,328,43,929
06-18-2020,238159,34514,180544,331,66,1089
06-19-2020,238159,34561,181907,0,47,1363
06-20-2020,238275,34610,181453,116,49,-454
06-21-2020,238499,34634,182893,224,24,1440
06-22-2020,238720,34657,183426,221,23,533
06-23-2020,238833,34675,184585,113,18,1159
06-24-2020,239410,34675,186111,577,0,1526
06-25-2020,239706,34678,186725,296,3,614
06-26-2020,239961,34708,187615,255,30,890
06-27-2020,240136,34716,188584,175,8,969
06-28-2020,240310,34738,188891,174,22,307
06-29-2020,240436,34744,189196,126,6,305
06-30-2020,240578,34767,190248,142,23,1052
07-01-2020,240760,34788,190717,182,21,469
07-02-2020,240961,34818,191093,201,30,376
07-03-2020,241184,34833,191461,223,15,368
07-04-2020,241419,34854,191944,235,21,483
07-05-2020,241611,34861,192108,192,7,164
07-06-2020,241819,34869,192241,208,8,133
07-07-2020,241956,34899,192815,137,30,574
07-08-2020,242149,34914,193640,193,15,825
07-09-2020,242363,34926,193978,214,12,338
07-10-2020,242639,34938,194273,276,12,295
07-11-2020,242827,34945,194579,188,7,306
07-12-2020,243061,34954,194928,234,9,349
07-13-2020,243230,34967,195106,169,13,178
07-14-2020,243344,34984,195441,114,17,335
07-15-2020,243344,34984,195441,0,0,0
07-16-2020,243506,34997,195441,162,13,0
07-17-2020,243736,35017,195441,230,20,0
07-18-2020,244216,35042,196806,480,25,1365
07-19-2020,244434,35045,196949,218,3,143
07-20-2020,244624,35058,197162,190,13,213
07-21-2020,244752,35073,197431,128,15,269
07-22-2020,245032,35082,197628,280,9,197
07-23-2020,245338,35092,197842,306,10,214
07-24-2020,245590,35097,198192,252,5,350
07-25-2020,245864,35102,198320,274,5,128
07-26-2020,246118,35107,198446,254,5,126
07-27-2020,246286,35112,198593,168,5,147
