date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-12-2020,2,0,-1,2,0,-1
03-13-2020,2,0,-1,0,0,-1
03-14-2020,2,0,-1,0,0,-1
03-15-2020,2,0,-1,0,0,-1
03-16-2020,2,0,-1,0,0,-1
03-17-2020,5,0,-1,3,0,-1
03-18-2020,5,0,-1,0,0,-1
03-19-2020,5,0,-1,0,0,-1
03-20-2020,12,0,-1,7,0,-1
03-21-2020,12,0,-1,0,0,-1
03-22-2020,12,0,-1,0,0,-1
03-23-2020,15,0,-1,3,0,-1
03-24-2020,16,0,-1,1,0,-1
03-25-2020,16,0,-1,0,0,-1
03-26-2020,18,0,-1,2,0,-1
03-27-2020,32,1,-1,14,1,-1
03-28-2020,52,1,-1,20,0,-1
03-29-2020,61,1,-1,9,0,-1
03-30-2020,63,2,-1,2,1,-1
03-31-2020,63,2,-1,0,0,-1
04-01-2020,63,2,-1,0,0,-1
04-02-2020,81,2,-1,18,0,-1
04-03-2020,81,2,-1,0,0,-1
04-04-2020,118,2,-1,37,0,-1
04-05-2020,123,3,-1,5,1,-1
04-06-2020,155,3,-1,32,0,-1
04-07-2020,155,3,-1,0,0,-1
04-08-2020,170,3,-1,15,0,-1
04-09-2020,170,3,-1,0,0,-1
04-10-2020,170,3,-1,0,0,-1
04-11-2020,183,4,-1,13,1,-1
04-12-2020,198,4,-1,15,0,-1
04-13-2020,198,4,-1,0,0,-1
04-14-2020,213,4,-1,15,0,-1
04-15-2020,217,4,-1,4,0,-1
04-16-2020,217,6,-1,0,2,-1
04-17-2020,219,7,-1,2,1,-1
04-18-2020,223,10,-1,4,3,-1
04-19-2020,234,11,-1,11,1,-1
04-20-2020,245,12,-1,11,1,-1
04-21-2020,249,12,-1,4,0,-1
04-22-2020,250,14,-1,1,2,-1
04-23-2020,255,14,-1,5,0,-1
04-24-2020,255,18,-1,0,4,-1
04-25-2020,276,19,-1,21,1,-1
04-26-2020,278,19,-1,2,0,-1
04-27-2020,280,19,-1,2,0,-1
04-28-2020,281,19,-1,1,0,-1
04-29-2020,283,19,-1,2,0,-1
04-30-2020,284,20,-1,1,1,-1
05-01-2020,290,20,-1,6,0,-1
05-02-2020,290,22,-1,0,2,-1
05-03-2020,290,23,-1,0,1,-1
05-04-2020,291,24,-1,1,1,-1
05-05-2020,292,24,-1,1,0,-1
05-06-2020,293,24,-1,1,0,-1
05-07-2020,293,24,-1,0,0,-1
05-08-2020,293,25,-1,0,1,-1
05-09-2020,293,25,-1,0,0,-1
05-10-2020,293,25,-1,0,0,-1
05-11-2020,293,25,-1,0,0,-1
05-12-2020,294,25,-1,1,0,-1
05-13-2020,294,25,-1,0,0,-1
05-14-2020,295,26,-1,1,1,-1
05-15-2020,295,26,-1,0,0,-1
05-16-2020,297,27,-1,2,1,-1
05-17-2020,297,27,-1,0,0,-1
05-18-2020,297,27,-1,0,0,-1
05-19-2020,302,27,-1,5,0,-1
05-20-2020,303,27,-1,1,0,-1
05-21-2020,303,28,-1,0,1,-1
05-22-2020,306,29,-1,3,1,-1
05-23-2020,306,29,-1,0,0,-1
05-24-2020,306,29,-1,0,0,-1
05-25-2020,306,29,-1,0,0,-1
05-26-2020,306,29,-1,0,0,-1
05-27-2020,307,29,-1,1,0,-1
05-28-2020,307,29,-1,0,0,-1
05-29-2020,308,29,-1,1,0,-1
05-30-2020,308,29,-1,0,0,-1
05-31-2020,308,29,-1,0,0,-1
06-01-2020,308,29,-1,0,0,-1
06-02-2020,308,29,-1,0,0,-1
06-03-2020,308,29,-1,0,0,-1
06-04-2020,308,30,-1,0,1,-1
06-05-2020,309,30,-1,1,0,-1
06-06-2020,309,30,-1,0,0,-1
06-07-2020,309,30,-1,0,0,-1
06-08-2020,311,30,-1,2,0,-1
06-09-2020,311,30,-1,0,0,-1
06-10-2020,313,30,-1,2,0,-1
06-11-2020,313,30,-1,0,0,-1
06-12-2020,313,30,-1,0,0,-1
06-13-2020,313,30,-1,0,0,-1
06-14-2020,313,30,-1,0,0,-1
06-15-2020,316,30,-1,3,0,-1
06-16-2020,316,30,-1,0,0,-1
06-17-2020,318,30,-1,2,0,-1
06-18-2020,318,30,-1,0,0,-1
06-19-2020,318,31,-1,0,1,-1
06-20-2020,318,31,-1,0,0,-1
06-21-2020,318,31,-1,0,0,-1
06-22-2020,318,31,-1,0,0,-1
06-23-2020,318,31,-1,0,0,-1
06-24-2020,318,31,-1,0,0,-1
06-25-2020,318,31,-1,0,0,-1
06-26-2020,319,31,-1,1,0,-1
06-27-2020,319,31,-1,0,0,-1
06-28-2020,319,31,-1,0,0,-1
06-29-2020,319,31,-1,0,0,-1
06-30-2020,319,31,-1,0,0,-1
07-01-2020,319,31,-1,0,0,-1
07-02-2020,319,31,-1,0,0,-1
07-03-2020,319,31,-1,0,0,-1
07-04-2020,319,31,-1,0,0,-1
07-05-2020,320,31,-1,1,0,-1
07-06-2020,325,31,-1,5,0,-1
07-07-2020,325,31,-1,0,0,-1
07-08-2020,325,31,-1,0,0,-1
07-09-2020,325,31,-1,0,0,-1
07-10-2020,325,31,-1,0,0,-1
07-11-2020,325,31,-1,0,0,-1
07-12-2020,325,31,-1,0,0,-1
07-13-2020,325,31,-1,0,0,-1
07-14-2020,329,31,-1,4,0,-1
07-15-2020,329,31,-1,0,0,-1
07-16-2020,329,31,-1,0,0,-1
07-17-2020,329,31,-1,0,0,-1
07-18-2020,331,31,-1,2,0,-1
07-19-2020,331,31,-1,0,0,-1
07-20-2020,331,31,-1,0,0,-1
07-21-2020,331,31,-1,0,0,-1
07-22-2020,331,31,-1,0,0,-1
07-23-2020,331,31,-1,0,0,-1
07-24-2020,332,31,-1,1,0,-1
07-25-2020,332,31,-1,0,0,-1
07-26-2020,332,31,-1,0,0,-1
07-27-2020,332,31,-1,0,0,-1
07-28-2020,335,31,-1,3,0,-1
07-29-2020,335,31,-1,0,0,-1
07-30-2020,335,31,-1,0,0,-1
07-31-2020,335,31,-1,0,0,-1
08-01-2020,335,31,-1,0,0,-1
08-02-2020,335,31,-1,0,0,-1
08-03-2020,335,31,-1,0,0,-1
08-04-2020,343,31,-1,8,0,-1
08-05-2020,344,31,-1,1,0,-1
08-06-2020,345,31,-1,1,0,-1
08-07-2020,345,31,-1,0,0,-1
08-08-2020,345,31,-1,0,0,-1
08-09-2020,345,31,-1,0,0,-1
08-10-2020,347,31,-1,2,0,-1
08-11-2020,347,31,-1,0,0,-1
08-12-2020,348,31,-1,1,0,-1
08-13-2020,348,31,-1,0,0,-1
08-14-2020,352,31,-1,4,0,-1
08-15-2020,356,31,-1,4,0,-1
08-16-2020,356,31,-1,0,0,-1
08-17-2020,356,31,-1,0,0,-1
08-18-2020,358,31,-1,2,0,-1
08-19-2020,358,32,-1,0,1,-1
08-20-2020,358,32,-1,0,0,-1
08-21-2020,362,32,-1,4,0,-1
08-22-2020,363,32,-1,1,0,-1
08-23-2020,363,32,-1,0,0,-1
08-24-2020,364,32,-1,1,0,-1
08-25-2020,364,32,-1,0,0,-1
