date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,0,0,0,0
01-23-2020,5,0,0,4,0,0
01-24-2020,9,0,0,4,0,0
01-25-2020,31,0,1,22,0,1
01-26-2020,47,0,1,16,0,0
01-27-2020,70,0,1,23,0,0
01-28-2020,99,0,1,29,0,0
01-29-2020,129,0,1,30,0,0
01-30-2020,168,0,2,39,0,1
01-31-2020,168,0,5,0,0,3
02-01-2020,236,0,6,68,0,1
02-02-2020,271,0,7,35,0,1
02-03-2020,308,0,8,37,0,1
02-04-2020,341,0,13,33,0,5
02-05-2020,341,0,23,0,0,10
02-06-2020,373,0,34,32,0,11
02-07-2020,408,0,43,35,0,9
02-08-2020,468,0,58,60,0,15
02-09-2020,492,0,72,24,0,14
02-10-2020,492,0,81,0,0,9
02-11-2020,543,0,94,51,0,13
02-12-2020,570,0,131,27,0,37
02-13-2020,593,0,137,23,0,6
02-14-2020,604,0,160,11,0,23
02-15-2020,617,0,190,13,0,30
02-16-2020,626,0,226,9,0,36
02-17-2020,629,0,263,3,0,37
02-18-2020,631,0,296,2,0,33
02-19-2020,631,0,325,0,0,29
02-20-2020,631,0,352,0,0,27
02-21-2020,631,0,387,0,0,35
02-22-2020,631,0,411,0,0,24
02-23-2020,631,0,427,0,0,16
02-24-2020,631,0,458,0,0,31
02-25-2020,631,0,463,0,0,5
02-26-2020,631,0,494,0,0,31
02-27-2020,631,0,506,0,0,12
02-28-2020,631,0,519,0,0,13
02-29-2020,631,0,529,0,0,10
03-01-2020,631,0,536,0,0,7
03-02-2020,631,0,555,0,0,19
03-03-2020,631,0,565,0,0,10
03-04-2020,631,0,580,0,0,15
03-05-2020,631,0,588,0,0,8
03-06-2020,631,0,601,0,0,13
03-07-2020,631,0,601,0,0,0
03-08-2020,631,0,610,0,0,9
03-09-2020,631,0,622,0,0,12
03-10-2020,631,0,627,0,0,5
03-11-2020,631,0,628,0,0,1
03-12-2020,631,0,630,0,0,2
03-13-2020,631,0,630,0,0,0
03-14-2020,631,0,631,0,0,1
03-15-2020,631,0,631,0,0,0
03-16-2020,631,0,631,0,0,0
03-17-2020,631,0,631,0,0,0
03-18-2020,631,0,631,0,0,0
03-19-2020,631,0,631,0,0,0
03-20-2020,631,0,631,0,0,0
03-21-2020,633,0,631,2,0,0
03-22-2020,633,0,631,0,0,0
03-23-2020,633,0,631,0,0,0
03-24-2020,636,0,631,3,0,0
03-25-2020,638,0,631,2,0,0
03-26-2020,640,0,631,2,0,0
03-27-2020,641,0,631,1,0,0
03-28-2020,641,0,631,0,0,0
03-29-2020,644,0,631,3,0,0
03-30-2020,645,0,631,1,0,0
03-31-2020,646,0,631,1,0,0
04-01-2020,646,0,631,0,0,0
04-02-2020,647,0,631,1,0,0
04-03-2020,651,0,632,4,0,1
04-04-2020,651,0,632,0,0,0
04-05-2020,651,0,632,0,0,0
04-06-2020,651,0,632,0,0,0
04-07-2020,651,0,632,0,0,0
04-08-2020,651,0,632,0,0,0
04-09-2020,651,0,632,0,0,0
04-10-2020,651,0,632,0,0,0
04-11-2020,652,0,636,1,0,4
04-12-2020,653,0,638,1,0,2
04-13-2020,653,0,638,0,0,0
04-14-2020,653,0,638,0,0,0
04-15-2020,653,0,638,0,0,0
04-16-2020,653,0,638,0,0,0
04-17-2020,653,0,643,0,0,5
04-18-2020,653,0,643,0,0,0
04-19-2020,653,0,643,0,0,0
04-20-2020,653,0,643,0,0,0
04-21-2020,653,0,643,0,0,0
04-22-2020,653,0,643,0,0,0
04-23-2020,653,0,643,0,0,0
04-24-2020,653,0,643,0,0,0
04-25-2020,653,0,643,0,0,0
04-26-2020,653,0,646,0,0,3
04-27-2020,653,0,646,0,0,0
04-28-2020,653,0,646,0,0,0
04-29-2020,653,0,646,0,0,0
04-30-2020,653,0,650,0,0,4
05-01-2020,653,0,650,0,0,0
05-02-2020,653,0,650,0,0,0
05-03-2020,653,0,650,0,0,0
05-04-2020,653,0,650,0,0,0
05-05-2020,653,0,650,0,0,0
05-06-2020,653,0,651,0,0,1
05-07-2020,653,0,652,0,0,1
05-08-2020,653,0,652,0,0,0
05-09-2020,653,0,652,0,0,0
05-10-2020,653,0,653,0,0,1
05-11-2020,653,0,653,0,0,0
05-12-2020,653,0,653,0,0,0
05-13-2020,653,0,653,0,0,0
05-14-2020,653,0,653,0,0,0
05-15-2020,653,0,653,0,0,0
05-16-2020,653,0,653,0,0,0
05-17-2020,653,0,653,0,0,0
05-18-2020,653,0,653,0,0,0
05-19-2020,653,0,653,0,0,0
05-20-2020,653,0,653,0,0,0
05-21-2020,653,0,653,0,0,0
05-22-2020,653,0,653,0,0,0
05-23-2020,653,0,653,0,0,0
05-24-2020,653,0,653,0,0,0
05-25-2020,653,0,653,0,0,0
05-26-2020,653,0,653,0,0,0
05-27-2020,653,0,653,0,0,0
05-28-2020,653,0,653,0,0,0
05-29-2020,653,0,653,0,0,0
05-30-2020,653,0,653,0,0,0
05-31-2020,653,0,653,0,0,0
