date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-23-2020,1,0,0,1,0,0
01-24-2020,3,0,0,2,0,0
01-25-2020,4,0,0,1,0,0
01-26-2020,6,0,0,2,0,0
01-27-2020,6,0,0,0,0,0
01-28-2020,9,0,0,3,0,0
01-29-2020,14,0,1,5,0,1
01-30-2020,14,0,1,0,0,0
01-31-2020,14,0,1,0,0,0
02-01-2020,23,0,1,9,0,0
02-02-2020,31,0,1,8,0,0
02-03-2020,42,0,1,11,0,0
02-04-2020,54,0,1,12,0,0
02-05-2020,54,0,2,0,0,1
02-06-2020,65,1,4,11,1,2
02-07-2020,65,1,4,0,0,0
02-08-2020,78,1,5,13,0,1
02-09-2020,80,1,12,2,0,7
02-10-2020,81,1,13,1,0,1
02-11-2020,83,1,18,2,0,5
02-12-2020,84,1,22,1,0,4
02-13-2020,86,1,25,2,0,3
02-14-2020,88,1,25,2,0,0
02-15-2020,89,1,28,1,0,3
02-16-2020,89,1,30,0,0,2
02-17-2020,89,1,34,0,0,4
02-18-2020,90,1,36,1,0,2
02-19-2020,91,1,40,1,0,4
02-20-2020,91,1,44,0,0,4
02-21-2020,91,1,46,0,0,2
02-22-2020,91,1,52,0,0,6
02-23-2020,93,1,54,2,0,2
02-24-2020,93,1,60,0,0,6
02-25-2020,93,1,63,0,0,3
02-26-2020,93,1,65,0,0,2
02-27-2020,93,1,68,0,0,3
02-28-2020,93,1,73,0,0,5
02-29-2020,93,1,75,0,0,2
03-01-2020,93,1,78,0,0,3
03-02-2020,93,1,83,0,0,5
03-03-2020,93,1,84,0,0,1
03-04-2020,93,1,84,0,0,0
03-05-2020,93,1,88,0,0,4
03-06-2020,93,1,90,0,0,2
03-07-2020,93,1,90,0,0,0
03-08-2020,93,1,90,0,0,0
03-09-2020,93,1,91,0,0,1
03-10-2020,93,1,91,0,0,0
03-11-2020,93,1,91,0,0,0
03-12-2020,93,1,91,0,0,0
03-13-2020,93,1,91,0,0,0
03-14-2020,93,1,91,0,0,0
03-15-2020,93,1,92,0,0,1
03-16-2020,93,1,92,0,0,0
03-17-2020,93,1,92,0,0,0
03-18-2020,93,1,92,0,0,0
03-19-2020,93,1,92,0,0,0
03-20-2020,93,1,92,0,0,0
03-21-2020,93,1,92,0,0,0
03-22-2020,93,1,92,0,0,0
03-23-2020,93,1,92,0,0,0
