date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-07-2020,1,0,0,1,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,1,0,0,0,0,0
03-12-2020,5,1,0,4,1,0
03-13-2020,6,1,0,1,0,0
03-14-2020,8,1,0,2,0,0
03-15-2020,9,1,0,1,0,0
03-16-2020,11,1,0,2,0,0
03-17-2020,18,1,0,7,0,0
03-18-2020,22,1,0,4,0,0
03-19-2020,36,1,0,14,0,0
03-20-2020,48,1,0,12,0,0
03-21-2020,57,2,0,9,1,0
03-22-2020,67,2,0,10,0,0
03-23-2020,85,2,0,18,0,0
03-24-2020,102,2,0,17,0,0
03-25-2020,137,3,0,35,1,0
03-26-2020,172,3,0,35,0,0
03-27-2020,219,4,0,47,1,0
03-28-2020,269,5,0,50,1,0
03-29-2020,330,7,0,61,2,0
03-30-2020,374,8,0,44,1,0
03-31-2020,441,9,0,67,1,0
04-01-2020,495,10,0,54,1,0
04-02-2020,558,14,0,63,4,0
04-03-2020,629,18,0,71,4,0
04-04-2020,698,21,0,69,3,0
04-05-2020,759,22,0,61,1,0
04-06-2020,849,25,0,90,3,0
04-07-2020,928,29,4,79,4,4
04-08-2020,1051,34,4,123,5,0
04-09-2020,1117,42,4,66,8,0
04-10-2020,1178,50,16,61,8,12
04-11-2020,1275,55,53,97,5,37
04-12-2020,1337,56,53,62,1,0
04-13-2020,1391,62,53,54,6,0
04-14-2020,1441,69,258,50,7,205
04-15-2020,1526,74,293,85,5,35
04-16-2020,1617,80,391,91,6,98
04-17-2020,1742,84,421,125,4,30
04-18-2020,1854,86,421,112,2,0
04-19-2020,1941,94,444,87,8,23
04-20-2020,2065,102,444,124,8,0
04-21-2020,2210,109,444,145,7,0
04-22-2020,2418,112,444,208,3,0
04-23-2020,2721,113,444,303,1,0
04-24-2020,2959,118,604,238,5,160
04-25-2020,3135,120,643,176,2,39
04-26-2020,3277,121,643,142,1,0
04-27-2020,3473,126,703,196,5,60
04-28-2020,3652,127,735,179,1,32
04-29-2020,3839,134,769,187,7,34
04-30-2020,4413,134,870,574,0,101
05-01-2020,4634,140,904,221,6,34
05-02-2020,4885,142,944,251,2,40
05-03-2020,5156,144,981,271,2,37
05-04-2020,5383,156,1157,227,12,176
05-05-2020,5648,161,1238,265,5,81
05-06-2020,5993,164,1280,345,3,42
05-07-2020,6332,165,1425,339,1,145
05-08-2020,6667,168,1461,335,3,36
05-09-2020,6829,174,1483,162,6,22
05-10-2020,6951,174,1486,122,0,3
05-11-2020,7159,180,1670,208,6,184
05-12-2020,7240,184,1795,81,4,125
05-13-2020,7518,188,1857,278,4,62
05-14-2020,7705,189,2367,187,1,510
05-15-2020,7886,193,2519,181,4,152
05-16-2020,7939,195,2571,53,2,52
05-17-2020,7953,195,2597,14,0,26
05-18-2020,8303,198,2685,350,3,88
05-19-2020,8353,199,2761,50,1,76
05-20-2020,8507,202,2811,154,3,50
05-21-2020,8625,204,3724,118,2,913
05-22-2020,8909,205,3793,284,1,69
05-23-2020,8972,205,3823,63,0,30
05-24-2020,9004,205,3851,32,0,28
05-25-2020,9125,207,3857,121,2,6
05-26-2020,9199,210,3971,74,3,114
05-27-2020,9291,213,4075,92,3,104
05-28-2020,9371,214,4250,80,1,175
05-29-2020,9662,215,4324,291,1,74
05-30-2020,9690,215,4379,28,0,55
05-31-2020,9749,217,4405,59,2,26
06-01-2020,9920,217,4521,171,0,116
06-02-2020,9965,223,4562,45,6,41
06-03-2020,10092,226,4641,127,3,79
06-04-2020,10167,227,4752,75,1,111
06-05-2020,10306,232,4825,139,5,73
06-06-2020,10361,233,5085,55,1,260
06-07-2020,10406,233,5229,45,0,144
06-08-2020,10544,236,5369,138,3,140
06-09-2020,10609,237,5578,65,1,209
06-10-2020,10736,240,5645,127,3,67
06-11-2020,10823,243,5785,87,3,140
06-12-2020,10973,243,6005,150,0,220
06-13-2020,11020,245,6127,47,2,122
06-14-2020,11101,245,6312,81,0,185
06-15-2020,11319,246,6484,218,1,172
06-16-2020,11415,246,6714,96,0,230
06-17-2020,11609,247,6798,194,1,84
06-18-2020,11753,251,6941,144,4,143
06-19-2020,12021,253,7070,268,2,129
06-20-2020,12097,256,7158,76,3,88
06-21-2020,12136,257,7287,39,1,129
06-22-2020,12428,258,7614,292,1,327
06-23-2020,12537,260,7798,109,2,184
06-24-2020,12930,260,8039,393,0,241
06-25-2020,13107,262,8136,177,2,97
06-26-2020,13462,265,8419,355,3,283
06-27-2020,13617,268,8689,155,3,270
06-28-2020,13847,269,8707,230,1,18
06-29-2020,14209,273,9028,362,4,321
06-30-2020,14370,273,9178,161,0,150
07-01-2020,14830,277,9579,460,4,401
07-02-2020,15002,280,9752,172,3,173
07-03-2020,15659,282,9898,657,2,146
07-04-2020,15911,283,10086,252,1,188
07-05-2020,16081,284,10141,170,1,55
07-06-2020,16638,285,10448,557,1,307
07-07-2020,16860,289,10573,222,4,125
07-08-2020,17334,290,10827,474,1,254
07-09-2020,17785,293,10954,451,3,127
07-10-2020,18303,293,11140,518,0,186
07-11-2020,18687,295,11220,384,2,80
07-12-2020,18981,297,11272,294,2,52
07-13-2020,19645,298,11489,664,1,217
07-14-2020,19887,299,11727,242,1,238
07-15-2020,20349,304,11979,462,5,252
07-16-2020,20817,305,12117,468,1,138
07-17-2020,21388,306,12360,571,1,243
07-18-2020,21693,308,12461,305,2,101
07-19-2020,21996,309,12508,303,1,47
07-20-2020,22672,314,12818,676,5,310
07-21-2020,22929,316,13095,257,2,277
07-22-2020,23481,321,13488,552,5,393
07-23-2020,23956,322,13717,475,1,229
07-24-2020,24554,330,14126,598,8,409
07-25-2020,25007,329,14338,453,-1,212
07-26-2020,25290,331,14503,283,2,165
07-27-2020,25812,334,14800,522,3,297
07-28-2020,26058,340,15076,246,6,276
07-29-2020,26591,349,15543,533,9,467
07-30-2020,26885,357,15846,294,8,303
07-31-2020,27364,358,16252,479,1,406
08-01-2020,27592,358,16507,228,0,255
08-02-2020,27871,361,16671,279,3,164
08-03-2020,28432,367,17003,561,6,332
08-04-2020,28782,368,17403,350,1,400
08-05-2020,29256,372,17786,474,4,383
08-06-2020,29617,378,18131,361,6,345
08-07-2020,30135,379,18535,518,1,404
08-08-2020,30463,380,18734,328,1,199
08-09-2020,30662,380,19035,199,0,301
08-10-2020,31183,386,19577,521,6,542
08-11-2020,31468,393,19937,285,7,360
08-12-2020,32097,397,20340,629,4,403
08-13-2020,32484,403,20768,387,6,428
08-14-2020,33030,404,21314,546,1,546
08-15-2020,33396,406,21498,366,2,184
08-16-2020,33652,406,21957,256,0,459
08-17-2020,34147,408,22335,495,2,378
08-18-2020,34406,413,22688,259,5,353
08-19-2020,34969,417,23148,563,4,460
08-20-2020,35392,421,23461,423,4,313
08-21-2020,36380,428,24339,988,7,878
08-22-2020,36873,428,24451,493,0,112
08-23-2020,37143,428,24556,270,0,105
08-24-2020,38029,430,24880,886,2,324
08-25-2020,38029,430,24880,0,0,0
