date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-14-2020,6,0,-1,6,0,-1
03-15-2020,6,0,-1,0,0,-1
03-16-2020,6,0,-1,0,0,-1
03-17-2020,33,0,-1,27,0,-1
03-18-2020,36,0,-1,3,0,-1
03-19-2020,46,0,-1,10,0,-1
03-20-2020,53,0,-1,7,0,-1
03-21-2020,56,0,-1,3,0,-1
03-22-2020,56,0,-1,0,0,-1
03-23-2020,60,0,-1,4,0,-1
03-24-2020,63,0,-1,3,0,-1
03-25-2020,79,0,-1,16,0,-1
03-26-2020,97,0,-1,18,0,-1
03-27-2020,125,0,-1,28,0,-1
03-28-2020,204,1,-1,79,1,-1
03-29-2020,265,1,-1,61,0,-1
03-30-2020,294,1,-1,29,0,-1
03-31-2020,312,1,-1,18,0,-1
04-01-2020,348,2,-1,36,1,-1
04-02-2020,386,3,-1,38,1,-1
04-03-2020,435,3,-1,49,0,-1
04-04-2020,460,3,-1,25,0,-1
04-05-2020,531,5,-1,71,2,-1
04-06-2020,604,5,-1,73,0,-1
04-07-2020,670,6,-1,66,1,-1
04-08-2020,709,6,-1,39,0,-1
04-09-2020,727,7,-1,18,1,-1
04-10-2020,802,9,-1,75,2,-1
04-11-2020,859,10,-1,57,1,-1
04-12-2020,897,10,-1,38,0,-1
04-13-2020,979,12,-1,82,2,-1
04-14-2020,1091,12,-1,112,0,-1
04-15-2020,1275,12,-1,184,0,-1
04-16-2020,1295,16,-1,20,4,-1
04-17-2020,1480,16,-1,185,0,-1
04-18-2020,1546,17,-1,66,1,-1
04-19-2020,1546,17,-1,0,0,-1
04-20-2020,1546,17,-1,0,0,-1
04-21-2020,1852,19,-1,306,2,-1
04-22-2020,1995,19,-1,143,0,-1
04-23-2020,2025,19,-1,30,0,-1
04-24-2020,2025,19,-1,0,0,-1
04-25-2020,2416,25,-1,391,6,-1
04-26-2020,2601,25,-1,185,0,-1
04-27-2020,2791,25,-1,190,0,-1
04-28-2020,2982,25,-1,191,0,-1
04-29-2020,3078,25,-1,96,0,-1
04-30-2020,3333,25,-1,255,0,-1
05-01-2020,3551,25,-1,218,0,-1
05-02-2020,3785,25,-1,234,0,-1
05-03-2020,3877,26,-1,92,1,-1
05-04-2020,3988,27,-1,111,1,-1
05-05-2020,4160,29,-1,172,2,-1
05-06-2020,4298,29,-1,138,0,-1
05-07-2020,4509,30,-1,211,1,-1
05-08-2020,4578,30,-1,69,0,-1
05-09-2020,4922,31,-1,344,1,-1
05-10-2020,5056,31,-1,134,0,-1
05-11-2020,5138,31,-1,82,0,-1
05-12-2020,5207,32,-1,69,1,-1
05-13-2020,5417,32,-1,210,0,-1
05-14-2020,5571,33,-1,154,1,-1
05-15-2020,5689,34,-1,118,1,-1
05-16-2020,5850,34,-1,161,0,-1
05-17-2020,6157,34,-1,307,0,-1
05-18-2020,6440,34,-1,283,0,-1
05-19-2020,6751,35,-1,311,1,-1
05-20-2020,6969,35,-1,218,0,-1
05-21-2020,7234,35,-1,265,0,-1
05-22-2020,7597,35,-1,363,0,-1
05-23-2020,7919,35,-1,322,0,-1
05-24-2020,8322,35,-1,403,0,-1
05-25-2020,8531,35,-1,209,0,-1
05-26-2020,8969,35,-1,438,0,-1
05-27-2020,9304,37,-1,335,2,-1
05-28-2020,9576,37,-1,272,0,-1
05-29-2020,9932,37,-1,356,0,-1
05-30-2020,10382,37,-1,450,0,-1
05-31-2020,10858,38,-1,476,1,-1
06-01-2020,11308,41,-1,450,3,-1
06-02-2020,11571,41,-1,263,0,-1
06-03-2020,11796,44,-1,225,3,-1
06-04-2020,12067,48,-1,271,4,-1
06-05-2020,12312,48,-1,245,0,-1
06-06-2020,12511,52,-1,199,4,-1
06-07-2020,12694,54,-1,183,2,-1
06-08-2020,12859,56,-1,165,2,-1
06-09-2020,13074,58,-1,215,2,-1
06-10-2020,13319,61,8345,245,3,-1
06-11-2020,13559,67,8593,240,6,248
06-12-2020,13872,67,8829,313,0,236
06-13-2020,14238,72,8829,366,5,0
06-14-2020,14496,73,9188,258,1,359
06-15-2020,14809,81,9388,313,8,200
06-16-2020,15192,88,9647,383,7,259
06-17-2020,15542,97,9902,350,9,255
06-18-2020,15877,100,10065,335,3,163
06-19-2020,16351,113,10411,474,13,346
06-20-2020,16779,118,10671,428,5,260
06-21-2020,17841,120,10897,1062,2,226
06-22-2020,19251,127,11158,1410,7,261
06-23-2020,20566,134,11514,1315,7,356
06-24-2020,22196,136,11882,1630,2,368
06-25-2020,23672,140,12220,1476,4,338
06-26-2020,25020,150,12548,1348,10,328
06-27-2020,26577,158,12548,1557,8,0
06-28-2020,28063,173,12824,1486,15,276
06-29-2020,29676,183,13008,1613,10,184
06-30-2020,30168,188,13008,492,5,0
07-01-2020,41065,188,13845,10897,0,837
07-02-2020,42574,198,14415,1509,10,570
07-03-2020,44075,210,15276,1501,12,861
07-04-2020,45719,224,15276,1644,14,0
07-05-2020,47171,242,15556,1452,18,280
07-06-2020,48574,260,16183,1403,18,627
07-07-2020,49683,264,16183,1109,4,0
07-08-2020,51059,264,16928,1376,0,745
07-09-2020,53021,296,35137,1962,32,18209
07-10-2020,54747,296,31815,1726,0,-3322
07-11-2020,56455,332,32500,1708,36,685
07-12-2020,58253,375,33814,1798,43,1314
07-13-2020,59899,375,34190,1646,0,376
07-14-2020,61755,375,35911,1856,0,1721
07-15-2020,63514,375,38008,1759,0,2097
07-16-2020,65188,375,39066,1674,0,1058
07-17-2020,66895,375,40256,1707,0,1190
07-18-2020,68703,375,42388,1808,0,2132
07-19-2020,70339,375,42388,1636,0,0
07-20-2020,71838,585,43401,1499,210,1013
07-21-2020,73468,585,45376,1630,0,1975
07-22-2020,75153,585,46790,1685,0,1414
07-23-2020,76799,585,48220,1646,0,1430
07-24-2020,78486,585,49488,1687,0,1268
07-25-2020,80226,585,51260,1740,0,1772
07-26-2020,81720,585,51823,1494,0,563
07-27-2020,83122,585,52571,1402,0,748
07-28-2020,84648,793,54404,1526,208,1833
07-29-2020,86192,793,56638,1544,0,2234
07-30-2020,87664,793,57815,1472,0,1177
07-31-2020,89078,793,59517,1414,0,1702
08-01-2020,90367,793,60825,1289,0,1308
08-02-2020,91593,793,60839,1226,0,14
08-03-2020,92662,1058,62511,1069,265,1672
08-04-2020,93820,1058,65132,1158,0,2621
08-05-2020,94882,1058,67031,1062,0,1899
08-06-2020,95942,1058,68871,1060,0,1840
08-07-2020,105526,1109,70680,9584,51,1809
08-08-2020,109939,1109,71609,4413,0,929
08-09-2020,109939,1109,72273,0,0,664
08-10-2020,111822,1109,72523,1883,0,250
08-11-2020,113501,1433,73702,1679,324,1179
08-12-2020,115615,1433,74677,2114,0,975
08-13-2020,117104,1433,76756,1489,0,2079
08-14-2020,118514,1433,78633,1410,0,1877
08-15-2020,119781,1433,80716,1267,0,2083
08-16-2020,119781,1433,81558,0,0,842
08-17-2020,121161,1433,81558,1380,0,0
08-18-2020,121639,1633,84445,478,200,2887
08-19-2020,121639,1633,86286,0,0,1841
08-20-2020,124356,1633,86450,2717,0,164
08-21-2020,125335,1633,87920,979,0,1470
08-22-2020,126243,1633,89712,908,0,1792
08-23-2020,127203,1633,91089,960,0,1377
08-24-2020,127462,1781,91089,259,148,0
08-25-2020,127462,1781,91089,0,0,0
