date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,-1,1,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,1,0,-1,0,0,-1
03-03-2020,1,0,-1,0,0,-1
03-04-2020,1,0,-1,0,0,-1
03-05-2020,1,0,-1,0,0,-1
03-06-2020,1,0,-1,0,0,-1
03-07-2020,1,0,-1,0,0,-1
03-08-2020,1,0,-1,0,0,-1
03-09-2020,1,0,-1,0,0,-1
03-10-2020,1,0,-1,0,0,-1
03-11-2020,3,0,-1,2,0,-1
03-12-2020,3,0,-1,0,0,-1
03-13-2020,6,0,-1,3,0,-1
03-14-2020,8,0,-1,2,0,-1
03-15-2020,9,0,-1,1,0,-1
03-16-2020,17,0,-1,8,0,-1
03-17-2020,25,0,-1,8,0,-1
03-18-2020,26,0,-1,1,0,-1
03-19-2020,36,0,-1,10,0,-1
03-20-2020,69,1,-1,33,1,-1
03-21-2020,105,1,-1,36,0,-1
03-22-2020,105,1,-1,0,0,-1
03-23-2020,143,1,-1,38,0,-1
03-24-2020,179,1,-1,36,0,-1
03-25-2020,209,2,-1,30,1,-1
03-26-2020,274,4,-1,65,2,-1
03-27-2020,299,4,-1,25,0,-1
03-28-2020,358,5,-1,59,1,-1
03-29-2020,394,7,-1,36,2,-1
03-30-2020,484,7,-1,90,0,-1
03-31-2020,484,7,-1,0,0,-1
04-01-2020,533,7,-1,49,0,-1
04-02-2020,581,8,-1,48,1,-1
04-03-2020,649,9,-1,68,1,-1
04-04-2020,771,9,-1,122,0,-1
04-05-2020,771,9,-1,0,0,-1
04-06-2020,811,13,-1,40,4,-1
04-07-2020,843,14,-1,32,1,-1
04-08-2020,880,15,-1,37,1,-1
04-09-2020,912,15,-1,32,0,-1
04-10-2020,955,15,-1,43,0,-1
04-11-2020,999,17,-1,44,2,-1
04-12-2020,1053,23,-1,54,6,-1
04-13-2020,1062,24,-1,9,1,-1
04-14-2020,1070,24,-1,8,0,-1
04-15-2020,1070,24,-1,0,0,-1
04-16-2020,1091,29,-1,21,5,-1
04-17-2020,1149,32,-1,58,3,-1
04-18-2020,1239,33,-1,90,1,-1
04-19-2020,1298,33,-1,59,0,-1
04-20-2020,1326,36,-1,28,3,-1
04-21-2020,1350,37,-1,24,1,-1
04-22-2020,1370,38,-1,20,1,-1
04-23-2020,1398,38,-1,28,0,-1
04-24-2020,1410,40,-1,12,2,-1
04-25-2020,1410,40,-1,0,0,-1
04-26-2020,1426,41,-1,16,1,-1
04-27-2020,1438,41,-1,12,0,-1
04-28-2020,1449,41,-1,11,0,-1
04-29-2020,1344,44,-1,-105,3,-1
04-30-2020,1375,45,-1,31,1,-1
05-01-2020,1385,45,-1,10,0,-1
05-02-2020,1399,45,-1,14,0,-1
05-03-2020,1406,46,-1,7,1,-1
05-04-2020,1410,46,-1,4,0,-1
05-05-2020,1419,46,-1,9,0,-1
05-06-2020,1423,46,-1,4,0,-1
05-07-2020,1428,48,-1,5,2,-1
05-08-2020,1433,49,-1,5,1,-1
05-09-2020,1436,49,-1,3,0,-1
05-10-2020,1444,50,-1,8,1,-1
05-11-2020,1479,50,-1,35,0,-1
05-12-2020,1485,50,-1,6,0,-1
05-13-2020,1491,50,-1,6,0,-1
05-14-2020,1505,54,-1,14,4,-1
05-15-2020,1511,54,-1,6,0,-1
05-16-2020,1523,54,-1,12,0,-1
05-17-2020,1534,55,-1,11,1,-1
05-18-2020,1541,56,-1,7,1,-1
05-19-2020,1547,59,-1,6,3,-1
05-20-2020,1562,60,-1,15,1,-1
05-21-2020,1577,60,-1,15,0,-1
05-22-2020,1594,61,-1,17,1,-1
05-23-2020,1604,61,-1,10,0,-1
05-24-2020,1616,63,-1,12,2,-1
05-25-2020,1623,63,-1,7,0,-1
05-26-2020,1635,63,-1,12,0,-1
05-27-2020,1639,65,-1,4,2,-1
05-28-2020,1647,66,-1,8,1,-1
05-29-2020,1656,68,-1,9,2,-1
05-30-2020,1662,68,-1,6,0,-1
05-31-2020,1670,70,-1,8,2,-1
06-01-2020,1675,70,-1,5,0,-1
06-02-2020,1678,70,-1,3,0,-1
06-03-2020,1682,71,-1,4,1,-1
06-04-2020,1684,71,-1,2,0,-1
06-05-2020,1687,71,-1,3,0,-1
06-06-2020,1694,71,-1,7,0,-1
06-07-2020,1705,71,-1,11,0,-1
06-08-2020,1714,71,-1,9,0,-1
06-09-2020,1720,71,-1,6,0,-1
06-10-2020,1733,74,1369,13,3,-1
06-11-2020,1752,74,1372,19,0,3
06-12-2020,1756,74,1400,4,0,28
06-13-2020,1763,75,1416,7,1,16
06-14-2020,1768,75,1427,5,0,11
06-15-2020,1773,76,1429,5,1,2
06-16-2020,1776,76,1441,3,0,12
06-17-2020,1778,76,1447,2,0,6
06-18-2020,1784,76,1449,6,0,2
06-19-2020,1792,76,1462,8,0,13
06-20-2020,1795,76,1470,3,0,8
06-21-2020,1798,76,1475,3,0,5
06-22-2020,1801,76,1475,3,0,0
06-23-2020,1803,77,1483,2,1,8
06-24-2020,1804,78,1484,1,1,1
06-25-2020,1806,78,1494,2,0,10
06-26-2020,1808,78,1501,2,0,7
06-27-2020,1808,78,1501,0,0,0
06-28-2020,1815,78,1503,7,0,2
06-29-2020,1816,78,1512,1,0,9
06-30-2020,1817,78,1515,1,0,3
07-01-2020,1818,78,1524,1,0,9
07-02-2020,1818,78,1524,0,0,0
07-03-2020,1828,79,1539,10,1,15
07-04-2020,1831,79,1545,3,0,6
07-05-2020,1836,79,1545,5,0,0
07-06-2020,1841,79,1547,5,0,2
07-07-2020,1841,79,1547,0,0,0
07-08-2020,1854,79,1552,13,0,5
07-09-2020,1854,79,1552,0,0,0
07-10-2020,1861,79,1569,7,0,17
07-11-2020,1861,79,1569,0,0,0
07-12-2020,1865,79,1569,4,0,0
07-13-2020,1869,79,1569,4,0,0
07-14-2020,1874,79,1569,5,0,0
07-15-2020,1875,79,1569,1,0,0
07-16-2020,1902,79,1593,27,0,24
