date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-09-2020,1,0,0,1,0,0
03-10-2020,3,0,0,2,0,0
03-11-2020,13,0,0,10,0,0
03-12-2020,19,0,0,6,0,0
03-13-2020,36,0,0,17,0,0
03-14-2020,77,1,0,41,1,0
03-15-2020,103,2,0,26,1,0
03-16-2020,136,3,0,33,1,0
03-17-2020,196,4,0,60,1,0
03-18-2020,280,8,0,84,4,0
03-19-2020,392,10,0,112,2,0
03-20-2020,537,14,0,145,4,0
03-21-2020,763,20,0,226,6,0
03-22-2020,837,20,0,74,0,0
03-23-2020,1172,35,0,335,15,0
03-24-2020,1388,46,0,216,11,0
03-25-2020,1795,65,0,407,19,0
03-26-2020,2305,83,0,510,18,0
03-27-2020,2746,119,0,441,36,0
03-28-2020,3315,137,0,569,18,0
03-29-2020,3540,151,0,225,14,0
03-30-2020,4025,185,0,485,34,0
03-31-2020,5237,239,0,1212,54,0
04-01-2020,6424,273,0,1187,34,0
04-02-2020,9159,310,0,2735,37,0
04-03-2020,10297,370,0,1138,60,0
04-04-2020,12496,409,0,2199,39,0
04-05-2020,13010,477,0,514,68,0
04-06-2020,14867,512,0,1857,35,0
04-07-2020,16284,582,0,1417,70,0
04-08-2020,17030,652,0,746,70,0
04-09-2020,18283,702,0,1253,50,0
04-10-2020,19253,755,0,970,53,0
04-11-2020,20014,806,0,761,51,0
04-12-2020,20595,840,0,581,34,0
04-13-2020,21016,884,0,421,44,0
04-14-2020,21518,1013,0,502,129,0
04-15-2020,21951,1103,0,433,90,0
04-16-2020,22532,1156,0,581,53,0
04-17-2020,23118,1213,0,586,57,0
04-18-2020,23580,1267,0,462,54,0
04-19-2020,23928,1296,0,348,29,0
04-20-2020,24523,1328,0,595,32,0
04-21-2020,24854,1405,0,331,77,0
04-22-2020,25258,1473,0,404,68,0
04-23-2020,25739,1599,0,481,126,0
04-24-2020,26140,1660,14927,401,61,14927
04-25-2020,26512,1707,14927,372,47,0
04-26-2020,26773,1729,14927,261,22,0
04-27-2020,27068,1740,14927,295,11,0
04-28-2020,27286,1801,17303,218,61,2376
04-29-2020,27660,1845,17303,374,44,0
04-30-2020,28001,1905,17303,341,60,0
