date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-12-2020,1,0,0,1,0,0
03-13-2020,3,0,0,2,0,0
03-14-2020,6,0,0,3,0,0
03-15-2020,12,0,0,6,0,0
03-16-2020,17,0,0,5,0,0
03-17-2020,32,0,0,15,0,0
03-18-2020,42,0,0,10,0,0
03-19-2020,52,0,0,10,0,0
03-20-2020,56,0,0,4,0,0
03-21-2020,70,0,0,14,0,0
03-22-2020,89,0,0,19,0,0
03-23-2020,107,0,0,18,0,0
03-24-2020,118,0,0,11,0,0
03-25-2020,142,0,0,24,0,0
03-26-2020,155,0,0,13,0,0
03-27-2020,168,1,0,13,1,0
03-28-2020,211,1,0,43,0,0
03-29-2020,253,3,0,42,2,0
03-30-2020,275,3,0,22,0,0
03-31-2020,303,5,0,28,2,0
04-01-2020,344,7,0,41,2,0
04-02-2020,376,7,0,32,0,0
04-03-2020,432,9,0,56,2,0
04-04-2020,456,10,0,24,1,0
04-05-2020,470,10,0,14,0,0
04-06-2020,499,10,0,29,0,0
04-07-2020,519,12,176,20,2,176
04-08-2020,537,14,187,18,2,11
04-09-2020,560,16,202,23,2,15
04-10-2020,586,17,246,26,1,44
04-11-2020,616,19,256,30,2,10
04-12-2020,633,19,266,17,0,10
04-13-2020,698,19,273,65,0,7
04-14-2020,734,21,292,36,2,19
04-15-2020,770,24,305,36,3,13
04-16-2020,796,27,333,26,3,28
04-17-2020,827,29,352,31,2,19
04-18-2020,847,32,382,20,3,30
04-19-2020,867,34,393,20,2,11
04-20-2020,875,35,435,8,1,42
04-21-2020,888,36,443,13,1,8
04-22-2020,907,39,455,19,3,12
04-23-2020,937,44,485,30,5,30
04-24-2020,965,47,499,28,3,14
04-25-2020,990,50,519,25,3,20
04-26-2020,1015,50,519,25,0,0
04-27-2020,1023,51,549,8,1,30
04-28-2020,1040,51,585,17,0,36
04-29-2020,1056,52,615,16,1,30
04-30-2020,1095,53,631,39,1,16
05-01-2020,1123,55,657,28,2,26
05-02-2020,1153,56,689,30,1,32
05-03-2020,1185,57,706,32,1,17
05-04-2020,1205,57,720,20,0,14
05-05-2020,1226,61,741,21,4,21
05-06-2020,1254,62,766,28,1,25
05-07-2020,1330,62,787,76,0,21
05-08-2020,1374,63,836,44,1,49
