date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-01-2020,1,0,0,1,0,0
02-02-2020,1,0,0,0,0,0
02-03-2020,1,0,0,0,0,0
02-04-2020,1,0,0,0,0,0
02-05-2020,1,0,0,0,0,0
02-06-2020,1,0,0,0,0,0
02-07-2020,1,0,0,0,0,0
02-08-2020,1,0,0,0,0,0
02-09-2020,1,0,0,0,0,0
02-10-2020,1,0,0,0,0,0
02-11-2020,1,0,0,0,0,0
02-12-2020,1,0,0,0,0,0
02-13-2020,1,0,0,0,0,0
02-14-2020,1,0,0,0,0,0
02-15-2020,1,0,0,0,0,0
02-16-2020,1,0,0,0,0,0
02-17-2020,1,0,0,0,0,0
02-18-2020,1,0,0,0,0,0
02-19-2020,1,0,0,0,0,0
02-20-2020,1,0,0,0,0,0
02-21-2020,1,0,0,0,0,0
02-22-2020,1,0,0,0,0,0
02-23-2020,1,0,0,0,0,0
02-24-2020,1,0,0,0,0,0
02-25-2020,1,0,0,0,0,0
02-26-2020,1,0,0,0,0,0
02-27-2020,1,0,0,0,0,0
02-28-2020,1,0,0,0,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,1,0,0,0,0,0
03-02-2020,2,0,0,1,0,0
03-03-2020,2,0,0,0,0,0
03-04-2020,2,0,0,0,0,0
03-05-2020,4,0,0,2,0,0
03-06-2020,8,0,0,4,0,0
03-07-2020,14,0,1,6,0,1
03-08-2020,28,0,1,14,0,0
03-09-2020,41,0,1,13,0,0
03-10-2020,92,0,1,51,0,0
03-11-2020,95,0,1,3,0,0
03-12-2020,108,0,1,13,0,0
03-13-2020,123,0,1,15,0,0
03-14-2020,138,0,1,15,0,0
03-15-2020,164,0,1,26,0,0
03-16-2020,197,0,1,33,0,0
03-17-2020,218,0,1,21,0,0
03-18-2020,256,0,1,38,0,0
03-19-2020,328,0,1,72,0,0
03-20-2020,413,1,1,85,1,0
03-21-2020,529,2,0,116,1,-1
03-22-2020,646,5,0,117,3,0
03-23-2020,777,9,0,131,4,0
03-24-2020,1159,11,0,382,2,0
03-25-2020,1838,15,0,679,4,0
03-26-2020,2417,25,0,579,10,0
03-27-2020,3240,35,0,823,10,0
03-28-2020,4257,44,0,1017,9,0
03-29-2020,4955,48,0,698,4,0
03-30-2020,5752,56,0,797,8,0
03-31-2020,6620,89,0,868,33,0
04-01-2020,7738,122,0,1118,33,0
04-02-2020,8966,154,0,1228,32,0
04-03-2020,10402,192,0,1436,38,0
04-04-2020,11736,216,0,1334,24,0
04-05-2020,12500,231,0,764,15,0
04-06-2020,13837,260,0,1337,29,0
04-07-2020,15202,356,311,1365,96,311
04-08-2020,16790,433,311,1588,77,0
04-09-2020,18941,503,729,2151,70,418
04-10-2020,20974,599,729,2033,96,0
04-11-2020,22860,686,729,1886,87,0
04-12-2020,25475,756,729,2615,70,0
04-13-2020,26867,844,729,1392,88,0
04-14-2020,28164,957,729,1297,113,0
04-15-2020,29918,1108,729,1754,151,0
04-16-2020,32181,1245,729,2263,137,0
04-17-2020,34402,1404,729,2221,159,0
04-18-2020,36372,1560,1299,1970,156,570
04-19-2020,38077,1706,1299,1705,146,0
04-20-2020,39643,1809,1299,1566,103,0
04-21-2020,41199,1961,1299,1556,152,0
04-22-2020,42944,2182,1299,1745,221,0
04-23-2020,46023,2360,1299,3079,178,0
04-24-2020,50969,2556,1299,4946,196,0
04-25-2020,53348,2730,1299,2379,174,0
04-26-2020,54938,2899,1299,1590,169,0
04-27-2020,56462,3003,1299,1524,104,0
04-28-2020,58302,3153,1299,1840,150,0
04-29-2020,60265,3405,1299,1963,252,0
04-30-2020,62205,3562,4086,1940,157,2787
05-01-2020,64311,3716,4250,2106,154,164
05-02-2020,66263,3846,4710,1952,130,460
05-03-2020,68087,4004,4710,1824,158,0
05-04-2020,69087,4090,4902,1000,86,192
05-05-2020,70271,4212,4902,1184,122,0
05-06-2020,72025,4420,5708,1754,208,806
05-07-2020,73721,4552,6587,1696,132,879
05-08-2020,75333,4702,7701,1612,150,1114
05-09-2020,76743,4840,7948,1410,138,247
05-10-2020,77793,4979,8985,1050,139,1037
05-11-2020,78462,5108,10609,669,129,1624
05-12-2020,79332,5141,11288,870,33,679
05-13-2020,80497,5315,12569,1165,174,1281
05-14-2020,82182,5482,12842,1685,167,273
05-15-2020,83421,5592,13354,1239,110,512
05-16-2020,84933,5705,14121,1512,113,767
05-17-2020,86010,5797,15043,1077,92,922
05-18-2020,87052,5862,15043,1042,65,0
05-19-2020,87925,5938,16430,873,76,1387
05-20-2020,88970,6066,16508,1045,128,78
05-21-2020,90084,6148,16508,1114,82,0
05-22-2020,90889,6228,19712,805,80,3204
05-23-2020,91662,6304,19712,773,76,0
05-24-2020,92675,6372,22914,1013,68,3202
05-25-2020,93271,6416,22914,596,44,0
05-26-2020,93693,6473,24090,422,57,1176
05-27-2020,94220,6547,24090,527,74,0
