date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-14-2020,1,0,-1,1,0,-1
03-15-2020,1,0,-1,0,0,-1
03-16-2020,1,0,-1,0,0,-1
03-17-2020,1,0,-1,0,0,-1
03-18-2020,3,0,-1,2,0,-1
03-19-2020,4,0,-1,1,0,-1
03-20-2020,4,0,-1,0,0,-1
03-21-2020,11,0,-1,7,0,-1
03-22-2020,11,0,-1,0,0,-1
03-23-2020,14,0,-1,3,0,-1
03-24-2020,24,0,-1,10,0,-1
03-25-2020,30,0,-1,6,0,-1
03-26-2020,35,0,-1,5,0,-1
03-27-2020,50,0,-1,15,0,-1
03-28-2020,50,0,-1,0,0,-1
03-29-2020,50,0,-1,0,0,-1
03-30-2020,82,0,-1,32,0,-1
03-31-2020,82,0,-1,0,0,-1
04-01-2020,101,0,-1,19,0,-1
04-02-2020,116,2,-1,15,2,-1
04-03-2020,128,2,-1,12,0,-1
04-04-2020,128,2,-1,0,0,-1
04-05-2020,147,2,-1,19,0,-1
04-06-2020,147,2,-1,0,0,-1
04-07-2020,164,2,-1,17,0,-1
04-08-2020,184,2,-1,20,0,-1
04-09-2020,186,2,-1,2,0,-1
04-10-2020,191,2,-1,5,0,-1
04-11-2020,191,2,-1,0,0,-1
04-12-2020,191,2,-1,0,0,-1
04-13-2020,207,3,-1,16,1,-1
04-14-2020,207,3,-1,0,0,-1
04-15-2020,217,3,-1,10,0,-1
04-16-2020,221,3,-1,4,0,-1
04-17-2020,233,3,-1,12,0,-1
04-18-2020,245,4,-1,12,1,-1
04-19-2020,245,4,-1,0,0,-1
04-20-2020,284,4,-1,39,0,-1
04-21-2020,284,4,-1,0,0,-1
04-22-2020,311,4,-1,27,0,-1
04-23-2020,326,4,-1,15,0,-1
04-24-2020,339,4,-1,13,0,-1
04-25-2020,354,4,-1,15,0,-1
04-26-2020,354,4,-1,0,0,-1
04-27-2020,401,4,-1,47,0,-1
04-28-2020,433,4,-1,32,0,-1
04-29-2020,460,4,-1,27,0,-1
04-30-2020,460,4,-1,0,0,-1
05-01-2020,539,4,-1,79,0,-1
05-02-2020,539,4,-1,0,0,-1
05-03-2020,596,6,-1,57,2,-1
05-04-2020,650,6,-1,54,0,-1
05-05-2020,686,6,-1,36,0,-1
05-06-2020,739,9,-1,53,3,-1
05-07-2020,739,9,-1,0,0,-1
05-08-2020,854,10,-1,115,1,-1
05-09-2020,890,11,-1,36,1,-1
05-10-2020,890,11,-1,0,0,-1
05-11-2020,1023,11,-1,133,0,-1
